Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Kaan Ayhan","trTUR","DF","Sassuolo","itSerie A","26","1994","15.0","8","0.53","8","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Luke Ayling","engENG","DF","Leeds United","engPremier League","29","1991","25.2","33","1.31","24","1","0","7","0","1","5","0.20","1","0","0","3","0","1",
"Karim Azamoum","frFRA","DF","Troyes","frLigue 1","31","1990","4.3","1","0.23","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Sardar Azmoun","irIRN","FW,MF","Leverkusen","deBundesliga","26","1995","4.0","13","3.26","12","0","0","1","0","0","1","0.25","1","0","0","0","0","0",
"César Azpilicueta","esESP","DF","Chelsea","engPremier League","31","1989","23.0","48","2.09","43","0","2","3","0","0","8","0.35","6","0","1","1","0","0",
"Iddrisu Baba","ghGHA","MF","Mallorca","esLa Liga","25","1996","21.5","26","1.21","20","0","1","4","0","1","3","0.14","1","0","0","2","0","0",
"Carlos Bacca","coCOL","FW","Granada","esLa Liga","34","1986","5.7","13","2.27","9","0","0","2","2","0","2","0.35","1","0","0","0","1","0",
"Daniel Bachmann","atAUT","GK","Watford","engPremier League","27","1994","12.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Loïc Bade","frFRA","DF","Rennes","frLigue 1","21","2000","10.9","5","0.46","3","0","0","2","0","0","1","0.09","0","0","0","1","0","0",
"Milan Badelj","hrCRO","MF","Genoa","itSerie A","32","1989","31.6","72","2.28","64","0","1","1","2","4","2","0.06","0","0","1","0","1","0",
"Édgar Badía","esESP","GK","Elche","esLa Liga","29","1992","24.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Benoît Badiashile","frFRA","DF","Monaco","frLigue 1","20","2001","20.4","15","0.73","11","0","0","3","0","1","1","0.05","0","0","0","1","0","0",
"Youssouph Badji","snSEN","FW,MF","Brest","frLigue 1","19","2001","1.5","3","1.99","3","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Miguel Baeza","esESP","DF","Celta Vigo","esLa Liga","21","2000","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Nicola Bagnolini","itITA","GK","Bologna","itSerie A","17","2004","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Issa Bah","luLUX","FW","Venezia","itSerie A","19","2002","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Stéphane Bahoken","cmCMR","FW","Angers","frLigue 1","29","1992","12.2","15","1.23","13","0","0","1","1","0","1","0.08","1","0","0","0","0","0",
"Leon Bailey","jmJAM","FW,MF","Aston Villa","engPremier League","23","1997","8.5","20","2.37","15","0","1","2","2","0","1","0.12","1","0","0","0","0","0",
"Eric Bailly","ciCIV","DF","Manchester Utd","engPremier League","27","1994","2.4","1","0.41","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Dénys Bain","frFRA","DF","Brest","frLigue 1","28","1993","2.0","1","0.50","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","19","2001","5.7","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Nedim Bajrami","alALB","MF,FW","Empoli","itSerie A","22","1999","22.8","104","4.55","66","21","8","5","1","3","7","0.31","5","1","0","1","0","0",
"Cédric Bakambu","cdCOD","FW","Marseille","frLigue 1","30","1991","4.0","13","3.30","11","0","1","1","0","0","3","0.76","3","0","0","0","0","0",
"Abdoulaye Bakayoko","frFRA","DF","Saint-Étienne","frLigue 1","18","2002","3.4","3","0.88","2","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Tiemoué Bakayoko","frFRA","MF","Milan","itSerie A","26","1994","5.6","7","1.26","6","0","0","0","0","1","0","0.00","0","0","0","0","0","0",
"Mitchel Bakker","nlNED","DF","Leverkusen","deBundesliga","21","2000","20.2","37","1.83","34","0","1","1","1","0","6","0.30","6","0","0","0","0","0",
"Ridle Baku","deGER","DF,FW","Wolfsburg","deBundesliga","23","1998","27.2","82","3.02","60","4","4","7","7","0","9","0.33","5","0","0","1","3","0",
"Dilane Bakwa","frFRA","FW,MF","Bordeaux","frLigue 1","18","2002","0.5","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Tommaso Baldanzi","itITA","FW","Empoli","itSerie A","18","2003","0.2","1","5.29","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
