Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Marc Albrighton","engENG","MF,FW","Leicester City","engPremier League","27","1989","28.2","79","2.80","51","15","9","1","3","0","11","0.39","10","1","0","0","0","0",
"Paco Alcácer","esESP","MF,FW","Barcelona","esLa Liga","23","1993","7.7","15","1.94","11","0","0","2","1","1","5","0.65","2","0","0","1","1","1",
"Pedro Alcalá","esESP","DF","Girona","esLa Liga","28","1989","7.7","6","0.78","5","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Thiago Alcántara","esESP","MF,FW","Bayern Munich","deBundesliga","26","1991","13.9","60","4.33","52","3","1","0","2","2","5","0.36","4","0","1","0","0","0",
"David Alcibiade","frFRA","DF","Nantes","frLigue 1","25","1991","2.3","3","1.30","3","0","0","0","0","0","1","0.43","1","0","0","0","0","0",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","28","1989","13.1","20","1.53","16","0","3","1","0","0","0","0.00","0","0","0","0","0","0",
"Steve Aldo One","cmCMR","DF","La Coruña","esLa Liga","22","1995","1.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Álex Alegría","esESP","FW","Levante","esLa Liga","24","1992","7.0","11","1.58","7","0","0","0","4","0","2","0.29","1","0","0","0","1","0",
"Iván Alejo","esESP","MF,FW","Eibar","esLa Liga","22","1995","12.2","31","2.53","22","1","2","0","5","1","3","0.25","3","0","0","0","0","0",
"Alexander","arARG","MF,FW","Leganés","esLa Liga","28","1988","11.8","35","2.97","23","4","2","4","2","0","4","0.34","2","1","0","0","1","0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","18","1998","17.5","42","2.40","29","7","2","2","0","2","3","0.17","2","0","1","0","0","0",
"Alexis","esESP","DF","Alavés","esLa Liga","31","1985","24.3","15","0.62","11","4","0","0","0","0","1","0.04","1","0","0","0","0","0",
"Alisson","brBRA","GK","Roma","itSerie A","24","1992","37.0","5","0.14","4","1","0","0","0","0","1","0.03","1","0","0","0","0","0",
"Allan","brBRA","MF","Napoli","itSerie A","26","1991","31.7","102","3.22","76","0","10","3","9","4","14","0.44","11","0","1","0","1","1",
"Joe Allen","wlsWAL","MF","Stoke City","engPremier League","27","1990","34.9","74","2.12","63","3","2","1","4","1","12","0.34","8","1","1","0","1","1",
"Dele Alli","engENG","MF,FW","Tottenham","engPremier League","21","1996","32.9","133","4.05","104","1","5","6","14","3","19","0.58","14","0","0","3","2","0",
"Júnior Alonso","pyPAR","DF","Lille","frLigue 1","24","1993","30.9","27","0.87","24","3","0","0","0","0","3","0.10","3","0","0","0","0","0",
"José Alonso Lara","esESP","MF","Sevilla","esLa Liga","17","2000","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marcos Alonso","esESP","DF,MF","Chelsea","engPremier League","26","1990","31.7","81","2.55","64","5","2","6","3","1","7","0.22","7","0","0","0","0","0",
"Ricky Álvarez","arARG","MF","Sampdoria","itSerie A","29","1988","3.0","12","4.08","7","3","0","2","0","0","0","0.00","0","0","0","0","0","0",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","30","1986","16.4","3","0.18","3","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","22","1995","7.5","11","1.47","9","0","0","0","1","1","1","0.13","1","0","0","0","0","0",
"Dani Alves","brBRA","DF","Paris S-G","frLigue 1","34","1983","22.9","84","3.66","74","4","1","5","0","0","12","0.52","12","0","0","0","0","0",
"Ibrahim Amadou","frFRA","MF,DF","Lille","frLigue 1","24","1993","26.7","27","1.01","21","0","0","2","4","0","0","0.00","0","0","0","0","0","0",
"Eloi Amagat","esESP","MF","Girona","esLa Liga","32","1985","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Morgan Amalfitano","frFRA","MF,FW","Rennes","frLigue 1","32","1985","8.3","18","2.17","15","0","0","3","0","0","2","0.24","1","0","0","1","0","0",
"Romain Amalfitano","frFRA","MF","Dijon","frLigue 1","27","1989","30.0","53","1.76","44","3","2","1","3","0","4","0.13","3","1","0","0","0","0",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","22","1994","5.4","2","0.37","0","1","0","0","1","0","1","0.18","0","1","0","0","0","0",
"Jordi Amat","idIDN","DF,MF","Betis","esLa Liga","25","1992","22.7","18","0.79","16","0","2","0","0","0","1","0.04","1","0","0","0","0","0",
"Amath","snSEN","MF,FW","Getafe","esLa Liga","21","1996","31.8","61","1.92","36","0","12","3","9","1","4","0.13","2","0","1","1","0","0",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","23","1994","24.4","53","2.18","35","4","7","5","2","0","8","0.33","6","1","0","1","0","0",
"Stephan Ambrosius","ghGHA","DF","Hamburger SV","deBundesliga","18","1998","0.5","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Kelvin Amian","frFRA","DF","Toulouse","frLigue 1","19","1998","35.0","33","0.94","19","7","6","0","1","0","4","0.11","2","0","2","0","0","0",
"Nadiem Amiri","deGER","MF","Hoffenheim","deBundesliga","20","1996","19.4","74","3.83","55","7","3","7","2","0","6","0.31","5","0","0","1","0","0",
"Ethan Ampadu","wlsWAL","DF","Chelsea","engPremier League","16","2000","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Nordin Amrabat","maMAR","FW","Watford","engPremier League","30","1987","2.2","5","2.27","4","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Nordin Amrabat","maMAR","FW,MF","Leganés","esLa Liga","30","1987","18.0","53","2.94","30","1","12","4","6","0","7","0.39","4","1","2","0","0","0",
"Jon Ander Serantes","esESP","GK","Leganés","esLa Liga","27","1989","1.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Joachim Andersen","dkDEN","DF","Sampdoria","itSerie A","21","1996","6.1","3","0.49","3","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Felipe Anderson","brBRA","FW,MF","Lazio","itSerie A","24","1993","12.9","84","6.52","56","10","14","1","2","1","13","1.01","10","1","2","0","0","0",
"Florin Andone","roROU","FW","La Coruña","esLa Liga","24","1993","18.2","23","1.27","11","0","2","6","4","0","5","0.28","3","0","0","1","1","0",
"Nícolas Andrade","brBRA","GK","Hellas Verona","itSerie A","29","1988","36.0","11","0.31","7","4","0","0","0","0","1","0.03","1","0","0","0","0","0",
"Benjamin André","frFRA","MF","Rennes","frLigue 1","26","1990","33.5","77","2.30","66","0","3","3","3","2","7","0.21","6","0","0","1","0","0",
"Marco Andreolli","itITA","DF","Cagliari","itSerie A","31","1986","20.3","6","0.30","5","0","0","0","0","1","0","0.00","0","0","0","0","0","0",
"Yoann Andreu","frFRA","DF","Angers","frLigue 1","28","1989","23.0","38","1.65","31","3","2","0","2","0","4","0.17","3","0","0","0","1","0",
"Miguel Ángel Guerrero","esESP","FW","Leganés","esLa Liga","27","1990","16.0","30","1.87","22","0","2","2","3","1","6","0.37","3","0","0","2","1","0",
"José Ángel","esESP","DF","Eibar","esLa Liga","27","1989","27.0","76","2.82","36","30","6","2","2","0","11","0.41","5","4","1","1","0","0",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","33","1984","8.5","1","0.12","1","0","0","0","0","0","1","0.12","1","0","0","0","0","0",
"Miguel Ángel Rubio","esESP","DF","Getafe","esLa Liga","19","1998","0.3","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Gabriele Angella","itITA","DF","Udinese","itSerie A","28","1989","9.9","11","1.11","9","0","0","0","1","1","0","0.00","0","0","0","0","0","0",
"Cristian Ansaldi","arARG","DF","Torino","itSerie A","30","1986","20.8","51","2.45","31","2","10","3","3","2","8","0.39","5","0","1","1","1","0",
"Luca Antei","itITA","DF","Benevento","itSerie A","25","1992","6.6","5","0.76","4","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Mirco Antenucci","itITA","FW","SPAL","itSerie A","32","1984","28.6","81","2.83","56","1","6","8","7","3","10","0.35","6","0","0","3","1","0",
"Waldemar Anton","deGER","DF,MF","Hannover 96","deBundesliga","21","1996","25.3","14","0.55","13","0","0","1","0","0","2","0.08","2","0","0","0","0","0",
"Luca Antonelli","itITA","DF,FW","Milan","itSerie A","30","1987","1.6","2","1.26","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Michail Antonio","jmJAM","FW,MF","West Ham","engPremier League","27","1990","15.0","38","2.53","24","1","6","1","6","0","5","0.33","1","0","2","1","1","0",
"Mirko Antonucci","itITA","FW","Roma","itSerie A","18","1999","0.3","2","6.00","2","0","0","0","0","0","1","3.00","1","0","0","0","0","0",
"Vitorino Antunes","ptPOR","DF","Getafe","esLa Liga","30","1987","31.1","59","1.90","31","20","3","1","1","3","5","0.16","3","1","1","0","0","0",
"Dennis Aogo","deGER","MF,DF","Stuttgart","deBundesliga","30","1987","21.7","43","1.98","28","14","0","1","0","0","8","0.37","3","4","0","1","0","0",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","19","1998","27.0","97","3.59","71","0","9","5","8","4","15","0.55","12","0","1","1","0","1",
"Alberto Aquilani","itITA","MF","Las Palmas","esLa Liga","33","1984","14.4","28","1.94","26","1","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","21","1995","23.6","25","1.06","18","0","1","2","2","2","2","0.08","1","0","0","1","0","0",
"Guilherme Arana","brBRA","DF","Sevilla","esLa Liga","20","1997","2.1","2","0.93","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","28","1989","25.6","71","2.78","59","4","0","3","2","3","6","0.23","4","1","0","0","0","1",
"Luiz Araújo","brBRA","FW,MF","Lille","frLigue 1","21","1996","22.4","55","2.45","37","2","9","5","2","0","8","0.36","6","0","1","0","1","0",
"Sergio Araujo","arARG","MF,FW","Las Palmas","esLa Liga","25","1992","0.4","2","4.62","0","0","2","0","0","0","0","0.00","0","0","0","0","0","0",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","30","1987","26.8","39","1.45","29","3","1","4","1","1","5","0.19","4","0","0","1","0","0",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","24","1993","34.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Scott Arfield","caCAN","MF,FW","Burnley","engPremier League","28","1988","14.8","22","1.49","14","0","3","3","2","0","3","0.20","1","0","1","0","1","0",
"Samuel Armenteros","seSWE","FW","Benevento","itSerie A","27","1990","4.8","4","0.84","4","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yoël Armougom","frFRA","DF,MF","Caen","frLigue 1","19","1998","1.5","1","0.65","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"José Arnaiz","esESP","MF","Barcelona","esLa Liga","22","1995","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marko Arnautović","atAUT","FW,MF","West Ham","engPremier League","28","1989","25.7","80","3.11","51","2","15","7","4","1","16","0.62","10","0","3","2","0","1",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","23","1994","27.3","83","3.05","55","22","0","1","4","1","3","0.11","2","1","0","0","0","0",
"Jann-Fiete Arp","deGER","FW,MF","Hamburger SV","deBundesliga","17","2000","9.4","18","1.91","9","0","4","1","3","1","2","0.21","1","0","1","0","0","0",
"Alejandro Arribas","esESP","DF","La Coruña","esLa Liga","28","1989","3.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Sergio Arribas","esESP","MF","Leganés","esLa Liga","22","1995","0.3","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Kepa Arrizabalaga","esESP","GK","Athletic Club","esLa Liga","22","1994","30.0","7","0.23","7","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Harry Arter","ieIRL","MF","Bournemouth","engPremier League","27","1989","10.7","23","2.16","19","2","0","0","0","2","1","0.09","0","0","0","0","0","1",
"Aythami Artiles","esESP","DF","Las Palmas","esLa Liga","31","1986","2.0","2","0.98","2","0","0","0","0","0","1","0.49","1","0","0","0","0","0",
"Kwadwo Asamoah","ghGHA","DF","Juventus","itSerie A","28","1988","17.4","38","2.18","32","1","2","1","2","0","4","0.23","3","0","1","0","0","0",
"Takuma Asano","jpJPN","FW,MF","Stuttgart","deBundesliga","22","1994","8.0","21","2.61","19","0","1","1","0","0","1","0.12","1","0","0","0","0","0",
"Santiago Ascacíbar","arARG","MF","Stuttgart","deBundesliga","20","1997","26.5","32","1.21","21","0","1","2","5","3","2","0.08","1","0","0","1","0","0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","28","1989","23.0","2","0.09","1","1","0","0","0","0","1","0.04","1","0","0","0","0","0",
"Marco Asensio","esESP","FW,MF","Real Madrid","esLa Liga","21","1996","20.5","107","5.22","87","10","4","3","2","1","11","0.54","11","0","0","0","0","0",
"Iago Aspas","esESP","FW","Celta Vigo","esLa Liga","29","1987","32.6","136","4.17","100","7","14","4","9","2","19","0.58","12","0","6","1","0","0",
"Benoît Assou-Ekotto","cmCMR","DF","Metz","frLigue 1","33","1984","11.7","14","1.20","9","3","1","0","0","1","0","0.00","0","0","0","0","0","0",
"Simon Asta","deGER","MF","Augsburg","deBundesliga","16","2001","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Davide Astori","itITA","DF","Fiorentina","itSerie A","30","1987","25.0","30","1.20","28","0","1","1","0","0","1","0.04","1","0","0","0","0","0",
"Christian Atsu","ghGHA","FW,MF","Newcastle Utd","engPremier League","25","1992","19.8","54","2.72","38","1","8","1","5","1","6","0.30","3","0","1","1","1","0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Arsenal","engPremier League","28","1989","11.7","30","2.55","21","0","4","4","1","0","8","0.68","5","0","1","1","1","0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Dortmund","deBundesliga","28","1989","15.7","37","2.35","26","0","3","6","1","1","10","0.64","4","0","2","3","1","0",
"Jean-Kévin Augustin","frFRA","FW","RB Leipzig","deBundesliga","20","1997","14.1","39","2.77","22","0","7","5","5","0","9","0.64","7","0","0","1","1","0",
"Ludwig Augustinsson","seSWE","DF,FW","Werder Bremen","deBundesliga","23","1994","28.1","64","2.27","46","11","0","6","1","0","3","0.11","2","0","0","1","0","0",
"Yann Aurel Bisseck","deGER","DF,MF","Köln","deBundesliga","16","2000","1.7","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Serge Aurier","ciCIV","DF","Tottenham","engPremier League","24","1992","15.9","38","2.39","29","1","2","5","1","0","4","0.25","1","0","1","1","1","0",
"Charlie Austin","engENG","FW","Southampton","engPremier League","28","1989","11.5","23","1.99","15","0","2","5","1","0","1","0.09","0","0","0","1","0","0",
"Danilo Avelar","brBRA","DF","Amiens","frLigue 1","28","1989","19.2","33","1.72","27","3","0","0","2","1","3","0.16","3","0","0","0","0","0",
"Felipe Avenatti","uyURU","FW","Bologna","itSerie A","24","1993","5.2","7","1.34","7","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Durel Avounou","cgCGO","DF,MF","Caen","frLigue 1","19","1997","7.2","5","0.69","4","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Chidozie Awaziem","ngNGA","DF","Nantes","frLigue 1","20","1997","16.8","13","0.77","10","0","1","1","1","0","1","0.06","1","0","0","0","0","0",
"André Ayew","ghGHA","MF,FW","West Ham","engPremier League","27","1989","9.9","13","1.31","8","0","3","0","2","0","4","0.40","3","0","1","0","0","0",
"André Ayew","ghGHA","MF,FW","Swansea City","engPremier League","27","1989","10.6","20","1.89","15","1","1","2","1","0","4","0.38","2","0","0","1","1","0",
"Jordan Ayew","ghGHA","FW,MF","Swansea City","engPremier League","25","1991","31.7","83","2.62","38","1","15","12","12","5","4","0.13","1","0","1","2","0","0",
"Karim Azamoum","frFRA","MF","Troyes","frLigue 1","27","1990","25.0","44","1.76","36","5","0","3","0","0","1","0.04","1","0","0","0","0","0",
"César Azpilicueta","esESP","DF","Chelsea","engPremier League","27","1989","37.0","61","1.65","58","0","1","1","0","1","8","0.22","8","0","0","0","0","0",
"Ludovic Baal","gfGUF","DF","Rennes","frLigue 1","31","1986","12.9","21","1.63","18","1","1","0","0","1","2","0.16","2","0","0","0","0","0",
"Khouma Babacar","snSEN","FW","Fiorentina","itSerie A","24","1993","5.0","13","2.61","10","0","1","0","2","0","1","0.20","0","0","0","0","1","0",
"Khouma Babacar","snSEN","FW","Sassuolo","itSerie A","24","1993","8.3","15","1.80","9","0","1","2","3","0","2","0.24","2","0","0","0","0","0",
"Carlos Bacca","coCOL","FW","Villarreal","esLa Liga","30","1986","27.7","75","2.70","51","0","18","5","1","0","14","0.50","8","0","6","0","0","0",
"Milan Badelj","hrCRO","MF","Fiorentina","itSerie A","28","1989","26.1","97","3.71","85","0","4","4","2","2","4","0.15","2","0","0","2","0","0",
"Holger Badstuber","deGER","DF,MF","Stuttgart","deBundesliga","28","1989","24.1","9","0.37","7","0","0","1","0","1","0","0.00","0","0","0","0","0","0",
"Dylan Bahamboula","cgCGO","FW,MF","Dijon","frLigue 1","22","1995","0.3","2","5.81","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Farès Bahlouli","frFRA","MF,FW","Lille","frLigue 1","22","1995","3.4","18","5.29","7","8","3","0","0","0","0","0.00","0","0","0","0","0","0",
"Stéphane Bahoken","cmCMR","FW","Strasbourg","frLigue 1","25","1992","18.5","32","1.73","21","0","2","7","2","0","2","0.11","1","0","1","0","0","0",
"Daniel Baier","deGER","MF","Augsburg","deBundesliga","33","1984","28.2","73","2.59","57","3","0","6","5","2","7","0.25","5","1","0","1","0","0",
"Leon Bailey","jmJAM","FW,DF","Leverkusen","deBundesliga","19","1997","24.6","128","5.20","66","26","20","7","5","4","15","0.61","7","2","5","0","0","1",
"Eric Bailly","ciCIV","DF","Manchester Utd","engPremier League","23","1994","11.1","4","0.36","3","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Leighton Baines","engENG","DF","Everton","engPremier League","32","1984","21.2","46","2.17","35","9","1","0","1","0","4","0.19","2","1","1","0","0","0",
"Riad Bajić","baBIH","FW,MF","Udinese","itSerie A","23","1994","0.9","4","4.50","3","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Marvin Bakalorz","deGER","MF","Hannover 96","deBundesliga","27","1989","22.8","43","1.88","28","0","4","3","8","0","5","0.22","3","0","1","1","0","0",
"Cédric Bakambu","cdCOD","FW","Villarreal","esLa Liga","26","1991","14.0","25","1.78","18","0","3","4","0","0","1","0.07","0","0","1","0","0","0",
"Tiemoué Bakayoko","frFRA","MF","Chelsea","engPremier League","22","1994","23.6","45","1.91","37","0","2","3","1","2","6","0.25","6","0","0","0","0","0",
"Zakaria Bakkali","beBEL","FW,MF","La Coruña","esLa Liga","21","1996","10.1","34","3.37","21","3","6","2","2","0","2","0.20","0","1","0","1","0","0",
"Ridle Baku","deGER","MF","Mainz 05","deBundesliga","19","1998","2.6","8","3.09","2","0","1","2","2","1","2","0.77","1","0","1","0","0","0",
"Keita Baldé","snSEN","FW,MF","Monaco","frLigue 1","22","1995","16.4","42","2.57","25","0","11","3","3","0","10","0.61","5","0","4","1","0","0",
"Sam Baldock","engENG","FW","Brighton","engPremier League","28","1989","0.4","1","2.81","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Gareth Bale","wlsWAL","FW,MF","Real Madrid","esLa Liga","28","1989","20.0","71","3.55","60","0","4","4","3","0","9","0.45","5","0","1","1","2","0",
"Mikel Balenziaga","esESP","DF","Athletic Club","esLa Liga","29","1988","17.2","17","0.99","12","2","1","0","1","1","2","0.12","2","0","0","0","0","0",
"Andrija Balić","hrCRO","MF","Udinese","itSerie A","19","1997","12.0","34","2.83","22","6","4","0","2","0","5","0.42","2","1","1","0","1","0",
"Iván Balliu","alALB","DF","Metz","frLigue 1","25","1992","21.7","38","1.75","30","3","2","0","3","0","3","0.14","3","0","0","0","0","0",
