Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","24.3","46","1.90","24","12","6","2","1","1","4","0.16","2","0","2","0","0","0",
"Rolando Aarons","engENG","MF,FW","Newcastle Utd","engPremier League","21","1995","1.5","1","0.65","0","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Rolando Aarons","engENG","MF,FW","Hellas Verona","itSerie A","21","1995","5.7","5","0.87","4","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ignazio Abate","itITA","DF","Milan","itSerie A","30","1986","11.7","27","2.30","24","1","0","2","0","0","4","0.34","3","0","0","1","0","0",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","27","1989","5.5","2","0.36","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Aly Abeid","mrMTN","DF","Levante","esLa Liga","19","1997","0.9","2","2.34","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","24","1992","13.1","19","1.46","13","1","1","3","0","1","1","0.08","1","0","0","0","0","0",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","31","1986","25.6","20","0.78","17","2","0","1","0","0","2","0.08","2","0","0","0","0","0",
"Tammy Abraham","engENG","FW","Swansea City","engPremier League","19","1997","19.2","42","2.19","19","0","11","5","5","2","2","0.10","1","0","0","1","0","0",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","27","1990","9.4","14","1.48","10","0","0","1","3","0","2","0.21","2","0","0","0","0","0",
"Francesco Acerbi","itITA","DF","Sassuolo","itSerie A","29","1988","38.0","30","0.79","28","0","0","1","1","0","0","0.00","0","0","0","0","0","0",
"Afriyie Acquah","ghGHA","MF","Torino","itSerie A","25","1992","10.6","17","1.63","13","0","1","1","2","0","0","0.00","0","0","0","0","0","0",
"Charlie Adam","sctSCO","MF","Stoke City","engPremier League","31","1985","4.6","17","3.72","7","2","3","1","4","0","1","0.22","1","0","0","0","0","0",
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30.0","5","0.17","4","1","0","0","0","0","2","0.07","1","1","0","0","0","0",
"Aday","esESP","DF","Girona","esLa Liga","29","1987","20.4","56","2.75","41","7","0","5","3","0","3","0.15","3","0","0","0","0","0",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","32","1985","32.5","15","0.46","9","4","0","1","1","0","1","0.03","0","0","0","1","0","0",
"Claud Adjapong","itITA","DF,FW","Sassuolo","itSerie A","19","1998","13.6","25","1.84","17","0","1","2","3","2","2","0.15","1","0","0","0","1","0",
"René Adler","deGER","GK","Mainz 05","deBundesliga","32","1985","14.0","5","0.36","4","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yacine Adli","frFRA","FW","Paris S-G","frLigue 1","17","2000","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ali Adnan Kadhim","iqIRQ","DF,FW","Udinese","itSerie A","23","1993","18.6","38","2.05","31","5","1","0","1","0","4","0.22","3","0","0","0","1","0",
"Adrián","esESP","GK","West Ham","engPremier League","30","1987","19.0","2","0.11","1","1","0","0","0","0","1","0.05","0","1","0","0","0","0",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","36","1981","23.9","35","1.46","19","0","2","6","7","1","2","0.08","2","0","0","0","0","0",
"Ibrahim Afellay","nlNED","MF","Stoke City","engPremier League","31","1986","1.8","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Benik Afobe","cdCOD","FW","Bournemouth","engPremier League","24","1993","6.8","11","1.84","6","0","1","2","2","0","1","0.17","0","0","0","0","1","0",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","21","1996","20.3","25","1.23","20","5","0","0","0","0","5","0.25","5","0","0","0","0","0",
"Imanol Agirretxe","esESP","FW","Real Sociedad","esLa Liga","30","1987","2.6","2","0.78","0","0","0","1","1","0","2","0.78","0","0","0","1","1","0",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","29","1988","21.8","80","3.67","57","0","14","5","3","1","12","0.55","8","0","3","0","0","1",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","24","1993","27.3","72","2.64","55","5","5","2","5","0","7","0.26","6","0","0","1","0","0",
"Matías Aguirregaray","uyURU","DF","Las Palmas","esLa Liga","28","1989","12.8","19","1.48","16","0","1","2","0","0","2","0.16","1","0","0","1","0","0",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","23","1994","33.4","42","1.26","31","0","1","6","3","1","6","0.18","3","0","0","1","2","0",
"Ailton","brBRA","DF,MF","Stuttgart","deBundesliga","22","1995","1.2","2","1.65","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Youssef Aït Bennasser","maMAR","MF","Caen","frLigue 1","21","1996","22.7","53","2.33","41","1","7","0","4","0","1","0.04","1","0","0","0","0","0",
"Arlind Ajeti","alALB","DF","Crotone","itSerie A","23","1993","14.1","14","0.99","9","0","0","1","1","3","2","0.14","1","0","0","1","0","0",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","22","1995","10.0","7","0.70","5","0","1","0","0","1","1","0.10","1","0","0","0","0","0",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","22","1995","37.3","20","0.54","17","0","3","0","0","0","5","0.13","5","0","0","0","0","0",
"Ager Aketxe","esESP","MF","Athletic Club","esLa Liga","23","1993","0.4","3","7.30","3","0","0","0","0","0","1","2.43","1","0","0","0","0","0",
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","22","1995","12.2","37","3.02","25","1","5","4","1","1","4","0.33","0","0","3","1","0","0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","22","1995","18.8","15","0.80","15","0","0","0","0","0","1","0.05","1","0","0","0","0","0",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","25","1992","17.2","53","3.07","44","4","1","3","0","1","4","0.23","4","0","0","0","0","0",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","24","1992","17.2","40","2.33","27","0","7","1","4","1","7","0.41","4","0","2","0","1","0",
"David Alba","esESP","DF","Getafe","esLa Liga","18","1999","0.7","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","28","1989","30.5","64","2.10","61","1","1","1","0","0","11","0.36","10","0","0","1","0","0",
"Raúl Albentosa","esESP","DF","La Coruña","esLa Liga","28","1988","19.4","6","0.31","4","0","0","1","1","0","0","0.00","0","0","0","0","0","0",
"Luis Alberto","esESP","FW,MF","Lazio","itSerie A","24","1992","29.7","183","6.18","112","50","12","7","2","0","25","0.84","13","8","3","0","1","0",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","31","1985","30.5","24","0.79","23","0","0","1","0","0","3","0.10","2","0","0","1","0","0",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","26","1990","7.8","20","2.56","15","1","1","1","1","1","3","0.38","3","0","0","0","0","0",
