Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Brenden Aaronson","usUSA","MF,FW","Leeds United","engPremier League","21","2000","26.4","95","3.60","57","17","7","5","8","1","7","0.27","3","1","0","1","1","1",
"Paxten Aaronson","usUSA","MF,DF","Eint Frankfurt","deBundesliga","18","2003","1.9","8","4.16","4","1","0","2","1","0","2","1.04","1","0","0","1","0","0",
"James Abankwah","ieIRL","DF","Udinese","itSerie A","18","2004","0.7","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"George Abbott","engENG","MF","Tottenham","engPremier League","16","2005","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","34","1987","37.0","43","1.16","34","0","2","5","0","2","7","0.19","4","0","2","1","0","0",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","22","1999","23.7","69","2.91","59","4","3","1","0","2","3","0.13","3","0","0","0","0","0",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","22","2000","32.2","50","1.55","43","0","2","2","2","1","1","0.03","1","0","0","0","0","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","29","1993","26.0","33","1.27","27","2","2","1","0","1","1","0.04","1","0","0","0","0","0",
"Oliver Abildgaard","dkDEN","MF","Hellas Verona","itSerie A","26","1996","6.6","9","1.37","8","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Matthis Abline","frFRA","FW,MF","Auxerre","frLigue 1","19","2003","9.0","15","1.67","8","0","5","0","2","0","3","0.33","1","0","1","0","1","0",
"Matthis Abline","frFRA","FW,MF","Rennes","frLigue 1","19","2003","1.2","7","5.94","2","0","0","3","1","1","2","1.70","0","0","0","0","1","1",
"Abner","brBRA","DF","Betis","esLa Liga","22","2000","6.7","8","1.18","5","1","1","1","0","0","1","0.15","1","0","0","0","0","0",
"Zakaria Aboukhlal","maMAR","FW,MF","Toulouse","frLigue 1","22","2000","27.5","80","2.91","44","1","10","13","10","2","8","0.29","4","0","1","2","1","0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","24","1997","24.3","70","2.88","46","0","7","10","7","0","9","0.37","4","0","1","3","1","0",
"Christian Acella","itITA","MF","Cremonese","itSerie A","20","2002","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","34","1988","26.9","37","1.37","34","1","0","2","0","0","1","0.04","1","0","0","0","0","0",
"Álvaro Aceves","esESP","GK","Valladolid","esLa Liga","19","2003","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Mohamed Achi","frFRA","FW","Nantes","frLigue 1","20","2002","0.4","1","2.50","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","30","1991","21.2","65","3.04","45","14","3","3","0","0","4","0.19","4","0","0","0","0","0",
"Che Adams","sctSCO","FW","Southampton","engPremier League","26","1996","22.1","57","2.57","44","1","2","5","5","0","7","0.32","5","0","0","0","2","0",
"Tyler Adams","usUSA","MF","Leeds United","engPremier League","23","1999","24.0","43","1.79","42","0","0","0","1","0","1","0.04","1","0","0","0","0","0",
"Sargis Adamyan","amARM","FW,MF","Köln","deBundesliga","29","1993","7.2","22","3.07","16","0","0","6","0","0","3","0.42","1","0","0","2","0","0",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","24","1997","23.2","18","0.78","15","0","0","3","0","0","0","0.00","0","0","0","0","0","0",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","18","2003","1.2","2","1.68","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","20","2002","15.4","59","3.83","40","0","8","5","4","2","12","0.78","9","0","2","1","0","0",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","22","2000","15.9","56","3.50","36","3","4","4","8","1","11","0.69","6","0","3","0","2","0",
"Yacine Adli","frFRA","MF,FW","Milan","itSerie A","22","2000","1.6","3","1.87","2","1","0","0","0","0","1","0.62","1","0","0","0","0","0",
"Michel Aebischer","chSUI","FW,MF","Bologna","itSerie A","25","1997","17.1","35","2.04","25","3","2","2","2","1","3","0.18","1","0","0","1","1","0",
"Felix Afena-Gyan","ghGHA","FW,MF","Cremonese","itSerie A","19","2003","9.1","15","1.65","10","0","1","4","0","0","1","0.11","0","0","0","1","0","0",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","25","1997","26.5","31","1.17","26","1","0","4","0","0","3","0.11","2","0","0","1","0","0",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","21","2000","7.5","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Lucien Agoume","frFRA","MF","Troyes","frLigue 1","20","2002","12.2","27","2.22","23","3","0","1","0","0","1","0.08","1","0","0","0","0","0",
"Felix Agu","ngNGA","DF,FW","Werder Bremen","deBundesliga","22","1999","0.5","4","7.20","3","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Álvaro Aguado","esESP","MF","Valladolid","esLa Liga","26","1996","21.0","76","3.62","56","13","3","0","4","0","4","0.19","2","2","0","0","0","0",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","23","1998","23.7","59","2.49","41","1","9","4","4","0","3","0.13","2","0","0","0","1","0",
"Nayef Aguerd","maMAR","DF","West Ham","engPremier League","26","1996","17.7","14","0.79","12","1","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","29","1993","13.0","18","1.38","14","1","0","1","1","1","2","0.15","2","0","0","0","0","0",
"Naouirou Ahamada","frFRA","MF,FW","Crystal Palace","engPremier League","20","2002","1.0","2","1.91","1","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","20","2002","15.5","38","2.45","31","0","3","2","1","1","7","0.45","7","0","0","0","0","0",
"Amar Ahmed","seSWE","FW","Troyes","frLigue 1","18","2004","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","28","1994","14.4","28","1.94","21","1","0","1","2","3","2","0.14","2","0","0","0","0","0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","26","1995","34.7","10","0.29","8","0","0","1","0","1","0","0.00","0","0","0","0","0","0",
"Ola Aina","ngNGA","DF","Torino","itSerie A","25","1996","9.7","27","2.77","21","2","3","0","1","0","3","0.31","2","0","1","0","0","0",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","21","2001","12.0","23","1.93","14","2","4","1","2","0","0","0.00","0","0","0","0","0","0",
"Emanuel Aiwum","atAUT","DF","Cremonese","itSerie A","21","2000","18.4","11","0.60","11","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","24","1998","8.5","4","0.47","4","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","28","1994","8.6","22","2.57","20","0","0","2","0","0","2","0.23","1","0","0","1","0","0",
"Ludovic Ajorque","frFRA","FW,MF","Mainz 05","deBundesliga","28","1994","13.5","34","2.53","26","0","0","5","3","0","3","0.22","2","0","0","1","0","0",
"Manuel Akanji","chSUI","DF","Manchester City","engPremier League","27","1995","25.4","23","0.91","22","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","27","1995","20.8","24","1.15","20","1","0","2","0","1","2","0.10","2","0","0","0","0","0",
"Sergio Akieme","esESP","DF","Almería","esLa Liga","24","1997","25.5","36","1.41","29","1","1","3","0","2","3","0.12","2","0","1","0","0","0",
"Babatunde Akinsola","ngNGA","FW","Valladolid","esLa Liga","19","2003","0.1","1","8.18","0","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","20","2002","4.5","9","2.01","9","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Paul Akouokou","ciCIV","MF,DF","Betis","esLa Liga","24","1997","5.0","2","0.40","0","0","0","2","0","0","0","0.00","0","0","0","0","0","0",
"Jean-Daniel Akpa-Akpro","ciCIV","MF,FW","Empoli","itSerie A","29","1992","15.1","28","1.86","18","0","3","2","2","3","5","0.33","3","0","1","1","0","0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","27","1995","21.7","17","0.79","14","0","3","0","0","0","1","0.05","1","0","0","0","0","0",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","30","1992","20.4","27","1.32","23","3","0","1","0","0","4","0.20","3","0","0","1","0","0",
"Ángel Alarcón","esESP","FW,MF","Barcelona","esLa Liga","18","2004","0.3","1","3.46","0","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
