Name,Value,Fee,From,Direction
"Robin Hack","-","-","Hoffenheim U19","Left"
"In-hyeok Park","€150k","End of loanMar 6, 2018","Vojvodina","Left"
"Antonio Colak","€800k","End of loanJan 10, 2018","FC Ingolstadt","Left"
"Baris Atik","€800k","End of loanJan 9, 2018","1.FC K'lautern","Left"
"Benedikt Gimber","€200k","End of loanJun 30, 2017","Karlsruher SC","Left"
"Baris Atik","€800k","End of loanJun 30, 2017","Sturm Graz","Left"
"In-hyeok Park","€200k","End of loanJun 30, 2017","FC Koper","Left"
"Antonio Colak","€800k","End of loanJun 30, 2017","Darmstadt 98","Left"
"Russell Canouse","€350k","End of loanAug 8, 2017","VfL Bochum","Left"
"Nicolai Rapp","€400k","End of loanJun 30, 2017","Greuther Fürth","Left"
"Kevin Akpoguma","€1.25m","End of loanJun 30, 2017","F. Düsseldorf","Left"
"Niklas Süle","€25.00m","€20.00m","Bayern Munich","Joined"
"Sandro Wagner","€9.00m","€13.00m","Bayern Munich","Joined"
"Jeremy Toljan","€3.50m","€7.00m","Dortmund","Joined"
"Fabian Schär","€2.50m","€3.00m","Dep. La Coruña","Joined"
"Marco Terrazzino","€1.50m","€2.50m","Freiburg","Joined"
"Antonio Colak","€800k","Loan fee:€150k","FC Ingolstadt","Joined"
"Nicolai Rapp","€400k","€50k","Erzgebirge Aue","Joined"
"Baris Atik","€800k","Loan fee:€50k","1.FC K'lautern","Joined"
"Danilo Soares","€500k","free transfer","VfL Bochum","Joined"
"Pirmin Schwegler","€1.50m","free transfer","Hannover 96","Joined"
"Sebastian Rudy","€8.00m","free transfer","Bayern Munich","Joined"
"In-hyeok Park","€150k","?","Daejeon Citizen","Joined"
"Russell Canouse","€350k","?","D.C. United","Joined"
"In-hyeok Park","€200k","loan transfer","Vojvodina","Joined"
"Philipp Ochs","€1.00m","loan transfer","VfL Bochum","Joined"
"Benedikt Gimber","€200k","loan transfer","J. Regensburg","Joined"
"Baris Atik","€800k","loan transfer","Darmstadt 98","Joined"
"Antonio Colak","€600k","loan transfer","HNK Rijeka","Joined"
"Joshua Mees","€200k","loan transfer","J. Regensburg","Joined"
"Jhon Córdoba","€7.00m","€17.00m","Mainz","Left"
"Jannes Horn","€4.00m","€7.00m","Wolfsburg","Left"
"Jorge Meré","€6.00m","€7.00m","Sporting Gijón","Left"
"João Queirós","€1.50m","€3.00m","Braga U19","Left"
"Simon Terodde","€3.00m","€3.00m","Stuttgart","Left"
"Vincent Koziello","€11.00m","€3.00m","Nice","Left"
"Chris Führich","€50k","free transfer","Oberhausen U19","Left"
"Tim Handwerker","€100k","free transfer","Leverkusen U19","Left"
"Nikolas Nartey","€300k","-","1.FC Köln II","Left"
"Claudio Pizarro","€1.00m","-","Without Club","Left"
"Anthony Modeste","€20.00m","Loan fee:€5.70m","TJ Quanjian","Joined"
"Konstantin Rausch","€2.00m","€1.50m","Dinamo Moscow","Joined"
