Name,Value,Fee,From,Direction
"Kévin Soni","€250k","End of loanJun 30, 2017","Pau FC","Left"
"Enzo Crivelli","€4.00m","End of loanJun 30, 2017","SC Bastia","Left"
"Adam Ounas","€4.00m","€12.00m","Napoli","Joined"
"Enzo Crivelli","€4.00m","€4.00m","Angers SCO","Joined"
"Thomas Touré","€1.50m","€3.00m","Angers SCO","Joined"
"Isaac Kiese Thelin","€1.50m","€2.75m","RSC Anderlecht","Joined"
"Nicolas Pallois","€3.50m","€2.00m","FC Nantes","Joined"
"Jérémy Ménez","€6.00m","€1.50m","Antalyaspor","Joined"
"Frédéric Guilbert","€2.50m","€1.50m","SM Caen","Joined"
"Mauro Arambarri","€1.25m","€1.00m","Boston River","Joined"
"Cédric Yambéré","€2.00m","€500k","Dijon","Joined"
"Cédric Carrasso","€1.00m","free transfer","Galatasaray","Joined"
"Kévin Soni","€250k","free transfer","CF Peralada","Joined"
"Paul Bernardoni","€800k","loan transfer","Clermont Foot","Joined"
"Daniel Mancini","€1.25m","loan transfer","Tours FC","Joined"
"Aaron Boupendza","-","loan transfer","Pau FC","Joined"
"Diego Rolán","€8.00m","loan transfer","Málaga CF","Joined"
"Vukasin Jovanovic","€5.00m","loan transfer","SD Eibar","Joined"
"Jérémy Toulalan","-","-","Retired","Joined"
"Nicolas Maurice-Belay","€1.00m","-","Without Club","Joined"
"Abdou Traoré","€600k","-","Without Club","Joined"
"Matheus Pereira","€350k","End of loanJan 31, 2018","Juventus","Joined"
"Vukasin Jovanovic","€1.25m","End of loanJun 30, 2017","Zenit S-Pb","Joined"
"Youssouf Sabaly","€4.50m","End of loanJun 30, 2017","PSG","Joined"
"Alexander Djiku","€1.25m","€2.00m","SC Bastia","Left"
"Frédéric Guilbert","€2.50m","€1.50m","G. Bordeaux","Left"
"Stef Peeters","€1.50m","€1.35m","Sint-Truiden","Left"
"Jan Repas","€500k","€1.00m","NK Domzale","Left"
"Timo Stavitski","€100k","€600k","RoPS","Left"
"Baissama Sankoh","€800k","€500k","Guingamp","Left"
"Adama Mbengue","-","free transfer","Diambars FC","Left"
"Brice Samba","€400k","free transfer","Marseille","Left"
"Youssef Aït Bennasser","€3.00m","loan transfer","Monaco","Left"
