Name,Value,Fee,From,Direction
"Federico Fazio","€9.00m","€3.20m","Roma","Joined"
"Vincent Janssen","€13.00m","Loan fee:€2.50m","Fenerbahçe","Joined"
"Cameron Carter-Vickers","€500k","loan transfer","Sheff Utd","Joined"
"Cameron Carter-Vickers","€500k","loan transfer","Ipswich","Joined"
"Josh Onomah","€2.50m","loan transfer","Aston Villa","Joined"
"David Button","-","loan transfer","Grays Athletic","Joined"
"Georges-Kevin N'Koudou","€7.00m","loan transfer","Burnley","Joined"
"Pau López","€1.50m","End of loanJun 30, 2017","Espanyol","Joined"
"Aymeric Laporte","€25.00m","€65.00m","Athletic Club","Left"
"Benjamin Mendy","€13.00m","€57.50m","Monaco","Left"
"Kyle Walker","€30.00m","€52.70m","Tottenham","Left"
"Bernardo Silva","€40.00m","€50.00m","Monaco","Left"
"Ederson","€22.00m","€40.00m","Benfica","Left"
"Danilo","€16.00m","€30.00m","Real Madrid","Left"
"Douglas Luiz","-","€12.00m","Vasco da Gama","Left"
"Jack Harrison","€1.75m","€4.00m","New York City","Left"
"Olarenwaju Kayode","€4.00m","€3.80m","Austria Vienna","Left"
"Luka Ilic","-","€2.50m","Red Star","Left"
"Brahim Díaz","-","-","Man City U23","Left"
"Phil Foden","-","-","Man City U18","Left"
"Marlos Moreno","€500k","End of loanJan 15, 2018","Girona","Left"
"Jack Harrison","€3.50m","End of loanMay 31, 2018","Middlesbrough","Left"
"Eliaquim Mangala","€15.00m","End of loanMay 31, 2018","Everton","Left"
"Joe Hart","€10.00m","End of loanMay 31, 2018","West Ham","Left"
"Patrick Roberts","€7.50m","End of loanMay 21, 2018","Celtic","Left"
"Olarenwaju Kayode","€3.00m","End of loanJan 31, 2018","Girona","Left"
"Rubén Sobrino","€500k","End of loanJun 30, 2017","Alavés","Left"
"Bersant Celina","€2.50m","End of loanMay 31, 2018","Ipswich","Left"
"Angus Gunn","€2.00m","End of loanMay 31, 2018","Norwich","Left"
"Bruno Zuculini","€1.20m","End of loanJun 30, 2017","Hellas Verona","Left"
"Pablo Maffeo","€500k","End of loanJun 30, 2017","Girona","Left"
"Eliaquim Mangala","€15.00m","End of loanJun 30, 2017","Valencia","Left"
"Samir Nasri","€16.00m","End of loanJun 30, 2017","Sevilla FC","Left"
"Joe Hart","€13.00m","End of loanJun 30, 2017","Torino","Left"
"Oleksandr Zinchenko","€4.50m","End of loanJun 30, 2017","PSV","Left"
"Bersant Celina","€2.50m","End of loanJun 30, 2017","Twente FC","Left"
"Pablo Marí","€400k","End of loanJun 30, 2017","Girona","Left"
"Marlos Moreno","€1.00m","End of loanJun 30, 2017","Dep. La Coruña","Left"
"Enes Ünal","€10.00m","End of loanJun 30, 2017","Twente FC","Left"
"Kelechi Iheanacho","€15.00m","€27.70m","Leicester","Joined"
"Enes Ünal","€10.00m","€14.00m","Villarreal","Joined"
"Wilfried Bony","€18.00m","€13.00m","Swansea","Joined"
"Aaron Mooy","€5.00m","€9.10m","Huddersfield","Joined"
"Nolito","€12.00m","€7.00m","Sevilla FC","Joined"
"Fernando","€10.00m","€6.00m","Galatasaray","Joined"
"Aleksandar Kolarov","€10.00m","€5.00m","Roma","Joined"
"Samir Nasri","€16.00m","€3.50m","Antalyaspor","Joined"
"Joe Hart","€13.00m","Loan fee:€2.30m","West Ham","Joined"
"Rubén Sobrino","€500k","€2.00m","Alavés","Joined"
"Bruno Zuculini","€1.20m","€1.25m","Hellas Verona","Joined"
"Jason Denayer","€4.00m","Loan fee:€500k","Galatasaray","Joined"
"Willy Caballero","€1.50m","free transfer","Chelsea","Joined"
"Gaël Clichy","€7.00m","free transfer","Basaksehir","Joined"
"Jesús Navas","€12.00m","free transfer","Sevilla FC","Joined"
"Pablo Zabaleta","€7.00m","free transfer","West Ham","Joined"
"Luka Ilic","-","loan transfer","Red Star","Joined"
"Douglas Luiz","-","loan transfer","Girona","Joined"
"Pablo Maffeo","€500k","loan transfer","Girona","Joined"
"Anthony Cáceres","€600k","loan transfer","Al-Wasl","Joined"
"Patrick Roberts","€7.50m","loan transfer","Celtic","Joined"
"Olarenwaju Kayode","€4.00m","loan transfer","Girona","Joined"
"Aleix García","€1.00m","loan transfer","Girona","Joined"
"Marlos Moreno","€1.00m","loan transfer","Girona","Joined"
"Bersant Celina","€2.50m","loan transfer","Ipswich","Joined"
"Pablo Marí","€400k","loan transfer","NAC Breda","Joined"
"Angus Gunn","€250k","loan transfer","Norwich","Joined"
