Name,Value,Fee,From,Direction
"Roque Mesa","€10.00m","loan transfer","Swansea","Left"
"Sandro Ramírez","€10.00m","loan transfer","Everton","Left"
"Borja Lasso","€1.50m","-","Sevilla Atl.","Left"
"Juan Muñoz","€500k","End of loanJun 30, 2017","Levante","Left"
"Yevgen Konoplyanka","€10.00m","End of loanJun 30, 2017","FC Schalke 04","Left"
"Sebastián Cristóforo","€2.70m","End of loanJun 30, 2017","Fiorentina","Left"
"Vitolo","€25.00m","€35.60m","Atlético","Joined"
"Vicente Iborra","€9.00m","€15.00m","Leicester","Joined"
"Yevgen Konoplyanka","€10.00m","€12.50m","FC Schalke 04","Joined"
"Adil Rami","€5.00m","€6.00m","Marseille","Joined"
"Walter Montoya","€5.00m","€5.50m","CD Cruz Azul","Joined"
"Mariano","€8.00m","€4.50m","Galatasaray","Joined"
"Sebastián Cristóforo","€2.70m","€2.50m","Fiorentina","Joined"
"Michael Krohn-Dehli","€1.50m","free transfer","Dep. La Coruña","Joined"
"Borja Lasso","€1.50m","loan transfer","CA Osasuna","Joined"
"Juan Muñoz","€500k","loan transfer","UD Almería","Joined"
"Benoît Trémoulinas","€2.00m","-","Without Club","Joined"
"Stevan Jovetić","€10.00m","End of loanJun 30, 2017","Inter","Joined"
"Samir Nasri","€16.00m","End of loanJun 30, 2017","Man City","Joined"
"Luciano Vietto","€12.00m","End of loanJun 30, 2017","Atlético","Joined"
"Matías Kranevitter","€6.00m","End of loanJun 30, 2017","Atlético","Joined"
"Rúben Semedo","€9.00m","€14.00m","Sporting","Left"
"Enes Ünal","€10.00m","€14.00m","Man City","Left"
"Pablo Fornals","€10.00m","€12.00m","Málaga CF","Left"
"Carlos Bacca","€18.00m","Loan fee:€2.50m","AC Milan","Left"
"Andrés Fernández","€1.50m","€2.00m","Porto","Left"
"Javi Fuego","€1.00m","€1.50m","Espanyol","Left"
"Roger Martínez","€4.00m","Loan fee:€100k","JS Suning","Left"
"Salem Al-Dawsari","€950k","loan transfer","Al-Hilal","Left"
"Luis Quintero","-","?","Kelme U19","Left"
"Enes Ünal","€14.00m","End of loanDec 31, 2017","Levante","Left"
"Akram Afif","€700k","End of loanJan 30, 2018","KAS Eupen","Left"
"Matías Nahuel","€1.00m","End of loanJan 28, 2018","Real Betis","Left"
"Cristian Espinoza","€2.50m","End of loanJun 30, 2017","Real Valladolid","Left"
"Alfred N'Diaye","€5.00m","End of loanJun 30, 2017","Hull City","Left"
"Alfonso Pedraza","€1.00m","End of loanJun 30, 2017","Leeds","Left"
"Akram Afif","€600k","End of loanJun 30, 2017","Sporting Gijón","Left"
"Adrián Marín","€1.00m","End of loanJun 30, 2017","CD Leganés","Left"
"Cédric Bakambu","€25.00m","€40.00m","BJ Guoan","Joined"
"Mateo Musacchio","€18.00m","€18.00m","AC Milan","Joined"
"Roberto Soldado","€8.00m","€5.00m","Fenerbahçe","Joined"
"Jonathan dos Santos","€8.00m","€5.00m","LA Galaxy","Joined"
"Enes Ünal","€14.00m","loan transfer","Levante","Joined"
