Name,Value,Fee,From,Direction
"Chicharito","€12.00m","€7.75m","West Ham","Left"
"Fernando","€4.50m","€4.50m","Galatasaray","Left"
"Suso","€30.00m","Loan fee:€980k","AC Milan","Left"
"Yan Eteki","€1.00m","€500k","UD Almería","Left"
"Nemanja Gudelj","€6.50m","free transfer","GZ Evergrande","Left"
"Sergio Reguilón","€15.00m","loan transfer","Real Madrid","Left"
"Yassine Bounou","€5.00m","loan transfer","Girona","Left"
"Javi Díaz","€200k","-","Sevilla Atl.","Left"
"Sergio Rico","€12.00m","End of loanJun 30, 2019","Fulham","Left"
"Marc Gual","€1.00m","End of loanJun 30, 2019","Real Zaragoza","Left"
"Marc Gual","€1.40m","End of loanJan 29, 2020","Girona","Left"
"Sébastien Corchia","€2.00m","End of loanJun 30, 2019","Benfica","Left"
"Álex Pozo","€2.50m","End of loanJun 30, 2019","Granada CF","Left"
"Giorgi Aburjania","€800k","End of loanJun 30, 2019","CD Lugo","Left"
"Carlos Fernández","€2.00m","End of loanJun 30, 2019","Dep. La Coruña","Left"
"Simon Kjaer","€6.50m","End of loanJan 12, 2020","Atalanta","Left"
"Luis Muriel","€13.00m","End of loanJun 30, 2019","Fiorentina","Left"
"Sergio Rico","€8.00m","End of loanAug 24, 2020","PSG","Left"
"Ibrahim Amadou","€7.00m","End of loanJan 30, 2020","Norwich","Left"
"Guilherme Arana","€2.80m","End of loanJan 30, 2020","Atalanta","Left"
"Wissam Ben Yedder","€40.00m","€40.00m","Monaco","Joined"
"Luis Muriel","€13.00m","€21.20m","Atalanta","Joined"
"Pablo Sarabia","€40.00m","€18.00m","PSG","Joined"
"Quincy Promes","€18.00m","€15.70m","Ajax","Joined"
"Munas Dabbur","€10.00m","€12.00m","Hoffenheim","Joined"
"Maximilian Wöber","€10.00m","€10.50m","Salzburg","Joined"
"Chicharito","€9.00m","€8.50m","LA Galaxy","Joined"
"Guilherme Arana","€2.80m","Loan fee:€2.50m","Atlético-MG","Joined"
"Daniel Carriço","€2.50m","€2.00m","WH Zall","Joined"
"Yan Eteki","€1.00m","€1.00m","Granada CF","Joined"
"Nolito","€1.60m","free transfer","Celta de Vigo","Joined"
"Gabriel Mercado","€2.50m","free transfer","Al-Rayyan","Joined"
"Simon Kjaer","€8.00m","loan transfer","Atalanta","Joined"
"Ibrahim Amadou","€7.00m","loan transfer","CD Leganés","Joined"
"Bryan Gil","€10.00m","loan transfer","CD Leganés","Joined"
"Marc Gual","€1.40m","loan transfer","RM Castilla","Joined"
"Álex Pozo","€5.00m","loan transfer","RCD Mallorca","Joined"
"Simon Kjaer","€6.50m","loan transfer","AC Milan","Joined"
"Sergio Rico","€12.00m","loan transfer","PSG","Joined"
"Guilherme Arana","€3.00m","loan transfer","Atalanta","Joined"
"Joris Gnagnon","€6.00m","loan transfer","Stade Rennais","Joined"
"Sébastien Corchia","€2.00m","loan transfer","Espanyol","Joined"
"Carlos Fernández","€2.00m","loan transfer","Granada CF","Joined"
"Roque Mesa","€7.00m","loan transfer","CD Leganés","Joined"
"Juan Soriano","€2.50m","loan transfer","CD Leganés","Joined"
"Giorgi Aburjania","€800k","loan transfer","Twente FC","Joined"
"Ibrahim Amadou","€7.00m","loan transfer","Norwich","Joined"
"Aleix Vidal","€4.00m","loan transfer","Alavés","Joined"
"Marc Gual","€1.00m","loan transfer","Girona","Joined"
"André Silva","€22.00m","End of loanJun 30, 2019","AC Milan","Joined"
"Maxime Gonalons","€4.00m","End of loanJun 30, 2019","Roma","Joined"
"Marko Rog","€6.00m","End of loanJun 30, 2019","Napoli","Joined"
"Maximilian Wöber","€10.00m","End of loanJun 30, 2019","Ajax","Joined"
"Hodei Oleaga","€200k","-","Bilbao Athletic","Left"
"Iñigo Vicente","€1.00m","-","Bilbao Athletic","Left"
"Asier Villalibre","€2.00m","-","Bilbao Athletic","Left"
"Gaizka Larrazabal","€300k","-","Bilbao Athletic","Left"
"Peru Nolaskoain","€5.00m","-","Bilbao Athletic","Left"
"Cristian Ganea","€1.00m","End of loanJun 30, 2019","CD Numancia","Left"
"Sabin Merino","€1.00m","End of loanJun 30, 2019","CD Leganés","Left"
"Andoni López","€500k","End of loanJun 30, 2019","UD Almería","Left"
"Xabi Etxeita","€2.00m","End of loanJun 30, 2019","SD Huesca","Left"
"Mikel Vesga","€4.00m","End of loanJun 30, 2019","CD Leganés","Left"
"Xabi Etxeita","€2.00m","free transfer","Getafe","Joined"
"Sabin Merino","€1.00m","free transfer","CD Leganés","Joined"
"Álex Remiro","€1.50m","free transfer","Real Sociedad","Joined"
"Mikel Rico","€800k","free transfer","SD Huesca","Joined"
"Ander Iturraspe","€2.50m","free transfer","Espanyol","Joined"
"Cristian Ganea","€1.00m","loan transfer","FC Viitorul","Joined"
"Hodei Oleaga","€200k","loan transfer","UD Melilla","Joined"
"Peru Nolaskoain","€5.00m","loan transfer","Dep. La Coruña","Joined"
"Andoni López","€500k","loan transfer","Elche CF","Joined"
"Iñigo Vicente","€1.00m","loan transfer","CD Mirandés","Joined"
"Aritz Aduriz","-","-","Retired","Joined"
"Markel Susaeta","€6.00m","-","Without Club","Joined"
"Alexander Isak","€8.00m","€15.00m","Dortmund","Left"
"Portu","€10.00m","€10.00m","Girona","Left"
"Modibo Sagnan","€3.00m","€4.50m","Lens","Left"
"Martin Ødegaard","€15.00m","Loan fee:€2.00m","Real Madrid","Left"
"Nacho Monreal","€8.00m","€250k","Arsenal","Left"
"Álex Remiro","€1.50m","free transfer","Athletic Club","Left"
"Ander Barrenetxea","€10.00m","-","Real Sociedad B","Left"
"Robin Le Normand","€4.00m","-","Real Sociedad B","Left"
"Ander Guevara","€2.50m","-","Real Sociedad B","Left"
"Aihen Muñoz","€7.50m","-","Real Sociedad B","Left"
"David Concha","€200k","End of loanJan 1, 2020","Gamba Osaka","Left"
"Jon Guridi","€250k","End of loanJun 30, 2019","CD Mirandés","Left"
"Eneko Capilla","€300k","End of loanJun 30, 2019","CyD Leonesa","Left"
"Juanmi","€8.00m","€8.00m","Real Betis","Joined"
"Gerónimo Rulli","€10.00m","Loan fee:€1.50m","Montpellier","Joined"
"Rubén Pardo","€3.00m","free transfer","G. Bordeaux","Joined"
"Héctor Moreno","€6.00m","free transfer","Al-Gharafa","Joined"
"Eneko Capilla","€300k","free transfer","Asteras Tripoli","Joined"
"Raúl Navas","€3.00m","loan transfer","CA Osasuna","Joined"
"Kévin Rodrigues","€3.00m","loan transfer","CD Leganés","Joined"
"Jon Bautista","€2.00m","loan transfer","KAS Eupen","Joined"
"Modibo Sagnan","€3.00m","loan transfer","CD Mirandés","Joined"
"Jon Guridi","€250k","loan transfer","CD Mirandés","Joined"
"Martín Merquelanz","€400k","loan transfer","CD Mirandés","Joined"
"David Concha","€200k","-","Without Club","Joined"
"Sandro Ramírez","€4.00m","End of loanJun 30, 2019","Everton","Joined"
"Theo Hernández","€15.00m","End of loanJun 30, 2019","Real Madrid","Joined"
"Raúl de Tomás","€15.00m","€22.50m","Benfica","Left"
"Matías Vargas","€11.00m","€10.50m","Vélez Sarsfield","Left"
"Adrián Embarba","€4.00m","€10.00m","Rayo Vallecano","Left"
"Leandro Cabrera","€10.00m","€9.00m","Getafe","Left"
"Fernando Calero","€10.00m","€8.00m","Real Valladolid","Left"
"Oier Olazábal","€2.00m","€1.50m","Levante","Left"
"Andrés Prieto","€200k","free transfer","CD Leganés","Left"
"Ander Iturraspe","€2.50m","free transfer","Athletic Club","Left"
"Bernardo Espinosa","€6.00m","loan transfer","Girona","Left"
"Sébastien Corchia","€2.00m","loan transfer","Sevilla FC","Left"
"Jonathan Calleri","€9.00m","loan transfer","CD Maldonado","Left"
"Víctor Campuzano","€300k","-","RCD Espanyol B","Left"
"Víctor Gómez","€300k","-","RCD Espanyol B","Left"
"Adrià Pedrosa","€10.00m","-","RCD Espanyol B","Left"
"Lluís López","€300k","-","RCD Espanyol B","Left"
"Javi Puado","€900k","End of loanAug 17, 2020","Real Zaragoza","Left"
"Aarón Martín","€20.00m","End of loanJun 30, 2019","Mainz","Left"
"Pipa","€300k","End of loanJun 30, 2019","Gimnàstic","Left"
"Álvaro Vázquez","€1.00m","End of loanJun 30, 2019","Real Zaragoza","Left"
"Borja Iglesias","€28.00m","€28.00m","Real Betis","Joined"
"Mario Hermoso","€25.00m","€25.00m","Atlético","Joined"
"Aarón Martín","€20.00m","€8.00m","Mainz","Joined"
"Esteban Granero","€3.00m","free transfer","Marbella FC","Joined"
"Óscar Duarte","€1.00m","free transfer","Levante","Joined"
"Hernán Pérez","€1.50m","free transfer","Al-Ahli SC","Joined"
"Pablo Piatti","€3.00m","free transfer","Toronto","Joined"
"Roberto","€1.50m","free transfer","West Ham","Joined"
"Álvaro Vázquez","€1.00m","free transfer","Sporting Gijón","Joined"
"Lluís López","€1.50m","loan transfer","CD Tenerife","Joined"
"Álex López","€400k","loan transfer","CD Lugo","Joined"
"Javi Puado","€1.00m","loan transfer","Real Zaragoza","Joined"
"Sergio García","-","-","Without Club","Joined"
"Alfa Semedo","€2.00m","End of loanJun 30, 2019","Benfica","Joined"
"Roberto Rosales","€2.50m","End of loanJun 30, 2019","Málaga CF","Joined"
"Lucas Pérez","€4.00m","€2.30m","West Ham","Left"
"Joselu","€4.00m","€2.24m","Newcastle","Left"
"Ramón Miérez","€650k","€2.23m","Tigre","Left"
"Pere Pons","€4.00m","€2.00m","Girona","Left"
"Luis Rioja","€1.50m","€2.00m","UD Almería","Left"
"Jeando Fuchs","€2.00m","€1.00m","FC Sochaux","Left"
"Tachi","€300k","free transfer","Atl. Madrileño","Left"
"Saúl García","€900k","free transfer","Dep. La Coruña","Left"
"Olivier Verdon","€500k","free transfer","FC Sochaux","Left"
"Edgar Méndez","€2.00m","?","CD Cruz Azul","Left"
"Lisandro Magallán","€6.00m","loan transfer","Ajax","Left"
"Oliver Burke","€10.00m","loan transfer","West Brom","Left"
"Aleix Vidal","€4.00m","loan transfer","Sevilla FC","Left"
"Ljubomir Fejsa","€3.50m","loan transfer","Benfica","Left"
"Roberto","€1.00m","loan transfer","West Ham","Left"
"Ismael Gutiérrez","€1.00m","loan transfer","Real Betis","Left"
"Víctor Camarasa","€5.00m","loan transfer","Real Betis","Left"
"Borja Sainz","-","-","Alavés U19","Left"
"Anderson Cruz","€200k","End of loanJun 30, 2019","FC Sochaux","Left"
"Rafa Páez","€400k","End of loanJun 30, 2019","FC Sochaux","Left"
"Rafa Navarro","€500k","End of loanJun 30, 2019","FC Sochaux","Left"
"Javi Muñoz","€500k","End of loanJun 30, 2019","Real Oviedo","Left"
"Jeando Fuchs","€1.50m","End of loanJan 27, 2020","Maccabi Haifa","Left"
"Antonio Glauder","€300k","End of loanJun 30, 2019","CF Fuenlabrada","Left"
"Ermedin Demirovic","€1.00m","End of loanJun 30, 2019","UD Almería","Left"
"Nando García","€400k","End of loanJun 30, 2019","Extremadura","Left"
"Madger Gomes","€150k","End of loanJun 30, 2019","NK Istra","Left"
"Dani Torres","€900k","End of loanJun 30, 2019","Albacete","Left"
"Adrián Diéguez","€300k","End of loanJun 30, 2019","SD Huesca","Left"
"Guillermo Maripán","€15.00m","€18.00m","Monaco","Joined"
"Mubarak Wakaso","€2.50m","€4.00m","JS Suning","Joined"
"John Guidetti","€2.00m","Loan fee:€500k","Hannover 96","Joined"
"Dani Torres","€600k","free transfer","Real Zaragoza","Joined"
"Carlos Vigaray","€600k","free transfer","Real Zaragoza","Joined"
"Antonio Glauder","€300k","free transfer","CF Fuenlabrada","Joined"
"Nando García","€400k","free transfer","Arka Gdynia","Joined"
"Madger Gomes","€150k","?","Doncaster","Joined"
"Javi Muñoz","€400k","loan transfer","CD Tenerife","Joined"
"Patrick Twumasi","€1.20m","loan transfer","Gaziantep FK","Joined"
"Ramón Miérez","€650k","loan transfer","CD Tenerife","Joined"
"Rafa Páez","€400k","loan transfer","NK Istra","Joined"
"Adrián Diéguez","€300k","loan transfer","AD Alcorcón","Joined"
"Anderson Cruz","€200k","loan transfer","CF Fuenlabrada","Joined"
"Olivier Verdon","€500k","loan transfer","KAS Eupen","Joined"
"Antonio Sivera","€1.50m","loan transfer","UD Almería","Joined"
"Jeando Fuchs","€2.00m","loan transfer","Maccabi Haifa","Joined"
"Saúl García","€900k","loan transfer","Rayo Vallecano","Joined"
"Ermedin Demirovic","€1.00m","loan transfer","FC St. Gallen","Joined"
"Burgui","€1.50m","loan transfer","Real Zaragoza","Joined"
"Jonathan Calleri","€9.00m","End of loanJun 30, 2019","CD Maldonado","Joined"
"Jony","€10.00m","End of loanJun 30, 2019","Málaga CF","Joined"
"Borja Bastón","€2.00m","End of loanJun 30, 2019","Swansea","Joined"
"Diego Rolán","€2.00m","End of loanJun 30, 2019","Dep. La Coruña","Joined"
"Darko Brasanac","€2.00m","End of loanJun 30, 2019","Real Betis","Joined"
"Takashi Inui","€4.00m","End of loanJun 30, 2019","Real Betis","Joined"
"Álex Blanco","€500k","End of loanJun 30, 2019","Valencia","Joined"
"Edu Expósito","€4.00m","€4.00m","Dep. La Coruña","Left"
"Quique González","€1.50m","€3.30m","Dep. La Coruña","Left"
"Roberto Olabe","€800k","€3.00m","Atl. Madrileño","Left"
"Pedro Bigas","€3.00m","€3.00m","UD Las Palmas","Left"
"Takashi Inui","€4.00m","€2.00m","Real Betis","Left"
"Marc Cucurella","€10.00m","€2.00m","Barcelona","Left"
"Rober Correa","€800k","free transfer","Cádiz CF","Left"
"Asier Benito","€250k","free transfer","Bilbao Athletic","Left"
"Rubén Lobato","€250k","free transfer","Oviedo Vetusta","Left"
"Esteban Burgos","€1.00m","free transfer","AD Alcorcón","Left"
"Álvaro Tejero","€3.00m","free transfer","RM Castilla","Left"
"Rafa Soares","€3.00m","loan transfer","Vit. Guimarães","Left"
"Sebastián Cristóforo","€1.50m","loan transfer","Fiorentina","Left"
"Roberto Olabe","€800k","End of loanJan 21, 2020","Albacete","Left"
"Pablo Hervías","€700k","End of loanJun 30, 2019","Real Valladolid","Left"
"Yoel Rodríguez","€1.50m","End of loanJun 30, 2019","Real Valladolid","Left"
"Unai Elgezabal","€400k","End of loanJun 30, 2019","AD Alcorcón","Left"
"Nano Mesa","€600k","End of loanJun 30, 2019","CD Tenerife","Left"
"José Antonio Martínez","€1.20m","End of loanJun 30, 2019","Granada CF","Left"
"Joan Jordán","€12.00m","€14.00m","Sevilla FC","Joined"
"Rubén Peña","€10.00m","€8.00m","Villarreal","Joined"
"Marc Cucurella","€10.00m","€4.00m","Barcelona","Joined"
"Pablo Hervías","€700k","€1.00m","Real Valladolid","Joined"
"Unai Elgezabal","€400k","free transfer","AD Alcorcón","Joined"
"Pere Milla","€700k","free transfer","Elche CF","Joined"
"Rubén Lobato","€250k","free transfer","Getafe CF B","Joined"
"Asier Riesgo","€400k","free transfer","Girona","Joined"
"Asier Benito","€250k","loan transfer","Ponferradina","Joined"
"José Antonio Martínez","€1.20m","loan transfer","Granada CF","Joined"
"Nano Mesa","€600k","loan transfer","Cádiz CF","Joined"
"Jordi Calavera","€600k","loan transfer","Girona","Joined"
"Roberto Olabe","€800k","loan transfer","Extremadura","Joined"
"Roberto Olabe","€800k","loan transfer","Albacete","Joined"
"Marc Cucurella","€10.00m","End of loanJun 30, 2019","Barcelona","Joined"
"Pedro Bigas","€3.00m","End of loanJun 30, 2019","UD Las Palmas","Joined"
"Marc Cardona","€1.50m","End of loanJun 30, 2019","Barcelona","Joined"
"Kenneth Omeruo","€5.00m","€7.00m","Chelsea","Left"
"Martin Braithwaite","€8.00m","€5.00m","Middlesbrough","Left"
"Jonathan Silva","€3.00m","€2.70m","Sporting","Left"
"Juan Muñoz","€1.50m","€1.50m","AD Alcorcón","Left"
"Roberto Rosales","€2.50m","€1.20m","Málaga CF","Left"
"Federico Varela","€2.00m","€1.00m","FC Porto B","Left"
"Owusu Kwabena","€300k","End of loanJan 22, 2020€50k","Córdoba CF","Left"
"Álex Martín","€100k","free transfer","RM Castilla","Left"
"Brian Melendres","-","free transfer","Unknown","Left"
"Sabin Merino","€1.00m","free transfer","Athletic Club","Left"
"Roque Mesa","€7.00m","loan transfer","Sevilla FC","Left"
"Chidozie Awaziem","€3.50m","loan transfer","Porto","Left"
"Guido Carrillo","€7.50m","loan transfer","Southampton","Left"
"Christian Rivera","€2.50m","loan transfer","UD Las Palmas","Left"
"Kévin Rodrigues","€3.00m","loan transfer","Real Sociedad","Left"
"Bryan Gil","€10.00m","loan transfer","Sevilla FC","Left"
"Miguel Ángel Guerrero","€2.00m","loan transfer","Olympiacos","Left"
"Roger Assalé","€7.50m","loan transfer","Young Boys","Left"
"Ibrahim Amadou","€7.00m","loan transfer","Sevilla FC","Left"
"Aitor Ruibal","€1.50m","loan transfer","Real Betis","Left"
"Juan Soriano","€2.50m","loan transfer","Sevilla FC","Left"
"Kleandro Lleshi","€200k","-","CD Leganés B","Left"
"Mamadou Koné","€800k","End of loanJun 30, 2019","Málaga CF","Left"
"Josua Mejías","€200k","End of loanJun 30, 2019","FC Cartagena","Left"
"Dani Ojeda","€400k","End of loanJun 30, 2019","Granada CF","Left"
"Fede Vico","€1.50m","End of loanJun 30, 2019","Granada CF","Left"
"Owusu Kwabena","€300k","End of loanJun 30, 2019","Salamanca CF","Left"
"William de Camargo","€200k","End of loanJun 30, 2019","Karpaty Lviv","Left"
"Facundo García","€600k","End of loanJun 30, 2019","AEK Larnaca","Left"
"Luciano","€2.00m","End of loanJul 28, 2019","Fluminense","Left"
"Kleandro Lleshi","€200k","End of loanJan 20, 2020","CF Fuenlabrada","Left"
"Youssef En-Nesyri","€12.00m","€20.00m","Sevilla FC","Joined"
"Martin Braithwaite","€10.00m","€18.00m","Barcelona","Joined"
"Luciano","€2.00m","€1.00m","Grêmio","Joined"
"Gerard Gumbau","€2.50m","€500k","Girona","Joined"
"José Manuel Arnáiz","€2.50m","Loan fee:€500k","CA Osasuna","Joined"
"Owusu Kwabena","€300k","€300k","Qarabağ","Joined"
"Juan Muñoz","€1.50m","Loan fee:€270k","UD Almería","Joined"
"Fede Vico","€1.50m","€250k","Granada CF","Joined"
"Sabin Merino","€900k","free transfer","Dep. La Coruña","Joined"
"Andrés Prieto","€200k","free transfer","Espanyol","Joined"
"Ezequiel Muñoz","€1.00m","free transfer","Lanús","Joined"
"Nabil El Zhar","€2.00m","free transfer","Al-Ahli SC","Joined"
"Owusu Kwabena","€300k","loan transfer","Córdoba CF","Joined"
"Josua Mejías","€200k","loan transfer","Atl. Madrileño","Joined"
"Facundo García","€600k","loan transfer","AEK Larnaca","Joined"
"Álex Martín","€100k","loan transfer","FC Cartagena","Joined"
"William de Camargo","€200k","loan transfer","FC Cartagena","Joined"
"Federico Varela","€1.00m","loan transfer","UD Las Palmas","Joined"
"Vasyl Kravets","€2.00m","loan transfer","CD Lugo","Joined"
"Kleandro Lleshi","€200k","loan transfer","Recr. Huelva","Joined"
"Kleandro Lleshi","€200k","loan transfer","CF Fuenlabrada","Joined"
"Mamadou Koné","€800k","loan transfer","Dep. La Coruña","Joined"
"Dani Ojeda","€400k","loan transfer","Albacete","Joined"
"Mikel Vesga","€4.00m","End of loanJun 30, 2019","Athletic Club","Joined"
"Guido Carrillo","€7.50m","End of loanJun 30, 2019","Southampton","Joined"
"Diego Reyes","€2.00m","End of loanJun 30, 2019","Fenerbahçe","Joined"
"Christian Rivera","€2.00m","End of loanJan 30, 2020","UD Las Palmas","Joined"
"Juanfran Moreno","€2.50m","End of loanJun 30, 2019","Dep. La Coruña","Joined"
"Martin Braithwaite","€8.00m","End of loanJun 30, 2019","Middlesbrough","Joined"
"Jonathan Silva","€3.00m","End of loanJun 30, 2019","Sporting","Joined"
"Sabin Merino","€1.00m","End of loanJun 30, 2019","Athletic Club","Joined"
"Michael Santos","€2.00m","End of loanJun 30, 2019","Málaga CF","Joined"
"Andriy Lunin","€7.50m","End of loanJun 30, 2019","Real Madrid","Joined"
"Kenneth Omeruo","€5.00m","End of loanJun 30, 2019","Chelsea","Joined"
"Allan Nyom","€3.00m","End of loanJun 30, 2019","West Brom","Joined"
"Borja Iglesias","€28.00m","€28.00m","Espanyol","Left"
"Giovani Lo Celso","€50.00m","€22.00m","PSG","Left"
"Nabil Fekir","€60.00m","€19.75m","Lyon","Left"
"Álex Moreno","€12.00m","€9.70m","Rayo Vallecano","Left"
"Juanmi","€8.00m","€8.00m","Real Sociedad","Left"
"Dani Martín","€600k","€5.00m","Sporting Gijón","Left"
"Guido Rodríguez","€10.00m","€4.00m","América","Left"
"Carles Aleñá","€20.00m","loan transfer","Barcelona","Left"
"Alfonso Pedraza","€22.00m","loan transfer","Villarreal","Left"
"Aitor Ruibal","€1.50m","-","Betis Deportivo","Left"
"Ismael Gutiérrez","€1.00m","-","Betis Deportivo","Left"
"Víctor Camarasa","€5.00m","End of loanJan 12, 2020","Crystal Palace","Left"
"Álex Alegría","€800k","End of loanJun 30, 2019","Sporting Gijón","Left"
"Ryad Boudebouz","€6.00m","End of loanJun 30, 2019","Celta de Vigo","Left"
"Takashi Inui","€4.00m","End of loanJun 30, 2019","Alavés","Left"
"Juanjo Narváez","€700k","End of loanJun 30, 2019","UD Almería","Left"
"Wilfrid Kaptoum","€2.40m","End of loanAug 17, 2020","UD Almería","Left"
"Darko Brasanac","€2.00m","End of loanJun 30, 2019","Alavés","Left"
"Alin Toșca","€1.25m","End of loanJun 30, 2019","PAOK","Left"
"Liberto Beltrán","€100k","End of loanJun 30, 2019","CyD Leonesa","Left"
"Víctor Camarasa","€10.00m","End of loanJun 30, 2019","Cardiff","Left"
"Pau López","€20.00m","€23.50m","Roma","Joined"
"Junior Firpo","€25.00m","€20.00m","Barcelona","Joined"
"Giovani Lo Celso","€50.00m","Loan fee:€16.00m","Tottenham","Joined"
"Sergio León","€3.00m","€4.00m","Levante","Joined"
"Ryad Boudebouz","€6.00m","€3.50m","Saint-Étienne","Joined"
"Takashi Inui","€4.00m","€2.00m","SD Eibar","Joined"
"Víctor Camarasa","€10.00m","Loan fee:€1.50m","Crystal Palace","Joined"
"Darko Brasanac","€2.00m","€1.00m","CA Osasuna","Joined"
"Wilfrid Kaptoum","€3.00m","Loan fee:€500k","UD Almería","Joined"
"Álex Alegría","€800k","free transfer","RCD Mallorca","Joined"
"Alin Toșca","€1.25m","free transfer","Gaziantep FK","Joined"
"Juanjo Narváez","€700k","loan transfer","UD Las Palmas","Joined"
"Liberto Beltrán","€100k","loan transfer","Lleida Esportiu","Joined"
"Víctor Camarasa","€5.00m","loan transfer","Alavés","Joined"
"Ismael Gutiérrez","€1.00m","loan transfer","Alavés","Joined"
"Francis Guerrero","€3.00m","loan transfer","UD Almería","Joined"
"Aitor Ruibal","€1.50m","loan transfer","CD Leganés","Joined"
"Jesé","€5.00m","End of loanJun 30, 2019","PSG","Joined"
"Giovani Lo Celso","€50.00m","End of loanJun 30, 2019","PSG","Joined"
"Paco Alcácer","€42.00m","€25.00m","Dortmund","Left"
"Rubén Peña","€10.00m","€8.00m","SD Eibar","Left"
"Javi Ontiveros","€6.00m","€7.50m","Málaga CF","Left"
"Raúl Albiol","€5.00m","€4.00m","Napoli","Left"
"Moi Gómez","€5.00m","€1.30m","Sporting Gijón","Left"
"Alberto Moreno","€9.00m","free transfer","Liverpool","Left"
"Frank Anguissa","€25.00m","loan transfer","Fulham","Left"
"Soufiane Chakla","€250k","-","Villarreal CF B","Left"
"Enric Franquesa","€150k","-","Villarreal CF B","Left"
"Xavi Quintillà","€1.00m","-","Villarreal CF B","Left"
"Rúben Semedo","€2.00m","End of loanJun 30, 2019","Rio Ave","Left"
"Nicola Sansone","€7.50m","End of loanJun 30, 2019","Bologna","Left"
"Roberto Soriano","€7.00m","End of loanJun 30, 2019","Bologna","Left"
"Cristian Espinoza","€1.50m","End of loanDec 31, 2019","SJ Earthquakes","Left"
"Leo Suárez","€1.00m","End of loanJun 30, 2019","RCD Mallorca","Left"
"Denis Cheryshev","€6.00m","End of loanJun 30, 2019","Valencia","Left"
"Juan Ibiza","€600k","End of loanJun 30, 2019","UD Almería","Left"
"Alfred N'Diaye","€3.50m","End of loanAug 30, 2019","Málaga CF","Left"
"Pau Torres","€4.00m","End of loanJun 30, 2019","Málaga CF","Left"
"Pablo Fornals","€25.00m","€28.00m","West Ham","Joined"
"Nicola Sansone","€7.50m","€8.00m","Bologna","Joined"
"Roberto Soriano","€7.00m","€8.00m","Bologna","Joined"
"Alfred N'Diaye","€3.50m","€6.00m","Al-Shabab","Joined"
"Denis Cheryshev","€6.00m","€6.00m","Valencia","Joined"
"Rúben Semedo","€2.00m","€4.50m","Olympiacos","Joined"
"Karl Toko Ekambi","€17.50m","Loan fee:€4.00m","Lyon","Joined"
"Víctor Ruiz","€7.00m","€2.50m","Besiktas","Joined"
"Cristian Espinoza","€1.50m","€2.30m","SJ Earthquakes","Joined"
"Juan Ibiza","€600k","free transfer","UD Almería","Joined"
"Javi Fuego","€800k","free transfer","Sporting Gijón","Joined"
"Álvaro González","€8.00m","loan transfer","Marseille","Joined"
"Leo Suárez","€900k","?","América","Joined"
"Santiago Cáseres","€6.00m","loan transfer","América","Joined"
"Miguel Llambrich","€800k","loan transfer","SD Huesca","Joined"
"Alfonso Pedraza","€22.00m","loan transfer","Real Betis","Joined"
"Enric Franquesa","€150k","loan transfer","CD Mirandés","Joined"
"Jaume Costa","€4.00m","loan transfer","Valencia","Joined"
"Dani Raba","€2.00m","loan transfer","SD Huesca","Joined"
"Daniele Bonera","€200k","-","Retired","Joined"
"Rúben Vezo","€6.00m","€5.00m","Valencia","Left"
"Sergio León","€3.00m","€4.00m","Real Betis","Left"
"Gonzalo Melero","€4.00m","€3.60m","SD Huesca","Left"
"Borja Mayoral","€4.00m","Loan fee:€2.00m","Real Madrid","Left"
"Jorge Miramón","€3.00m","free transfer","SD Huesca","Left"
"Óscar Duarte","€1.00m","free transfer","Espanyol","Left"
"Bruno González","€1.50m","free transfer","Getafe","Left"
"Róber Pier","€2.50m","free transfer","Dep. La Coruña","Left"
"Hernâni","€2.50m","free transfer","Porto","Left"
"Nemanja Radoja","€3.00m","free transfer","Celta de Vigo","Left"
"Carlos Clerc","€2.00m","free transfer","CA Osasuna","Left"
"Pepelu","€300k","-","Atl. Levante","Left"
"Fran Manzanara","€300k","-","Atl. Levante","Left"
"Ivi López","€800k","End of loanJan 15, 2020","SD Huesca","Left"
"Rubén García","€3.50m","End of loanJun 30, 2019","CA Osasuna","Left"
"Armando Sadiku","€700k","End of loanJun 30, 2019","FC Lugano","Left"
"Ivi López","€1.00m","End of loanJun 30, 2019","Sporting Gijón","Left"
"Sanjin Prcic","€4.00m","End of loanJun 30, 2019","R. Strasbourg","Left"
"Esteban Saveljich","€1.00m","End of loanJun 30, 2019","UD Almería","Left"
"Koke Vegas","€700k","End of loanJan 31, 2020","Dep. La Coruña","Left"
"Iván López","€400k","End of loanJun 30, 2019","Gimnàstic","Left"
"Erick Cabaco","€2.00m","€8.00m","Getafe","Joined"
"Rubén García","€3.50m","€3.50m","CA Osasuna","Joined"
"Oier Olazábal","€2.00m","€1.50m","Espanyol","Joined"
"Sanjin Prcic","€4.00m","€1.00m","R. Strasbourg","Joined"
"Chema Rodríguez","€2.50m","€500k","Nott'm Forest","Joined"
"Esteban Saveljich","€1.00m","€400k","Rayo Vallecano","Joined"
"Pedro López","€200k","free transfer","SD Huesca","Joined"
"Jason Remeseiro","€5.00m","free transfer","Valencia","Joined"
"Fran Manzanara","€300k","loan transfer","Ponferradina","Joined"
"Moses Simon","€3.00m","loan transfer","FC Nantes","Joined"
"Ivi López","€800k","loan transfer","Ponferradina","Joined"
"Pepelu","€300k","loan transfer","Tondela","Joined"
"Antonio Luna","€1.50m","loan transfer","Rayo Vallecano","Joined"
