Name,Value,Fee,From,Direction
"Gianluca Di Chiara","€1.30m","€2.80m","Perugia","Left"
"Jean-Claude Billong","€400k","€2.50m","NK Maribor","Left"
"Samuel Armenteros","€2.50m","€2.00m","Heracles Almelo","Left"
"Danilo Cataldi","€6.00m","Loan fee:€2.00m","Lazio","Left"
"Gaetano Letizia","€2.30m","€1.75m","Carpi","Left"
"Vid Belec","€2.30m","€1.75m","Carpi","Left"
"Massimo Coda","€1.80m","€1.70m","Salernitana","Left"
"Andrea Costa","€1.00m","€1.50m","FC Empoli","Left"
"Raman Chibsah","€2.00m","€1.00m","Sassuolo","Left"
"Pietro Iemmello","€1.50m","Loan fee:€1.00m","Sassuolo","Left"
"Vittorio Parigini","€1.20m","Loan fee:€500k","Torino","Left"
"Bright Gyamfi","€300k","€280k","Inter","Left"
"Cheick Diabaté","€4.00m","Loan fee:€200k","Osmanlispor FK","Left"
"Alberto Brignoli","€1.00m","Loan fee:€200k","Juventus","Left"
"Ledian Memushaj","€2.00m","Loan fee:€200k","Pescara","Left"
"Alin Toșca","€1.00m","Loan fee:€100k","Real Betis","Left"
"Guilherme","€2.50m","free transfer","Legia Warszawa","Left"
"Christian Puggioni","€300k","free transfer","Sampdoria","Left"
"Sandro","€2.50m","loan transfer","Antalyaspor","Left"
"Filip Djuricic","€1.50m","loan transfer","Sampdoria","Left"
"Luca Antei","€1.00m","loan transfer","Sassuolo","Left"
"Cristiano Lombardi","€700k","loan transfer","Lazio","Left"
"Achraf Lazaar","€2.50m","loan transfer","Newcastle","Left"
"Marco D'Alessandro","€1.50m","loan transfer","Atalanta","Left"
"Berat Djimsiti","€700k","loan transfer","Atalanta","Left"
"Enrico Brignola","€50k","-","Benevento U19","Left"
"Bacary Sagna","€1.00m","-","Without Club","Left"
"Nii Nortey Ashong","€100k","-","Without Club","Left"
"Christian Rutjens","€50k","-","Without Club","Left"
"Andreaw Gravillon","€1.00m","€3.50m","Pescara","Joined"
"Amato Ciciretti","€3.00m","Loan fee:€280k","Parma","Joined"
"Karamoko Cissé","€500k","€200k","Bari","Joined"
"Nii Nortey Ashong","€100k","free transfer","Sliema Wander.","Joined"
"Daniel Kofi Agyei","€275k","free transfer","Carrarese","Joined"
"Loreto Perfetto","-","free transfer","Virtus Volla","Joined"
"Omar Joof","€50k","free transfer","Manfredonia","Joined"
"Wálter López","€400k","free transfer","Spezia Calcio","Joined"
"Fabrizio Melara","€200k","free transfer","Juve Stabia","Joined"
"Enrico Pezzi","€250k","free transfer","Cittadella","Joined"
"Daniele Buzzegoli","€200k","free transfer","Ascoli","Joined"
"Emanuele Padella","€250k","free transfer","Ascoli","Joined"
"Mamadou Kanoute","€300k","loan transfer","Pro Vercelli","Joined"
"Michele Camporese","€700k","loan transfer","Foggia","Joined"
"Andrea De Falco","€150k","loan transfer","Matera","Joined"
"Mirko Eramo","€700k","?","Virtus Entella","Joined"
"Salvatore Tazza","€100k","loan transfer","Paganese","Joined"
"Raman Chibsah","€1.60m","loan transfer","Frosinone","Joined"
"Antonio Cotticelli","€25k","loan transfer","Sliema Wander.","Joined"
"Vid Belec","€1.70m","loan transfer","Sampdoria","Joined"
"Gianluca Di Chiara","€2.00m","loan transfer","Carpi","Joined"
"Samuel Armenteros","€2.00m","loan transfer","Portland","Joined"
"Fabio Ceravolo","€1.80m","loan transfer","Parma","Joined"
"Pier Graziano Gori","€100k","-","Without Club","Joined"
"Nikola Jakimovski","€200k","-","Without Club","Joined"
"George Pușcaș","€1.50m","End of loanJan 28, 2018","Inter","Joined"
"Filippo Falco","€2.20m","End of loanJun 30, 2017","Bologna","Joined"
"Antonio Matera","€200k","End of loanJun 30, 2017","Andria","Joined"
"Fabrizio Alastra","€450k","End of loanJun 30, 2017","US Palermo","Joined"
"Marko Pajac","€350k","End of loanJun 30, 2017","Cagliari","Joined"
"Ricardo Bagadur","€300k","End of loanJun 30, 2017","Fiorentina","Joined"
"Raman Chibsah","€2.00m","End of loanJun 30, 2017","Sassuolo","Joined"
"Bright Gyamfi","€300k","End of loanJun 30, 2017","Inter","Joined"
"Alessio Cragno","€3.50m","End of loanJun 30, 2017","Cagliari","Joined"
"Saphir Taïder","€5.00m","€4.00m","Inter","Left"
"César Falletti","€2.00m","€2.50m","Luqueño","Left"
"Filip Helander","€1.50m","€2.00m","Hellas Verona","Left"
"Sebastien De Maio","€1.50m","€2.00m","RSC Anderlecht","Left"
"Giancarlo González","€2.00m","€1.50m","US Palermo","Left"
"Nehuén Paz","€1.40m","€1.00m","Newell's","Left"
"Antonio Santurro","€200k","free transfer","Siracusa","Left"
"Andrea Poli","€4.00m","free transfer","AC Milan","Left"
"Rodrigo Palacio","€800k","free transfer","Inter","Left"
"Felipe Avenatti","€1.40m","loan transfer","Luqueño","Left"
"Riccardo Orsolini","€3.50m","loan transfer","Juventus","Left"
"Cheick Keita","€1.25m","loan transfer","Birmingham","Left"
"Simone Romagnoli","€1.40m","loan transfer","FC Empoli","Left"
"Aaron Mattia Tabacchi","€125k","-","Bologna U19","Left"
"Federico Ravaglia","€75k","-","Bologna U19","Left"
"Gianmarco Gerevini","€200k","free transfer","Matelica","Joined"
"Rubén Palomeque","€50k","free transfer","Linares","Joined"
"Anthony Mounier","€2.00m","free transfer","Panathinaikos","Joined"
"Lorenzo Paramatti","€100k","free transfer","AS Gubbio","Joined"
"Nicola Camilloni","€50k","free transfer","AJ Fano","Joined"
"Francesco Bergamini","€50k","free transfer","AS Gubbio","Joined"
"Domenico Maietta","€300k","free transfer","FC Empoli","Joined"
"Uros Radakovic","€500k","free transfer","Sigma Olomouc","Joined"
"Luca Rizzo","€2.50m","loan transfer","SPAL","Joined"
"Luca Rizzo","€2.20m","loan transfer","Atalanta","Joined"
"Nicolò Cherubin","€400k","?","Hellas Verona","Joined"
"Daniele Gastaldello","€600k","?","Brescia","Joined"
"Orji Okwonkwo","€1.00m","loan transfer","Brescia","Joined"
"Bruno Petkovic","€1.20m","loan transfer","Hellas Verona","Joined"
"Marios Ikonomou","€1.50m","loan transfer","Bari","Joined"
"Filippo Falco","€1.80m","loan transfer","Pescara","Joined"
"Deian Boldor","€300k","loan transfer","Hellas Verona","Joined"
"Saphir Taïder","€4.00m","loan transfer","Montreal","Joined"
"Lorenzo Colli","€75k","loan transfer","Prato","Joined"
"Lorenzo Musto","€75k","loan transfer","Arzachena","Joined"
"Nehuén Paz","€1.40m","loan transfer","Lanús","Joined"
"Mouhamadou Sarr","€75k","loan transfer","Prato","Joined"
"Filippo Falco","€2.20m","loan transfer","Perugia","Joined"
"Deian Boldor","€300k","loan transfer","Montreal","Joined"
"Andrea Vassallo","€200k","loan transfer","Carrarese","Joined"
"Aaron Mattia Tabacchi","€125k","loan transfer","Ravenna","Joined"
"Lorenzo Musto","€75k","loan transfer","Renate","Joined"
"Marios Ikonomou","€1.80m","loan transfer","SPAL","Joined"
"Adama Fofana","€50k","-","Without Club","Joined"
"Antonio Calabrese","€75k","-","Without Club","Joined"
"Federico Viviani","€3.50m","End of loanJun 30, 2017","Hellas Verona","Joined"
"Filip Helander","€1.50m","End of loanJun 30, 2017","Hellas Verona","Joined"
"Umar Sadiq","€2.00m","End of loanJun 30, 2017","Roma","Joined"
"Saphir Taïder","€5.00m","End of loanJun 30, 2017","Inter","Joined"
"Leonardo Pavoletti","€11.00m","€9.80m","Napoli","Left"
"Filippo Romagna","€1.00m","€7.40m","Juventus","Left"
"Senna Miangue","€1.80m","€3.20m","Inter","Left"
"Paolo Faragò","€2.50m","€2.30m","Novara","Left"
"Luca Cigarini","€2.00m","€2.26m","Sampdoria","Left"
"Fabrizio Caligara","€150k","€2.00m","Juventus U19","Left"
"Damir Céter","€350k","€1.50m","Quindío","Left"
"Gregory van der Wiel","€3.00m","€1.00m","Fenerbahçe","Left"
"Daniele Ragatzu","€250k","€830k","Olbia","Left"
"Charalampos Lykogiannis","€2.00m","€800k","Sturm Graz","Left"
"Ilias Bouhlal","-","free transfer","RE Virton U19","Left"
"Andrea Cossu","€150k","free transfer","Olbia","Left"
"Marco Andreolli","€2.00m","free transfer","Inter","Left"
"Leandro Castán","€3.00m","loan transfer","Roma","Left"
"Nicola Murru","€2.50m","€9.00m","Sampdoria","Joined"
"Dario Del Fabro","€600k","€4.50m","Juventus","Joined"
"Duje Cop","€3.50m","€3.10m","Standard Liège","Joined"
"Marco Borriello","€800k","€1.00m","SPAL","Joined"
"Gregory van der Wiel","€1.00m","€1.00m","Toronto","Joined"
"Víctor Ibarbo","€2.50m","€500k","Sagan Tosu","Joined"
"Marco Fossati","€2.50m","€300k","Hellas Verona","Joined"
"Simone Colombi","€900k","€275k","Carpi","Joined"
"Federico Melchiorri","€1.00m","Loan fee:€200k","Carpi","Joined"
"Marco Monni","€25k","free transfer","Ferrini","Joined"
"Antonio Balzano","€500k","free transfer","Pescara","Joined"
"Caio Rangel","€800k","free transfer","Estoril","Joined"
"Bruno Alves","€800k","free transfer","Rangers","Joined"
"Davide Di Gennaro","€2.80m","free transfer","Lazio","Joined"
"Luigi Scanu","€50k","free transfer","Latte Dolce","Joined"
"Mauricio Isla","€4.00m","free transfer","Fenerbahçe","Joined"
"Daniele Ragatzu","€250k","loan transfer","Olbia","Joined"
"Alessandro Capello","€400k","loan transfer","Padova","Joined"
"Bartosz Salamon","€1.60m","loan transfer","SPAL","Joined"
"Fabio Puledda","€50k","?","Atletico Uri","Joined"
"Marco Capuano","€700k","loan transfer","Crotone","Joined"
"Ilias Bouhlal","-","loan transfer","Muravera","Joined"
"Kwang-song Han","€500k","loan transfer","Perugia","Joined"
"Santiago Colombatto","€700k","loan transfer","Perugia","Joined"
"Marko Pajac","€350k","loan transfer","Perugia","Joined"
"Gabriel Montaperto","€50k","loan transfer","Racing Fondi","Joined"
"Antonio Auriemma","€25k","-","Without Club","Joined"
"Marco Russu","€100k","-","Without Club","Joined"
"Werther Carboni","€75k","-","Without Club","Joined"
"Roberto Colombo","-","-","Retired","Joined"
"Senna Miangue","€1.80m","End of loanJun 30, 2017","Inter","Joined"
"Paolo Faragò","€2.50m","End of loanJun 30, 2017","Novara","Joined"
"Gabriel","€1.40m","End of loanJun 30, 2017","AC Milan","Joined"
"Panagiotis Tachtsidis","€2.00m","End of loanJun 30, 2017","Torino","Joined"
"Luca Garritano","€1.50m","€1.00m","Cesena","Left"
"Martin Valjent","€1.20m","€500k","Ternana U.","Left"
"Alejandro Rodríguez","€600k","€500k","Cesena","Left"
"Paweł Jaroszyński","€400k","€400k","Cracovia","Left"
"Nenad Tomovic","€3.30m","Loan fee:€300k","Fiorentina","Left"
"Michele Rigione","€300k","€200k","Cesena","Left"
"Gianluca Gaudino","€1.25m","€50k","Bayern Munich","Left"
"Alessandro Roma","€75k","?","Ciliverghe","Left"
"Manuel Pucciarelli","€3.00m","loan transfer","FC Empoli","Left"
"Emanuele Giaccherini","€1.00m","loan transfer","Napoli","Left"
"Strahinja Tanasijević","€200k","loan transfer","Rad","Left"
"Mariusz Stepinski","€2.50m","loan transfer","FC Nantes","Left"
"Fabio Depaoli","€150k","-","Chievo U19","Left"
"Sofian Kiyine","€400k","-","Chievo U19","Left"
"Alessandro Confente","€100k","-","Chievo U19","Left"
"Mehdi Léris","€300k","-","Chievo U19","Left"
"Emanuel Vignato","€225k","-","Chievo U19","Left"
"Roberto Inglese","€4.50m","loan transfer","Napoli","Left"
"Roberto Inglese","€4.50m","€12.00m","Napoli","Joined"
"Paul-José Mpoku","€3.00m","€1.80m","Standard Liège","Joined"
"Ivan Provedel","€800k","€1.20m","FC Empoli","Joined"
"Filippo Costa","€600k","€1.00m","SPAL","Joined"
"Caleb Ekuban","€750k","€560k","Leeds","Joined"
"Marco Calderoni","€500k","€500k","Novara","Joined"
"Raffaele Pucino","€300k","€500k","Salernitana","Joined"
