Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses
"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","32.0","1107","1469","75.4","16588","6133","645","713","90.5","383","511","75.0","57","160","35.6","2","1.7","1.7","+0.3","20","50","37","9","117",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","33.1","1284","1578","81.4","25516","9586","415","469","88.5","715","787","90.9","145","266","54.5","0","0.8","0.6","-0.8","9","95","7","0","119",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","27.4","1535","1701","90.2","25518","5456","748","805","92.9","655","699","93.7","108","129","83.7","0","0.9","0.8","-0.9","17","87","13","1","108",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","32.8","1342","1660","80.8","23767","6837","606","679","89.2","535","620","86.3","152","236","64.4","2","3.7","2.6","-1.7","35","147","23","9","171",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","0.5","3","7","42.9","46","0","2","3","66.7","1","3","33.3","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","8.1","84","137","61.3","1009","278","53","78","67.9","23","36","63.9","1","3","33.3","1","1.3","0.6","-0.3","7","5","6","0","17",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","1.1","7","9","77.8","72","15","5","7","71.4","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","1","0","2",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","34.3","485","696","69.7","6820","1622","293","401","73.1","134","180","74.4","28","39","71.8","4","4.8","2.4","-0.8","38","35","27","3","70",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","6.2","191","226","84.5","3666","1177","56","67","83.6","113","119","95.0","18","28","64.3","0","0.0","0.0","0.0","0","8","0","0","10",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","28.2","1837","2043","89.9","34996","12273","678","731","92.7","919","968","94.9","211","296","71.3","0","0.5","0.8","-0.5","5","119","6","0","119",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","2.9","37","64","57.8","481","117","22","32","68.8","10","18","55.6","1","3","33.3","1","0.4","0.3","+0.6","3","3","3","2","2",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","0.1","6","9","66.7","102","10","1","1","100.0","3","6","50.0","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","25.1","1543","1963","78.6","29328","10206","662","722","91.7","640","767","83.4","219","392","55.9","3","2.9","4.1","+0.1","43","115","43","27","131",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","22.7","304","472","64.4","4188","1017","188","256","73.4","73","106","68.9","18","34","52.9","3","3.0","1.7","0.0","26","24","10","0","33",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","15.0","794","918","86.5","11903","3451","424","460","92.2","278","307","90.6","49","71","69.0","1","0.9","1.4","+0.1","7","85","8","0","96",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","3.7","73","101","72.3","991","255","44","57","77.2","28","35","80.0","0","3","0.0","0","0.5","0.5","-0.5","4","5","4","2","9",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","3.9","107","147","72.8","1681","608","51","63","81.0","39","47","83.0","9","14","64.3","0","0.5","0.2","-0.5","3","8","3","0","16",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","14.0","376","516","72.9","5007","1529","219","272","80.5","125","166","75.3","9","18","50.0","2","2.1","1.5","-0.1","14","27","19","4","56",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","25.1","906","1251","72.4","17505","6047","410","480","85.4","310","407","76.2","157","279","56.3","7","5.7","4.3","+1.3","59","122","36","4","164",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","4.9","205","239","85.8","3121","883","105","113","92.9","78","84","92.9","12","22","54.5","0","0.4","0.3","-0.4","6","14","4","1","19",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","7.4","114","152","75.0","1530","229","67","81","82.7","34","45","75.6","6","7","85.7","0","0.6","0.2","-0.6","6","4","4","1","7",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","18.0","547","792","69.1","9008","4537","279","349","79.9","216","294","73.5","44","110","40.0","1","0.7","0.7","+0.3","14","51","20","12","57",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4.0","62","82","75.6","1721","1232","11","11","100.0","34","34","100.0","17","37","45.9","0","0.0","0.0","0.0","0","1","0","0","0",
"Lucien Agoume","frFRA","MF","Brest","frLigue 1","19","2002","20.8","836","996","83.9","15009","4513","371","417","89.0","328","377","87.0","112","141","79.4","0","0.7","0.6","-0.7","13","86","8","0","116",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","22","1998","13.7","280","389","72.0","3788","1163","165","211","78.2","90","108","83.3","7","20","35.0","1","0.9","0.7","+0.1","10","33","11","1","46",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","25","1996","30.4","1959","2204","88.9","40414","15329","613","660","92.9","1050","1106","94.9","277","398","69.6","2","0.3","0.3","+1.7","4","118","2","0","101",
