Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Stéphane Bahoken","cmCMR","FW","Strasbourg","frLigue 1","25","1992","18.5","234","340","68.8","3132","700","143","173","82.7","64","90","71.1","10","21","47.6","1","1.7","1.7","-0.7","13","7","17","8","22",
"Daniel Baier","deGER","MF","Augsburg","deBundesliga","33","1984","28.2","1196","1644","72.7","22390","8036","459","575","79.8","507","642","79.0","170","301","56.5","2","1.9","2.5","+0.1","27","153","23","6","197",
"Leon Bailey","jmJAM","FW,DF","Leverkusen","deBundesliga","19","1997","24.6","744","1094","68.0","13658","4037","389","475","81.9","209","309","67.6","123","235","52.3","6","6.7","7.2","-0.7","59","55","45","19","84",
"Eric Bailly","ciCIV","DF","Manchester Utd","engPremier League","23","1994","11.1","368","428","86.0","6857","2226","126","139","90.6","197","211","93.4","35","57","61.4","0","0.2","0.2","-0.2","2","15","2","0","26",
"Leighton Baines","engENG","DF","Everton","engPremier League","32","1984","21.2","774","1009","76.7","12799","5667","397","438","90.6","298","369","80.8","61","140","43.6","3","1.9","2.3","+1.1","24","71","21","9","84",
"Riad Bajić","baBIH","FW,MF","Udinese","itSerie A","23","1994","0.9","13","19","68.4","238","72","5","9","55.6","7","7","100.0","1","1","100.0","0","0.2","0.2","-0.2","2","3","1","0","3",
"Marvin Bakalorz","deGER","MF","Hannover 96","deBundesliga","27","1989","22.8","432","628","68.8","7138","2289","225","289","77.9","145","207","70.0","47","87","54.0","1","2.1","1.3","-1.1","14","58","11","0","72",
"Cédric Bakambu","cdCOD","FW","Villarreal","esLa Liga","26","1991","14.0","209","293","71.3","2837","684","125","152","82.2","54","84","64.3","11","17","64.7","0","1.6","0.6","-1.6","15","19","5","1","21",
"Tiemoué Bakayoko","frFRA","MF","Chelsea","engPremier League","22","1994","23.6","957","1116","85.8","14377","3737","511","571","89.5","326","377","86.5","58","76","76.3","2","1.2","0.9","+0.8","16","88","9","1","123",
"Zakaria Bakkali","beBEL","FW,MF","La Coruña","esLa Liga","21","1996","10.1","232","307","75.6","3284","692","145","164","88.4","66","93","71.0","14","29","48.3","0","0.3","0.9","-0.3","8","13","3","2","30",
