Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Leonardo Bittencourt","deGER","MF,FW","Köln","deBundesliga","23","1993","17.9","492","689","71.4","6927","1800","278","335","83.0","161","220","73.2","26","66","39.4","3","2.3","2.8","+0.7","26","41","28","7","69",
"Albano Bizzarri","arARG","GK","Udinese","itSerie A","39","1977","32.0","716","1093","65.5","24841","19064","58","58","100.0","261","267","97.8","394","763","51.6","0","0.0","0.0","0.0","1","7","0","0","0",
"Rubén Blanco","esESP","GK","Celta Vigo","esLa Liga","22","1995","21.6","507","819","61.9","16518","11951","22","22","100.0","277","281","98.6","208","507","41.0","0","0.0","0.0","0.0","0","12","0","0","1",
"Ludovic Blas","frFRA","MF","Guingamp","frLigue 1","19","1997","19.9","829","975","85.0","14653","3717","377","413","91.3","316","355","89.0","102","142","71.8","2","1.5","1.2","+0.5","18","80","11","2","128",
"Pablo de Blasis","arARG","FW,MF","Mainz 05","deBundesliga","29","1988","18.4","532","733","72.6","8697","2295","284","358","79.3","168","225","74.7","55","83","66.3","2","2.1","2.8","-0.1","29","55","14","3","68",
"Jérémy Blayac","frFRA","FW","Strasbourg","frLigue 1","34","1983","10.2","228","361","63.2","2896","554","135","204","66.2","65","95","68.4","6","12","50.0","1","1.7","1.4","-0.7","17","18","6","1","25",
"Alexis Blin","frFRA","MF","Toulouse","frLigue 1","20","1996","21.0","597","774","77.1","9623","3549","317","381","83.2","212","269","78.8","49","88","55.7","3","1.4","1.6","+1.6","7","91","7","4","98",
"Daley Blind","nlNED","DF,MF","Manchester Utd","engPremier League","27","1990","4.0","220","274","80.3","3520","1332","120","132","90.9","74","92","80.4","22","43","51.2","0","0.2","0.6","-0.2","4","18","7","3","23",
"Danny Blum","deGER","MF,DF","Eint Frankfurt","deBundesliga","26","1991","0.3","7","11","63.6","84","16","4","4","100.0","2","3","66.7","0","1","0.0","0","0.0","0.0","0.0","0","0","1","0","1",
"Emmanuel Boateng","ghGHA","FW","Levante","esLa Liga","21","1996","14.2","143","228","62.7","1890","358","99","138","71.7","31","58","53.4","7","9","77.8","0","1.3","0.4","-1.3","7","18","7","0","21",
"Jérôme Boateng","deGER","DF","Bayern Munich","deBundesliga","28","1988","18.2","1236","1445","85.5","28953","12627","258","274","94.2","711","758","93.8","264","391","67.5","2","1.7","2.9","+0.3","12","171","20","5","127",
"Kevin-Prince Boateng","ghGHA","MF,FW","Eint Frankfurt","deBundesliga","30","1987","26.2","849","1119","75.9","14801","3773","400","491","81.5","333","400","83.3","90","149","60.4","1","1.4","1.8","-0.4","17","105","21","3","143",
"Raúl Bobadilla","pyPAR","FW,MF","Gladbach","deBundesliga","30","1987","5.0","90","123","73.2","1105","167","58","72","80.6","20","24","83.3","3","6","50.0","0","0.4","0.7","-0.4","6","4","4","2","6",
"Yann Bodiger","frFRA","MF","Toulouse","frLigue 1","22","1995","2.5","76","114","66.7","1300","369","38","50","76.0","28","40","70.0","8","18","44.4","0","0.1","0.1","-0.1","2","10","1","1","10",
"Mathieu Bodmer","frFRA","DF,MF","Amiens","frLigue 1","34","1982","4.4","218","274","79.6","3647","1494","114","129","88.4","80","98","81.6","22","36","61.1","0","0.3","0.3","-0.3","6","21","5","0","30",
"Jeremie Boga","ciCIV","MF","Chelsea","engPremier League","20","1997","0.2","4","4","100.0","33","7","1","1","100.0","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Quentin Boisgard","frFRA","MF","Toulouse","frLigue 1","20","1997","2.0","55","87","63.2","732","238","33","43","76.7","13","22","59.1","4","7","57.1","0","0.1","0.1","-0.1","2","9","2","0","11",
"Yannick Bolasie","cdCOD","FW","Everton","engPremier League","28","1989","9.5","143","269","53.2","2088","555","84","119","70.6","42","85","49.4","9","34","26.5","0","0.7","0.4","-0.7","4","8","8","5","20",
"Deian Boldor","roROU","DF","Hellas Verona","itSerie A","22","1995","1.0","29","36","80.6","625","265","10","11","90.9","14","14","100.0","5","11","45.5","0","0.1","0.0","-0.1","1","3","0","0","4",
"Giacomo Bonaventura","itITA","MF","Milan","itSerie A","27","1989","28.2","1287","1526","84.3","20705","4429","649","706","91.9","497","567","87.7","97","163","59.5","2","3.4","2.9","-1.4","46","108","29","5","164",
"Federico Bonazzoli","itITA","FW,DF","SPAL","itSerie A","20","1997","2.0","31","38","81.6","526","70","15","16","93.8","13","16","81.3","2","3","66.7","0","0.1","0.1","-0.1","1","2","0","0","2",
"Federico Bonazzoli","itITA","FW","Sampdoria","itSerie A","20","1997","0.3","12","13","92.3","202","4","4","4","100.0","3","4","75.0","3","3","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Daniele Bonera","itITA","DF","Villarreal","esLa Liga","36","1981","13.2","493","569","86.6","10077","4150","174","186","93.5","235","254","92.5","79","119","66.4","1","0.6","0.2","+0.4","3","42","2","0","48",
"Gaëtan Bong","cmCMR","DF","Brighton","engPremier League","29","1988","24.8","728","1091","66.7","11534","5807","364","438","83.1","291","423","68.8","43","147","29.3","0","0.5","0.5","-0.5","9","69","7","5","85",
"Kevin Bonifazi","itITA","DF,MF","Torino","itSerie A","21","1996","4.5","168","190","88.4","3203","834","64","72","88.9","79","86","91.9","21","27","77.8","0","0.0","0.0","0.0","0","5","1","0","10",
"Landry Bonnefoi","frFRA","GK","Strasbourg","frLigue 1","33","1983","3.0","48","74","64.9","1689","1412","4","4","100.0","18","18","100.0","26","51","51.0","0","0.0","0.0","0.0","0","3","0","0","0",
"Leonardo Bonucci","itITA","DF","Milan","itSerie A","30","1987","34.3","1781","2103","84.7","41618","18623","364","408","89.2","1056","1141","92.6","359","518","69.3","1","0.9","1.1","+0.1","14","209","18","1","176",
"Wilfried Bony","ciCIV","FW","Swansea City","engPremier League","28","1988","7.9","131","209","62.7","1637","308","92","124","74.2","31","53","58.5","3","4","75.0","0","0.2","0.2","-0.2","4","13","2","0","11",
"Celso Borges","crCRC","MF","La Coruña","esLa Liga","29","1988","25.6","952","1236","77.0","14993","4829","568","690","82.3","273","336","81.3","85","147","57.8","3","2.4","1.5","+0.6","24","116","15","3","131",
"Fabio Borini","itITA","DF,FW","Milan","itSerie A","26","1991","17.9","660","853","77.4","11943","3602","284","318","89.3","303","365","83.0","67","140","47.9","3","0.8","1.3","+2.2","14","51","19","9","68",
"Marco Borriello","itITA","FW","SPAL","itSerie A","35","1982","8.6","122","159","76.7","1420","181","81","95","85.3","22","35","62.9","3","4","75.0","0","0.9","0.6","-0.9","10","5","2","0","8",
"Gabriel Boschilia","brBRA","FW,MF","Monaco","frLigue 1","21","1996","0.9","34","43","79.1","449","69","25","28","89.3","6","8","75.0","3","6","50.0","0","0.1","0.0","-0.1","2","1","0","0","3",
"Ryad Boudebouz","dzALG","MF,FW","Betis","esLa Liga","27","1990","15.1","661","862","76.7","10048","2252","373","437","85.4","199","258","77.1","54","104","51.9","3","2.5","2.6","+0.5","26","55","12","1","75",
"Jean-Christophe Bouet","frFRA","GK","Amiens","frLigue 1","34","1983","1.0","15","30","50.0","594","547","0","0","","6","6","100.0","9","24","37.5","0","0.0","0.0","0.0","0","0","0","0","0",
"Sofiane Boufal","maMAR","FW,MF","Southampton","engPremier League","23","1993","13.5","431","580","74.3","6295","1617","250","302","82.8","123","164","75.0","32","60","53.3","2","1.8","1.8","+0.2","21","37","24","3","76",
"Arnold Bouka Moutou","cgCGO","DF","Dijon","frLigue 1","28","1988","3.7","117","155","75.5","1870","671","66","78","84.6","33","48","68.8","12","21","57.1","0","0.2","0.2","-0.2","4","11","4","4","17",
"Farid Boulaya","dzALG","MF,FW","Metz","frLigue 1","24","1993","2.0","65","90","72.2","1328","287","23","31","74.2","32","40","80.0","9","11","81.8","1","0.1","0.2","+0.9","2","10","2","2","7",
"Yassine Bounou","maMAR","GK","Girona","esLa Liga","26","1991","29.5","444","879","50.5","18205","15133","31","31","100.0","118","122","96.7","293","720","40.7","0","0.0","0.1","0.0","0","19","0","0","0",
"Emmanuel Bourgaud","frFRA","FW,MF","Amiens","frLigue 1","29","1987","6.0","198","303","65.3","3508","1333","89","108","82.4","60","92","65.2","30","61","49.2","1","1.8","1.5","-0.8","18","20","7","2","33",
"Benjamin Bourigeaud","frFRA","MF,FW","Rennes","frLigue 1","23","1994","34.5","1291","1787","72.2","23097","7961","606","700","86.6","432","573","75.4","192","367","52.3","7","8.7","7.8","-1.7","95","136","35","15","170",
"Eneko Bóveda","esESP","DF","La Coruña","esLa Liga","28","1988","7.4","212","284","74.6","4237","1316","71","90","78.9","98","121","81.0","36","54","66.7","0","0.0","0.0","0.0","0","9","1","0","14",
"Eneko Bóveda","esESP","DF","Athletic Club","esLa Liga","28","1988","5.8","203","293","69.3","3153","1225","121","142","85.2","63","101","62.4","15","39","38.5","1","0.2","0.2","+0.8","4","14","4","3","18",
"Lucas Boyé","arARG","FW","Torino","itSerie A","21","1996","1.7","61","92","66.3","753","210","37","46","80.4","18","24","75.0","0","5","0.0","0","0.6","0.1","-0.6","4","6","1","0","7",
"Lucas Boyé","arARG","FW,MF","Celta Vigo","esLa Liga","21","1996","3.1","79","128","61.7","961","269","60","76","78.9","14","31","45.2","2","6","33.3","0","0.2","0.3","-0.2","2","2","3","1","10",
"Robbie Brady","ieIRL","MF","Burnley","engPremier League","25","1992","14.2","354","593","59.7","6916","2653","166","206","80.6","109","179","60.9","72","168","42.9","2","2.1","2.6","-0.1","26","39","18","6","54",
"Martin Braithwaite","dkDEN","FW","Bordeaux","frLigue 1","26","1991","10.2","151","212","71.2","2040","339","94","125","75.2","39","56","69.6","9","11","81.8","3","2.3","1.5","+0.7","7","9","1","1","13",
"Brandon","esESP","FW,MF","Rennes","frLigue 1","22","1995","4.0","82","112","73.2","1012","188","49","58","84.5","26","36","72.2","0","3","0.0","0","0.6","0.6","-0.6","7","3","4","1","6",
"Julian Brandt","deGER","FW,MF","Leverkusen","deBundesliga","21","1996","25.8","972","1314","74.0","15051","3876","576","678","85.0","284","386","73.6","81","153","52.9","3","5.9","6.8","-2.9","58","58","43","9","112",
"Darko Brašanac","rsSRB","MF,FW","Leganés","esLa Liga","25","1992","13.4","331","419","79.0","4891","1437","201","225","89.3","98","126","77.8","21","38","55.3","0","1.0","0.5","-1.0","17","28","4","1","34",
"Claudio Bravo","clCHI","GK","Manchester City","engPremier League","34","1983","2.5","64","71","90.1","1601","1126","4","4","100.0","43","44","97.7","17","23","73.9","0","0.0","0.0","0.0","0","0","0","0","0",
"Josip Brekalo","hrCRO","FW","Wolfsburg","deBundesliga","19","1998","9.7","243","338","71.9","4385","1072","117","144","81.3","82","105","78.1","33","57","57.9","2","1.2","0.9","+0.8","14","18","11","2","32",
"Josip Brekalo","hrCRO","MF,FW","Stuttgart","deBundesliga","19","1998","8.1","211","315","67.0","3752","923","98","129","76.0","75","99","75.8","29","56","51.8","1","1.2","1.3","-0.2","16","15","13","6","21",
"Jimmy Briand","frFRA","FW","Guingamp","frLigue 1","31","1985","35.7","744","1012","73.5","8982","2146","455","561","81.1","176","237","74.3","20","48","41.7","2","2.4","2.3","-0.4","28","44","20","1","84",
"Enrico Brignola","itITA","MF,FW","Benevento","itSerie A","18","1999","15.0","383","480","79.8","5665","1225","206","235","87.7","137","162","84.6","21","35","60.0","2","1.3","1.0","+0.7","19","19","9","1","42",
"Alberto Brignoli","itITA","GK","Benevento","itSerie A","25","1991","12.5","310","503","61.6","10179","7043","26","27","96.3","147","153","96.1","136","319","42.6","0","0.0","0.0","0.0","0","6","0","0","0",
"Miguel Britos","uyURU","DF","Watford","engPremier League","32","1985","8.9","318","401","79.3","6586","2637","96","110","87.3","172","195","88.2","49","84","58.3","0","0.4","0.7","-0.4","3","32","4","1","43",
"Leon Britton","engENG","MF","Swansea City","engPremier League","34","1982","3.4","127","138","92.0","2255","403","49","53","92.5","70","74","94.6","7","8","87.5","0","0.0","0.0","0.0","0","6","0","0","11",
"Petar Brlek","hrCRO","MF","Genoa","itSerie A","23","1994","2.6","94","116","81.0","1749","428","33","38","86.8","51","63","81.0","10","12","83.3","0","0.1","0.1","-0.1","1","7","1","0","10",
"John Brooks","usUSA","DF","Wolfsburg","deBundesliga","24","1993","8.1","317","370","85.7","7280","2384","60","69","87.0","187","200","93.5","67","91","73.6","0","0.0","0.1","0.0","0","12","0","0","9",
"Daniel Brosinski","deGER","DF,FW","Mainz 05","deBundesliga","29","1988","27.8","966","1508","64.1","19403","8926","396","487","81.3","402","595","67.6","161","358","45.0","5","3.4","3.9","+1.6","42","90","32","11","126",
"Izzy Brown","engENG","MF,FW","Brighton","engPremier League","20","1997","3.5","93","139","66.9","1306","279","53","65","81.5","30","45","66.7","5","9","55.6","0","0.8","0.5","-0.8","6","8","4","2","9",
"Marcelo Brozović","hrCRO","MF","Inter","itSerie A","24","1992","21.4","1510","1792","84.3","27124","8738","695","758","91.7","562","657","85.5","202","279","72.4","8","4.9","5.2","+3.1","59","197","48","5","239",
"Bruma","ptPOR","MF,FW","RB Leipzig","deBundesliga","22","1994","17.9","674","866","77.8","8760","2540","445","504","88.3","162","214","75.7","24","49","49.0","2","3.1","3.5","-1.1","25","72","24","1","90",
"Jeffrey Bruma","nlNED","DF","Wolfsburg","deBundesliga","25","1991","11.0","531","615","86.3","11658","4054","141","160","88.1","287","309","92.9","102","137","74.5","0","0.1","0.3","-0.1","1","26","2","0","28",
"Bruno","esESP","DF","Brighton","engPremier League","36","1980","22.4","949","1220","77.8","16949","6723","446","492","90.7","371","460","80.7","116","215","54.0","0","0.6","1.0","-0.6","10","54","12","6","78",
"Chris Brunt","nirNIR","MF,DF","West Brom","engPremier League","32","1984","21.3","733","1082","67.7","15546","6796","284","328","86.6","274","370","74.1","160","339","47.2","7","4.3","4.5","+2.7","37","98","24","10","100",
"Jacob Bruun Larsen","dkDEN","MF,DF","Stuttgart","deBundesliga","18","1998","1.2","29","43","67.4","457","75","12","12","100.0","13","16","81.3","2","9","22.2","0","0.0","0.1","0.0","0","0","0","0","1",
"Jacob Bruun Larsen","dkDEN","DF","Dortmund","deBundesliga","18","1998","0.1","2","2","100.0","42","14","0","0","","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Marcel Büchel","liLIE","MF","Hellas Verona","itSerie A","26","1991","18.8","647","849","76.2","11239","2434","289","345","83.8","254","301","84.4","72","146","49.3","0","0.4","0.5","-0.4","12","43","4","1","60",
"Ante Budimir","hrCRO","FW","Crotone","itSerie A","26","1991","17.6","245","394","62.2","3163","562","155","223","69.5","67","114","58.8","7","12","58.3","0","1.4","1.3","-1.4","18","22","5","0","35",
"Alberto Bueno","esESP","MF,FW","Málaga","esLa Liga","29","1988","2.5","78","98","79.6","1368","299","38","43","88.4","30","37","81.1","8","13","61.5","0","0.5","0.2","-0.5","4","9","2","1","5",
"Gianluigi Buffon","itITA","GK","Juventus","itSerie A","39","1978","20.7","501","624","80.3","13875","8678","63","63","100.0","282","287","98.3","154","272","56.6","0","0.0","0.0","0.0","0","0","0","0","0",
"Onur Bulut","trTUR","FW","Freiburg","deBundesliga","23","1994","0.4","3","6","50.0","53","35","2","3","66.7","0","0","","1","2","50.0","0","0.1","0.1","-0.1","1","1","2","1","1",
"Alessandro Buongiorno","itITA","DF","Torino","itSerie A","18","1999","0.1","6","7","85.7","75","22","4","5","80.0","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Nicolás Burdisso","arARG","DF","Torino","itSerie A","36","1981","23.0","943","1107","85.2","21543","8034","214","245","87.3","521","585","89.1","196","250","78.4","0","0.2","0.2","-0.2","3","28","3","1","60",
"Guido Burgstaller","atAUT","FW","Schalke 04","deBundesliga","28","1989","25.8","399","571","69.9","5670","1080","240","318","75.5","137","184","74.5","10","20","50.0","4","3.4","2.5","+0.6","27","32","8","1","56",
"Burgui","esESP","MF,FW","Alavés","esLa Liga","23","1993","11.5","271","365","74.2","4218","1500","149","183","81.4","91","122","74.6","22","34","64.7","0","1.6","1.3","-1.6","18","32","15","1","46",
"Oliver Burke","sctSCO","FW,MF","West Brom","engPremier League","20","1997","4.1","114","151","75.5","1509","284","76","91","83.5","28","39","71.8","5","9","55.6","2","0.5","0.4","+1.5","4","4","3","2","6",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","26","1990","33.0","940","1297","72.5","25749","19346","159","159","100.0","478","482","99.2","299","642","46.6","0","0.0","0.1","0.0","0","15","0","0","5",
"Patrick Burner","mqMTQ","DF","Nice","frLigue 1","21","1996","10.0","552","641","86.1","8389","2947","316","343","92.1","199","217","91.7","28","57","49.1","0","0.5","0.5","-0.5","11","43","7","3","44",
"Dženis Burnić","baBIH","MF","Stuttgart","deBundesliga","19","1998","3.4","241","269","89.6","4176","694","107","118","90.7","120","126","95.2","13","21","61.9","0","0.3","0.3","-0.3","5","15","3","0","17",
"Sergio Busquets","esESP","MF","Barcelona","esLa Liga","29","1988","28.8","2031","2249","90.3","35903","11780","848","929","91.3","869","933","93.1","230","266","86.5","4","2.0","1.9","+2.0","24","209","10","0","203",
"Unai Bustinza","esESP","DF","Leganés","esLa Liga","25","1992","18.2","540","691","78.1","10452","4246","234","257","91.1","218","268","81.3","81","140","57.9","0","0.2","0.4","-0.2","4","31","4","2","37",
"Ludovic Butelle","frFRA","GK","Angers","frLigue 1","34","1983","18.4","298","535","55.7","9884","7629","26","26","100.0","130","130","100.0","142","379","37.5","0","0.0","0.0","0.0","0","7","0","0","0",
"Jack Butland","engENG","GK","Stoke City","engPremier League","24","1993","35.0","643","1283","50.1","28682","25851","35","36","97.2","163","173","94.2","444","1062","41.8","0","0.0","0.1","0.0","1","54","0","0","0",
"Sam Byram","engENG","DF,MF","West Ham","engPremier League","23","1993","2.8","73","123","59.3","1293","676","29","40","72.5","37","53","69.8","6","25","24.0","0","0.1","0.4","-0.1","2","12","5","3","14",
"Jakub Błaszczykowski","plPOL","FW,MF","Wolfsburg","deBundesliga","31","1985","5.8","137","197","69.5","2349","751","71","90","78.9","51","72","70.8","12","23","52.2","0","0.4","1.2","-0.4","7","13","7","3","25",
"Erick Cabaco","uyURU","DF","Levante","esLa Liga","22","1995","11.6","232","324","71.6","4950","2263","71","82","86.6","123","144","85.4","34","87","39.1","0","0.0","0.1","0.0","1","15","1","0","22",
"Willy Caballero","arARG","GK","Chelsea","engPremier League","35","1981","3.0","73","100","73.0","1939","1484","17","18","94.4","32","33","97.0","23","46","50.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Yohan Cabaye","frFRA","MF","Crystal Palace","engPremier League","31","1986","26.4","1118","1438","77.7","18909","7090","539","603","89.4","416","493","84.4","117","266","44.0","1","4.1","3.8","-3.1","42","124","18","0","138",
"Rémy Cabella","frFRA","FW,MF","Marseille","frLigue 1","27","1990","0.7","30","37","81.1","384","142","18","19","94.7","6","12","50.0","1","1","100.0","0","0.0","0.1","0.0","0","5","1","0","5",
"Rémy Cabella","frFRA","MF,FW","Saint-Étienne","frLigue 1","27","1990","25.1","1243","1571","79.1","18836","5305","696","795","87.5","398","491","81.1","97","159","61.0","6","6.0","6.3","0.0","49","151","37","4","208",
"Gustavo Cabral","arARG","DF","Celta Vigo","esLa Liga","31","1985","21.0","1134","1283","88.4","23771","7263","289","315","91.7","662","700","94.6","169","241","70.1","1","0.3","0.2","+0.7","2","36","0","0","40",
"Leandro Cabrera","uyURU","DF","Crotone","itSerie A","26","1991","4.1","76","115","66.1","1819","1080","14","16","87.5","46","65","70.8","16","32","50.0","0","0.1","0.0","-0.1","1","9","1","0","10",
"Leandro Cabrera","uyURU","DF","Getafe","esLa Liga","26","1991","8.0","151","297","50.8","3269","1970","55","72","76.4","60","105","57.1","34","105","32.4","0","0.3","0.2","-0.3","2","29","7","3","32",
"Fabrizio Cacciatore","itITA","DF","Chievo","itSerie A","30","1986","31.9","1513","2001","75.6","26204","11008","707","804","87.9","618","778","79.4","158","329","48.0","2","2.8","3.9","-0.8","35","115","61","26","153",
"Martín Cáceres","uyURU","DF","Hellas Verona","itSerie A","30","1987","12.9","404","562","71.9","7347","3518","174","220","79.1","173","224","77.2","47","93","50.5","1","0.3","0.3","+0.7","4","34","4","1","48",
"Martín Cáceres","uyURU","DF","Lazio","itSerie A","30","1987","4.9","191","235","81.3","3678","1285","81","94","86.2","78","89","87.6","31","41","75.6","0","0.5","0.5","-0.5","5","22","4","3","20",
"Cafú","ptPOR","MF","Metz","frLigue 1","24","1993","7.6","232","289","80.3","4402","1153","82","100","82.0","114","138","82.6","32","41","78.0","0","0.2","0.1","-0.2","5","36","1","0","31",
"Jonathan Cafu","brBRA","FW,MF","Bordeaux","frLigue 1","26","1991","7.0","246","316","77.8","3201","691","154","172","89.5","60","82","73.2","12","18","66.7","1","0.9","0.7","+0.1","13","14","6","0","16",
"Gary Cahill","engENG","DF","Chelsea","engPremier League","31","1985","23.2","1194","1347","88.6","21241","8087","458","492","93.1","615","673","91.4","91","133","68.4","0","0.1","0.2","-0.1","3","71","1","0","69",
"Yannick Cahuzac","frFRA","MF","Toulouse","frLigue 1","32","1985","16.9","467","568","82.2","8111","2615","217","255","85.1","193","223","86.5","47","67","70.1","0","0.4","0.5","-0.4","4","46","1","1","47",
"Felipe Caicedo","ecECU","FW,MF","Lazio","itSerie A","28","1988","8.0","140","183","76.5","1584","401","88","109","80.7","34","43","79.1","2","5","40.0","2","0.8","1.0","+1.2","8","13","4","0","14",
"Caiuby","brBRA","FW","Augsburg","deBundesliga","29","1988","31.7","699","1071","65.3","10284","3184","375","522","71.8","182","281","64.8","67","108","62.0","7","4.0","3.3","+3.0","32","68","29","18","84",
"Cala","esESP","DF","Getafe","esLa Liga","27","1989","20.0","414","655","63.2","11752","4979","76","100","76.0","168","243","69.1","163","297","54.9","2","0.7","0.9","+1.3","6","44","0","0","42",
"Davide Calabria","itITA","DF","Milan","itSerie A","20","1996","17.4","910","1165","78.1","16092","6048","399","440","90.7","417","504","82.7","86","175","49.1","2","2.3","1.6","-0.3","17","78","19","10","100",
"Mattia Caldara","itITA","DF","Atalanta","itSerie A","23","1994","24.0","862","1026","84.0","18741","5326","210","260","80.8","478","534","89.5","160","200","80.0","1","0.1","0.2","+0.9","2","25","1","0","42",
"Carlos Calderón","esESP","MF","Getafe","esLa Liga","22","1995","0.0","2","2","100.0","7","0","1","1","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Luca Caldirola","itITA","DF","Werder Bremen","deBundesliga","26","1991","1.0","21","30","70.0","496","102","3","3","100.0","13","15","86.7","5","11","45.5","0","0.0","0.0","0.0","0","1","0","0","0",
"Hakan Çalhanoğlu","trTUR","FW,MF","Milan","itSerie A","23","1994","24.1","1034","1373","75.3","19177","4569","476","551","86.4","379","468","81.0","150","272","55.1","6","7.1","5.4","-1.1","71","95","46","11","129",
"Fabrizio Caligara","itITA","MF","Cagliari","itSerie A","17","2000","0.2","4","5","80.0","61","0","2","2","100.0","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Daniel Caligiuri","itITA","DF,MF","Schalke 04","deBundesliga","29","1988","32.4","1261","1801","70.0","23101","10049","539","637","84.6","564","769","73.3","143","330","43.3","10","5.5","4.1","+4.5","48","90","21","11","143",
"José Callejón","esESP","FW","Napoli","itSerie A","30","1987","36.0","1282","1677","76.4","18743","3514","758","864","87.7","338","438","77.2","110","232","47.4","9","7.3","6.1","+1.7","74","69","39","9","108",
"Jonathan Calleri","arARG","FW","Las Palmas","esLa Liga","23","1993","34.5","464","748","62.0","6581","1358","259","371","69.8","127","207","61.4","31","73","42.5","3","2.8","2.7","+0.2","27","32","15","1","64",
"Simone Calvano","itITA","MF","Hellas Verona","itSerie A","24","1993","7.2","186","245","75.9","3098","932","99","117","84.6","66","87","75.9","16","31","51.6","0","0.5","0.1","-0.5","2","20","1","1","23",
"Dominic Calvert-Lewin","engENG","FW","Everton","engPremier League","20","1997","20.9","311","519","59.9","3729","901","198","302","65.6","63","112","56.3","11","24","45.8","6","2.6","1.3","+3.4","20","13","12","6","27",
"Ignacio Camacho","esESP","MF,DF","Wolfsburg","deBundesliga","27","1990","10.6","400","527","75.9","7897","3464","145","176","82.4","187","231","81.0","60","98","61.2","0","0.5","0.4","-0.5","4","33","3","0","47",
"Abdoul Camara","gnGUI","FW,MF","Guingamp","frLigue 1","27","1990","9.9","223","309","72.2","2963","682","141","166","84.9","58","81","71.6","8","27","29.6","1","0.8","1.1","+0.2","10","7","9","4","24",
"Souleymane Camara","snSEN","FW","Montpellier","frLigue 1","34","1982","10.4","171","266","64.3","2451","490","99","124","79.8","49","82","59.8","12","21","57.1","2","0.9","0.6","+1.1","11","12","5","0","21",
"Víctor Camarasa","esESP","MF","Betis","esLa Liga","23","1994","13.9","549","637","86.2","9190","1736","271","304","89.1","209","228","91.7","51","65","78.5","0","1.5","1.1","-1.5","14","59","4","2","68",
"Geoff Cameron","usUSA","DF,MF","Stoke City","engPremier League","32","1985","16.9","404","581","69.5","7362","3256","166","191","86.9","187","244","76.6","44","120","36.7","0","0.1","0.3","-0.1","6","39","3","0","48",
"José Campaña","esESP","MF","Levante","esLa Liga","24","1993","30.4","1352","1693","79.9","23878","7904","643","734","87.6","512","606","84.5","158","259","61.0","4","4.7","2.8","-0.7","49","157","34","8","232",
"Joel Campbell","crCRC","MF,FW","Betis","esLa Liga","25","1992","2.4","80","94","85.1","1151","326","52","55","94.5","21","26","80.8","5","10","50.0","1","0.5","0.2","+0.5","5","5","5","0","16",
"Tyrese Campbell","engENG","FW","Stoke City","engPremier League","17","1999","0.9","10","20","50.0","129","47","6","12","50.0","4","6","66.7","0","0","","0","0.0","0.0","0.0","0","1","3","0","4",
"Emre Can","deGER","MF","Liverpool","engPremier League","23","1994","23.2","1338","1571","85.2","23098","5472","600","662","90.6","591","668","88.5","117","179","65.4","4","3.0","2.4","+1.0","25","136","23","2","137",
"Sergio Canales","esESP","MF,FW","Real Sociedad","esLa Liga","26","1991","21.4","1050","1334","78.7","17549","4452","545","597","91.3","333","412","80.8","129","235","54.9","5","6.0","6.0","-1.0","57","99","40","10","138",
"João Cancelo","ptPOR","DF","Inter","itSerie A","23","1994","20.6","1254","1627","77.1","20369","7548","659","717","91.9","453","595","76.1","110","236","46.6","2","4.1","4.0","-2.1","34","82","37","15","129",
"João Cancelo","ptPOR","MF","Valencia","esLa Liga","23","1994","1.0","28","47","59.6","397","146","20","28","71.4","4","9","44.4","3","5","60.0","0","0.4","0.5","-0.4","5","3","3","0","6",
"Antonio Candreva","itITA","FW","Inter","itSerie A","30","1987","28.2","1174","1639","71.6","18652","4954","691","774","89.3","317","476","66.6","124","254","48.8","7","7.9","7.1","-0.9","71","62","63","28","120",
"Paolo Cannavaro","itITA","DF","Sassuolo","itSerie A","36","1981","16.0","434","558","77.8","9017","4038","145","165","87.9","226","254","89.0","61","131","46.6","0","0.1","0.2","-0.1","3","37","1","0","49",
"Ander Capa","esESP","DF","Eibar","esLa Liga","25","1992","25.0","1062","1492","71.2","18906","7912","513","604","84.9","408","543","75.1","123","251","49.0","1","1.5","2.1","-0.5","14","95","26","14","143",
"Pierrick Capelle","frFRA","MF","Angers","frLigue 1","30","1987","20.9","629","828","76.0","9825","3127","342","395","86.6","218","287","76.0","44","78","56.4","1","2.1","2.0","-1.1","30","53","16","3","89",
"Leonardo Capezzi","itITA","MF","Sampdoria","itSerie A","22","1995","2.4","112","151","74.2","1726","818","61","66","92.4","38","52","73.1","9","29","31.0","1","0.7","0.8","+0.3","10","16","3","0","20",
