Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3.0","9","0","0","2","0","6.8","0.38","-2.2","-0.72","11","28","39.3","77","19","31.2","31.3","22","18.2","21.1","35","0","0.0","6","2.00","17.0",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","0.2","0","0","0","0","0","0.1","0.05","+0.1","+0.50","0","3","0.0","10","2","30.0","28.2","1","0.0","15.0","3","0","0.0","0","0.00","",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33.0","32","4","1","4","0","35.0","0.27","+3.0","+0.09","74","194","38.1","980","165","14.9","25.7","173","27.7","30.4","341","20","5.9","87","2.64","18.6",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12.0","30","1","1","2","1","20.3","0.28","-8.7","-0.72","66","187","35.3","297","70","40.7","35.2","105","62.9","45.2","166","5","3.0","17","1.42","16.2",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2.0","5","0","0","0","0","3.7","0.62","-1.3","-0.64","7","13","53.8","31","6","25.8","29.4","9","55.6","43.1","23","0","0.0","0","0.00","11.0",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1.0","2","1","0","1","0","3.1","0.13","+1.1","+1.15","9","24","37.5","14","0","71.4","43.7","17","82.4","54.8","20","0","0.0","0","0.00","7.7",
"Alphonse Areola","frFRA","GK","Fulham","engPremier League","27","1993","36.0","48","6","0","2","1","50.5","0.28","+3.5","+0.10","144","389","37.0","760","173","32.8","30.0","251","55.8","39.8","501","26","5.2","31","0.86","13.0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","25","1994","6.5","8","1","0","0","0","8.0","0.31","0.0","0.00","21","53","39.6","200","41","18.5","27.3","46","34.8","31.1","68","3","4.4","1","0.15","9.6",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","31","1989","36.0","40","7","0","3","2","36.0","0.24","-2.0","-0.06","157","406","38.7","1022","190","26.3","30.2","283","48.4","40.4","564","27","4.8","32","0.89","13.9",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","23","1997","37.0","54","7","1","6","1","51.9","0.25","-1.1","-0.03","213","543","39.2","986","180","38.2","35.0","259","64.1","45.3","563","12","2.1","34","0.92","14.8",
"Édgar Badía","esESP","GK","Elche","esLa Liga","28","1992","30.0","46","5","0","3","0","52.5","0.33","+6.5","+0.22","208","453","45.9","864","144","33.0","32.7","285","58.9","41.4","444","8","1.8","31","1.03","13.9",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","18","2001","1.0","4","0","0","0","0","1.6","0.39","-2.4","-2.42","4","16","25.0","30","9","33.3","35.0","7","85.7","47.1","17","0","0.0","0","0.00","7.7",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","30","1990","31.0","51","6","0","4","2","49.4","0.32","+0.4","+0.01","134","407","32.9","1143","176","29.2","29.9","204","35.8","32.0","417","14","3.4","53","1.71","18.3",
"Walter Benítez","arARG","GK","Nice","frLigue 1","27","1993","38.0","53","7","1","11","0","50.8","0.25","-2.2","-0.06","91","286","31.8","919","180","21.1","27.2","300","30.7","32.4","572","24","4.2","20","0.53","13.1",
"Alessandro Berardi","itITA","GK","Hellas Verona","itSerie A","29","1991","0.3","0","0","0","0","0","0.0","0.02","0.0","+0.06","5","9","55.6","7","0","71.4","43.0","4","100.0","66.5","6","0","0.0","0","0.00","9.0",
"Paul Bernardoni","frFRA","GK","Angers","frLigue 1","23","1997","38.0","58","7","0","5","1","53.5","0.33","-3.5","-0.09","143","456","31.4","712","214","37.5","35.2","269","70.3","50.9","516","19","3.7","17","0.45","11.3",
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","22","1998","8.3","11","1","0","1","0","13.9","0.32","+2.9","+0.35","94","180","52.2","230","46","47.8","39.3","82","85.4","55.3","145","7","4.8","2","0.24","10.2",
"Rubén Blanco","esESP","GK","Celta Vigo","esLa Liga","25","1995","18.2","27","1","1","2","0","22.6","0.36","-4.4","-0.24","94","269","34.9","520","79","35.2","32.7","143","60.1","43.2","234","3","1.3","14","0.77","15.7",
"Elias Bördner","deGER","GK","Eint Frankfurt","deBundesliga","18","2002","1.0","1","0","0","0","0","0.8","0.13","-0.2","-0.21","4","17","23.5","33","9","45.5","35.3","10","20.0","25.4","14","1","7.1","2","2.00","10.3",
"Yassine Bounou","maMAR","GK","Sevilla","esLa Liga","29","1991","33.0","28","4","0","4","2","27.8","0.21","+1.8","+0.05","166","381","43.6","895","147","30.5","32.0","200","54.0","40.7","450","26","5.8","34","1.03","15.0",
"Claudio Bravo","clCHI","GK","Betis","esLa Liga","37","1983","20.0","25","4","0","0","1","24.0","0.26","0.0","0.00","117","328","35.7","518","82","47.3","38.1","129","64.3","48.5","287","12","4.2","16","0.80","12.8",
"Fabian Bredlow","deGER","GK","Stuttgart","deBundesliga","25","1995","1.0","1","0","0","0","0","2.8","0.31","+1.8","+1.77","2","10","20.0","30","6","30.0","29.4","9","11.1","25.0","31","1","3.2","0","0.00","8.8",
"Gianluigi Buffon","itITA","GK","Juventus","itSerie A","42","1978","8.0","5","2","1","0","0","5.5","0.13","+0.5","+0.07","25","62","40.3","245","45","20.4","27.4","61","19.7","25.0","122","1","0.8","9","1.13","15.2",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","29","1990","18.5","30","4","0","6","0","28.4","0.27","-1.6","-0.09","62","166","37.3","519","108","24.7","29.5","110","34.5","34.9","187","4","2.1","13","0.70","16.3",
"Jack Butland","engENG","GK","Crystal Palace","engPremier League","27","1993","1.0","2","0","0","0","0","1.0","0.20","-1.0","-1.02","3","18","16.7","13","2","76.9","48.9","8","100.0","68.1","18","1","5.6","2","2.00","23.3",
"David Button","engENG","GK","West Brom","engPremier League","31","1989","1.0","2","0","0","1","0","0.8","0.14","-1.2","-1.18","8","27","29.6","25","1","60.0","41.8","12","100.0","64.4","25","0","0.0","0","0.00","7.0",
"Marcin Bułka","plPOL","GK","Paris S-G","frLigue 1","20","1999","1.0","1","0","0","0","0","1.5","0.50","+0.5","+0.49","2","4","50.0","28","9","10.7","21.3","2","50.0","36.0","12","0","0.0","2","2.00","18.6",
"Willy Caballero","arARG","GK","Chelsea","engPremier League","38","1981","1.0","3","0","0","1","0","1.5","0.50","-1.5","-1.49","1","3","33.3","20","2","15.0","21.6","6","0.0","19.2","9","0","0.0","3","3.00","28.0",
"Marc-Aurèle Caillard","frFRA","GK","Metz","frLigue 1","26","1994","4.0","10","3","1","0","0","8.5","0.24","-1.5","-0.38","13","40","32.5","71","26","25.4","30.0","30","73.3","55.5","55","2","3.6","2","0.50","13.4",
"Dani Cárdenas","esESP","GK","Levante","esLa Liga","23","1997","8.0","11","0","0","0","0","11.2","0.29","+0.2","+0.03","33","89","37.1","203","41","33.0","32.2","59","37.3","34.2","125","2","1.6","16","2.00","18.2",
"Scott Carson","engENG","GK","Manchester City","engPremier League","34","1985","1.0","3","1","0","1","0","2.4","0.09","-0.6","-0.56","0","1","0.0","14","6","0.0","18.9","2","50.0","29.5","10","0","0.0","0","0.00","16.5",
"Kiko Casilla","esESP","GK","Leeds United","engPremier League","33","1986","3.0","2","0","0","0","0","3.2","0.32","+1.2","+0.41","5","14","35.7","67","20","10.4","23.2","31","22.6","24.7","30","4","13.3","1","0.33","10.8",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","28","1992","32.0","33","3","1","2","1","32.7","0.26","+0.7","+0.02","191","462","41.3","1048","166","31.9","32.6","203","63.1","48.4","450","25","5.6","57","1.78","17.3",
"Sébastien Cibois","frFRA","GK","Brest","frLigue 1","22","1998","3.0","4","1","0","0","0","3.9","0.26","-0.1","-0.04","14","36","38.9","69","12","39.1","35.8","22","40.9","37.5","51","1","2.0","3","1.00","17.4",
"Alberto Cifuentes","esESP","GK","Cádiz","esLa Liga","41","1979","2.0","3","0","0","0","0","2.9","0.48","-0.1","-0.05","22","60","36.7","53","3","84.9","54.1","15","100.0","62.9","32","0","0.0","4","2.00","27.0",
"Jasper Cillessen","nlNED","GK","Valencia","esLa Liga","31","1989","10.0","11","1","1","0","0","11.3","0.21","+0.3","+0.03","67","187","35.8","225","42","55.1","41.4","95","66.3","52.1","170","3","1.8","11","1.10","19.2",
"Simone Colombi","itITA","GK","Parma","itSerie A","29","1991","2.0","7","1","0","2","0","4.4","0.35","-2.6","-1.28","17","30","56.7","41","6","53.7","37.5","11","72.7","49.4","27","0","0.0","0","0.00","7.5",
