Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30.0","53","3","0","5","4","41.8","0.29","-7.2","-0.24","176","490","35.9","1002","130","33.8","32.8","253","59.7","44.4","468","17","3.6","22","0.73","14.6",
"René Adler","deGER","GK","Mainz 05","deBundesliga","32","1985","14.0","18","1","0","5","0","14.0","0.25","-4.0","-0.29","78","216","36.1","322","55","39.1","36.3","117","76.9","54.9","209","19","9.1","22","1.57","15.4",
"Adrián","esESP","GK","West Ham","engPremier League","30","1987","19.0","29","1","1","6","1","27.8","0.29","-0.2","-0.01","154","445","34.6","383","47","72.8","47.7","184","90.2","59.3","316","13","4.1","31","1.63","16.0",
"Alisson","brBRA","GK","Roma","itSerie A","24","1992","37.0","28","3","0","2","0","35.4","0.23","+7.4","+0.20","213","416","51.2","1069","239","28.9","32.1","252","42.5","41.0","469","17","3.6","90","2.43","18.9",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","30","1986","16.4","29","1","0","4","1","23.3","0.31","-4.7","-0.29","110","285","38.6","494","48","40.5","36.3","129","65.9","50.6","214","8","3.7","18","1.10","14.1",
"Ibrahim Amadou","frFRA","MF,DF","Lille","frLigue 1","24","1993","26.7","2","1","0","0","0","1.5","0.20","-0.5","-0.02","0","0","","0","0","","","0","","","1","0","0.0","0","0.00","",
"Jon Ander Serantes","esESP","GK","Leganés","esLa Liga","27","1989","1.0","2","0","0","0","0","2.7","0.34","+0.7","+0.71","8","26","30.8","25","1","72.0","54.5","8","100.0","71.5","9","1","11.1","0","0.00","8.0",
"Nícolas Andrade","brBRA","GK","Hellas Verona","itSerie A","29","1988","36.0","71","6","4","9","2","64.5","0.25","-4.5","-0.13","363","878","41.3","1038","247","53.4","41.1","399","81.2","55.0","728","49","6.7","32","0.89","12.7",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","33","1984","8.5","8","2","0","1","0","9.0","0.19","+1.0","+0.12","76","147","51.7","291","24","36.4","35.1","70","58.6","41.4","127","9","7.1","15","1.77","14.8",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","24","1993","34.0","25","1","2","5","1","26.2","0.24","+2.2","+0.07","52","102","51.0","659","167","9.7","22.8","240","15.8","29.3","404","22","5.4","50","1.47","16.1",
