Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Adrián","esESP","GK","Betis","esLa Liga","37","1987","19.0","27","1","2","5","0","26.0","0.33","-1.0","-0.05","58","178","32.6","507","91","28.0","31.2","109","33.0","33.8","257","14","5.4","16","0.84","11.7",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","23","2000","13.4","9","1","2","1","0","10.5","0.27","+1.5","+0.11","57","178","32.0","341","51","37.5","33.9","66","75.8","54.9","143","20","14.0","17","1.27","14.2",
"Ben Alexander Voll","deGER","GK","St. Pauli","deBundesliga","23","2000","1.0","2","0","0","0","0","2.4","0.48","+0.4","+0.41","7","28","25.0","37","5","59.5","44.7","13","46.2","39.7","15","0","0.0","0","0.00","",
"Alisson","brBRA","GK","Liverpool","engPremier League","31","1992","27.9","29","1","0","2","2","30.5","0.30","+3.5","+0.13","68","203","33.5","877","128","19.7","26.6","80","37.5","33.4","255","11","4.3","49","1.76","16.0",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","31","1993","25.1","41","0","0","5","3","35.4","0.31","-2.6","-0.10","135","384","35.2","788","119","34.4","32.1","196","57.7","42.9","394","15","3.8","30","1.19","15.0",
"Kepa Arrizabalaga","esESP","GK","Bournemouth","engPremier League","29","1994","31.0","39","4","0","4","0","41.0","0.28","+2.0","+0.07","132","365","36.2","831","122","33.2","32.9","192","46.4","38.7","367","22","6.0","54","1.74","16.0",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","22","2002","25.6","37","0","1","3","0","37.0","0.30","0.0","0.00","159","414","38.4","1012","110","32.4","33.1","126","68.3","51.5","377","34","9.0","28","1.09","12.7",
"Emil Audero","idIDN","GK","Como","itSerie A","27","1997","8.0","18","4","0","2","0","12.4","0.27","-5.6","-0.70","17","55","30.9","232","30","22.0","28.6","21","19.0","27.5","95","5","5.3","8","1.00","12.9",
"Brandon Austin","engENG","GK","Tottenham","engPremier League","25","1999","1.0","2","0","0","0","0","2.2","0.55","+0.2","+0.20","3","11","27.3","26","5","38.5","32.3","6","16.7","29.0","15","5","33.3","2","2.00","12.4",
"Augusto Batalla","arARG","GK","Rayo Vallecano","esLa Liga","28","1996","32.0","39","6","0","6","1","40.0","0.25","+2.0","+0.06","177","534","33.1","989","129","42.3","38.2","184","63.0","51.1","453","35","7.7","38","1.19","14.4",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","34","1990","28.0","53","2","1","7","2","52.1","0.36","+1.1","+0.04","178","478","37.2","923","121","41.6","36.5","136","69.1","50.8","407","18","4.4","31","1.11","14.5",
"Altay Bayındır","trTUR","GK","Manchester Utd","engPremier League","26","1998","4.0","10","0","0","0","1","10.1","0.59","+1.1","+0.27","13","62","21.0","128","12","34.4","34.1","24","75.0","53.8","56","4","7.1","7","1.75","12.0",
