Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","21","1998","2.2","3","0","0","1","0","1.7","0.35","-1.3","-0.58","12","19","63.2","49","18","26.5","30.9","18","33.3","37.3","19","2","10.5","3","1.38","18.4",
"Rubén Blanco","esESP","GK","Celta Vigo","esLa Liga","24","1995","32.9","43","5","3","3","0","41.1","0.28","-1.9","-0.06","184","518","35.5","691","122","46.2","37.4","292","68.2","49.6","523","19","3.6","11","0.33","9.8",
"Yassine Bounou","maMAR","GK","Sevilla","esLa Liga","28","1991","5.5","3","1","0","0","0","4.7","0.19","+1.7","+0.31","34","75","45.3","123","24","36.6","33.7","45","66.7","47.6","73","1","1.4","1","0.18","11.7",
"Federico Brancolini","itITA","GK","Fiorentina","itSerie A","18","2001","0.1","0","0","0","0","0","0.0","","0.0","0.00","1","1","100.0","2","0","0.0","24.0","1","100.0","66.0","0","0","","0","0.00","18.0",
"Claudio Bravo","clCHI","GK","Manchester City","engPremier League","36","1983","3.9","7","0","0","0","0","4.5","0.30","-2.5","-0.66","18","44","40.9","108","17","26.9","28.0","28","53.6","39.7","63","1","1.6","1","0.26","11.0",
"Gianluigi Buffon","itITA","GK","Juventus","itSerie A","41","1978","9.0","10","1","0","0","0","7.6","0.20","-2.4","-0.27","12","26","46.2","154","42","13.6","25.1","54","9.3","21.5","109","3","2.8","7","0.78","13.6",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","28","1990","30.8","40","3","0","7","3","34.5","0.35","-2.5","-0.08","84","272","30.9","847","182","24.9","30.0","201","30.3","33.1","309","11","3.6","45","1.46","18.2",
"Ludovic Butelle","frFRA","GK","Angers","frLigue 1","36","1983","26.0","32","3","2","1","0","26.7","0.29","-5.3","-0.20","119","342","34.8","494","116","39.5","35.9","203","72.4","50.6","319","15","4.7","22","0.85","15.1",
"Marcin Bułka","plPOL","GK","Paris S-G","frLigue 1","19","1999","1.0","0","0","0","0","0","0.4","0.20","+0.4","+0.40","0","0","","12","3","0.0","16.3","6","0.0","20.8","5","1","20.0","0","0.00","5.0",
"Willy Caballero","arARG","GK","Chelsea","engPremier League","37","1981","5.0","7","0","0","2","1","3.8","0.23","-2.2","-0.45","19","52","36.5","136","17","30.9","31.4","28","35.7","32.9","46","1","2.2","3","0.60","16.0",
"Matis Carvalho","ptPOR","GK","Montpellier","frLigue 1","20","1999","0.8","4","0","0","0","1","2.7","0.36","-0.3","-0.33","4","17","23.5","18","4","61.1","46.0","9","66.7","44.2","10","0","0.0","0","0.00","9.3",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","27","1992","26.0","38","4","1","4","0","34.3","0.29","-3.7","-0.14","187","420","44.5","792","122","39.9","35.5","178","58.4","45.3","356","18","5.1","34","1.31","16.6",
"Churripi","esESP","GK","Valladolid","esLa Liga","25","1994","2.7","3","0","0","2","0","3.4","0.27","+0.4","+0.16","19","76","25.0","73","8","75.3","49.5","24","87.5","64.0","49","3","6.1","3","1.11","10.5",
"Jasper Cillessen","nlNED","GK","Valencia","esLa Liga","30","1989","23.3","30","6","2","1","1","29.1","0.20","+0.1","+0.01","116","366","31.7","549","133","41.0","35.1","205","68.8","51.3","385","6","1.6","13","0.56","13.8",
"Yannis Clementia","mqMTQ","GK","Nice","frLigue 1","22","1997","2.0","2","1","0","0","0","2.4","0.21","+0.4","+0.22","4","22","18.2","47","16","27.7","30.9","14","64.3","47.8","33","4","12.1","0","0.00","8.2",
"Simone Colombi","itITA","GK","Parma","itSerie A","28","1991","4.0","4","1","0","0","0","6.2","0.28","+2.2","+0.56","9","24","37.5","59","14","28.8","29.3","42","16.7","23.1","61","1","1.6","0","0.00","7.8",
"Andrea Consigli","itITA","GK","Sassuolo","itSerie A","32","1987","31.0","55","7","1","9","3","45.0","0.27","-7.0","-0.23","90","268","33.6","778","141","27.4","28.8","205","26.8","27.8","432","19","4.4","30","0.97","13.6",
"Angelo da Costa Júnior","brBRA","GK","Bologna","itSerie A","35","1983","1.0","1","0","0","0","0","0.2","0.10","-0.8","-0.79","0","2","0.0","22","4","9.1","27.0","4","0.0","15.8","8","0","0.0","1","1.00","33.0",
"Benoît Costil","frFRA","GK","Bordeaux","frLigue 1","32","1987","28.0","34","2","0","4","1","32.7","0.28","-0.3","-0.01","159","394","40.4","637","99","40.2","34.8","246","56.1","40.9","434","17","3.9","28","1.00","15.2",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","27","1992","34.0","20","0","0","4","0","26.7","0.28","+6.7","+0.20","76","280","27.1","865","200","23.4","30.6","217","35.9","37.7","403","21","5.2","33","0.97","14.5",
"Alessio Cragno","itITA","GK","Cagliari","itSerie A","25","1994","16.0","21","1","0","2","1","21.6","0.22","+1.6","+0.10","68","224","30.4","314","74","45.5","37.0","156","51.9","39.9","274","12","4.4","7","0.44","10.6",
"Iván Cuéllar","esESP","GK","Leganés","esLa Liga","35","1984","27.0","33","1","1","7","0","30.7","0.30","-2.3","-0.09","213","598","35.6","605","107","66.0","46.1","217","91.7","63.2","396","11","2.8","38","1.41","16.2",
"Paul Delecroix","frFRA","GK","Metz","frLigue 1","30","1988","1.5","4","1","0","0","0","2.2","0.21","-1.8","-1.20","14","30","46.7","33","5","66.7","43.8","11","72.7","54.1","11","0","0.0","2","1.32","26.5",
"Lucas Dias","frFRA","GK","Nîmes","frLigue 1","20","1999","3.5","6","0","1","2","0","5.7","0.34","-0.3","-0.08","26","71","36.6","60","4","61.7","40.9","38","89.5","57.2","63","0","0.0","5","1.42","14.3",
"Marko Dmitrović","rsSRB","GK","Eibar","esLa Liga","27","1992","35.0","51","4","2","3","1","45.8","0.35","-4.2","-0.12","266","822","32.4","815","88","72.1","51.6","244","95.9","70.9","419","24","5.7","75","2.14","17.9",
"Jaume Doménech","esESP","GK","Valencia","esLa Liga","28","1990","14.7","23","1","1","3","0","21.0","0.26","-2.0","-0.13","95","233","40.8","329","68","41.9","34.2","132","72.0","48.7","234","6","2.6","6","0.41","10.8",
"Gianluigi Donnarumma","itITA","GK","Milan","itSerie A","20","1999","35.6","42","4","0","4","1","39.7","0.23","-1.3","-0.04","177","406","43.6","878","178","32.3","31.3","259","47.1","36.9","473","27","5.7","37","1.04","13.9",
"Bartłomiej Drągowski","plPOL","GK","Fiorentina","itSerie A","21","1997","31.0","43","6","2","5","0","42.7","0.25","-0.3","-0.01","109","338","32.2","677","196","34.9","33.6","221","46.2","39.1","440","13","3.0","30","0.97","14.2",
"Martin Dúbravka","skSVK","GK","Newcastle Utd","engPremier League","30","1989","38.0","58","2","3","8","2","63.0","0.32","+7.0","+0.18","288","750","38.4","749","119","60.7","42.0","340","86.8","58.3","686","21","3.1","26","0.68","11.6",
"Ederson","brBRA","GK","Manchester City","engPremier League","25","1993","34.1","28","3","1","4","1","29.6","0.29","+2.6","+0.08","74","183","40.4","939","178","15.4","26.0","139","27.3","30.0","260","14","5.4","63","1.85","19.3",
"Aarón Escandell","esESP","GK","Granada","esLa Liga","23","1995","3.0","3","0","0","0","0","3.1","0.22","+0.1","+0.03","25","76","32.9","100","22","62.0","42.5","26","53.8","46.7","39","2","5.1","2","0.67","13.6",
"Łukasz Fabiański","plPOL","GK","West Ham","engPremier League","34","1985","23.5","34","3","1","2","2","32.1","0.27","+0.1","0.00","189","455","41.5","480","100","60.2","43.5","192","86.5","58.6","382","11","2.9","8","0.34","10.3",
"Fabricio","esESP","GK","Mallorca","esLa Liga","31","1987","1.0","3","1","0","1","0","2.3","0.23","-0.7","-0.74","6","14","42.9","24","6","41.7","38.0","9","44.4","40.1","7","0","0.0","0","0.00","8.3",
"Ralf Fährmann","deGER","GK","Norwich City","engPremier League","30","1988","0.2","1","1","","","","1.2","0.08","","","","2","","7","2","28.6","22.7","3","0.0","15.7","5","1","20.0","","","11.3",
"Wladimiro Falcone","itITA","GK","Sampdoria","itSerie A","24","1995","2.0","5","1","0","0","0","5.6","0.36","+0.6","+0.32","5","25","20.0","43","10","34.9","29.8","18","55.6","44.9","27","0","0.0","2","1.00","16.4",
"Aitor Fernández","esESP","GK","Levante","esLa Liga","28","1991","36.0","51","3","1","8","2","52.7","0.24","+3.7","+0.10","170","491","34.6","772","193","43.3","37.6","333","47.1","39.8","590","20","3.4","45","1.25","14.4",
"Andrés Fernández","esESP","GK","Villarreal","esLa Liga","32","1986","4.0","8","3","0","2","1","6.5","0.19","-0.5","-0.11","16","45","35.6","112","16","25.0","28.0","43","39.5","34.3","72","3","4.2","0","0.00","10.2",
"Mark Flekken","nlNED","GK","Freiburg","deBundesliga","26","1993","10.0","14","0","0","1","0","19.7","0.28","+5.7","+0.57","64","180","35.6","324","38","37.0","35.9","108","55.6","47.8","160","5","3.1","8","0.80","12.6",
"Ben Foster","engENG","GK","Watford","engPremier League","36","1983","38.0","64","8","3","7","3","62.6","0.31","+1.6","+0.04","302","923","32.7","912","118","71.7","46.9","295","91.2","62.2","581","30","5.2","55","1.45","15.9",
"Daniel Fuzato","brBRA","GK","Roma","itSerie A","22","1997","1.0","1","0","0","1","0","0.4","0.22","-0.6","-0.57","3","14","21.4","34","4","29.4","33.1","10","40.0","33.2","14","1","7.1","1","1.00","11.5",
"Gabriel","brBRA","GK","Lecce","itSerie A","26","1992","33.3","76","10","1","9","3","70.4","0.27","-2.6","-0.08","124","310","40.0","646","194","31.1","32.0","326","33.4","30.7","597","27","4.5","15","0.45","11.0",
"Paulo Gazzaniga","arARG","GK","Tottenham","engPremier League","27","1992","17.9","26","3","1","2","1","22.6","0.23","-2.4","-0.13","62","232","26.7","377","63","37.1","33.3","142","64.8","48.5","262","7","2.7","16","0.89","17.6",
"David de Gea","esESP","GK","Manchester Utd","engPremier League","28","1990","38.0","36","3","1","8","1","34.7","0.25","-0.3","-0.01","83","262","31.7","672","153","28.4","30.6","268","26.5","29.0","489","10","2.0","22","0.58","15.0",
"Rafał Gikiewicz","plPOL","GK","Union Berlin","deBundesliga","31","1987","33.0","54","3","0","7","1","48.9","0.29","-4.1","-0.12","374","823","45.4","1079","121","56.1","41.7","269","81.0","56.7","518","32","6.2","37","1.12","13.4",
"Mauro Goicoechea","uyURU","GK","Toulouse","frLigue 1","31","1988","2.0","5","0","0","0","0","4.1","0.32","-0.9","-0.43","16","41","39.0","44","4","54.5","40.3","20","85.0","49.8","15","0","0.0","2","1.00","15.6",
"Pierluigi Gollini","itITA","GK","Atalanta","itSerie A","24","1995","32.0","42","6","2","4","3","36.7","0.26","-2.3","-0.07","165","381","43.3","766","161","32.1","34.0","208","64.9","50.0","314","5","1.6","57","1.78","18.1",
"Alfred Gomis","snSEN","GK","Dijon","frLigue 1","25","1993","18.0","20","1","2","2","1","17.5","0.21","-1.5","-0.08","148","343","43.1","566","114","41.5","36.1","168","64.3","46.4","306","23","7.5","13","0.72","12.2",
"Vicente Guaita","esESP","GK","Crystal Palace","engPremier League","32","1987","35.0","42","0","0","3","2","47.4","0.33","+7.4","+0.21","202","625","32.3","783","173","51.3","38.8","274","81.4","56.8","591","23","3.9","24","0.69","12.3",
"Péter Gulácsi","huHUN","GK","RB Leipzig","deBundesliga","29","1990","32.0","34","2","0","7","0","36.5","0.30","+2.5","+0.08","117","333","35.1","1032","186","25.1","29.9","227","32.6","33.7","400","18","4.5","68","2.13","18.5",
"Angus Gunn","sctSCO","GK","Southampton","engPremier League","23","1996","10.0","25","2","1","1","0","17.5","0.28","-7.5","-0.75","38","178","21.3","181","27","62.4","42.3","77","84.4","55.5","139","4","2.9","12","1.20","17.0",
"Régis Gurtner","frFRA","GK","Amiens","frLigue 1","32","1986","28.0","50","1","1","12","1","40.8","0.29","-8.2","-0.29","194","462","42.0","562","93","47.7","38.4","255","76.1","51.0","425","10","2.4","10","0.36","11.8",
"Samir Handanović","siSVN","GK","Inter","itSerie A","35","1984","35.0","32","2","0","3","1","29.3","0.24","-1.7","-0.05","111","222","50.0","853","189","18.2","27.2","267","25.1","28.9","490","24","4.9","19","0.54","11.8",
"Tom Heaton","engENG","GK","Aston Villa","engPremier League","33","1986","19.9","35","3","1","7","1","28.4","0.26","-5.6","-0.28","112","358","31.3","431","99","52.4","39.5","195","67.7","50.5","379","11","2.9","13","0.65","12.1",
"Dean Henderson","engENG","GK","Sheffield Utd","engPremier League","22","1997","36.0","33","1","0","2","0","39.2","0.31","+6.2","+0.17","260","833","31.2","779","106","74.3","51.9","261","97.3","69.1","552","20","3.6","23","0.64","12.5",
"Wayne Hennessey","wlsWAL","GK","Crystal Palace","engPremier League","32","1987","3.0","8","0","1","2","0","8.3","0.36","+0.3","+0.10","35","85","41.2","65","7","78.5","48.9","39","87.2","61.3","60","0","0.0","3","1.00","13.2",
"Sergio Herrera","esESP","GK","Osasuna","esLa Liga","26","1993","18.4","27","1","2","4","0","27.4","0.33","+0.4","+0.02","149","453","32.9","462","73","69.3","47.1","147","90.5","59.2","235","16","6.8","31","1.69","16.4",
"Iago Herrerín","esESP","GK","Athletic Club","esLa Liga","31","1988","4.7","9","0","1","0","0","5.2","0.29","-3.8","-0.80","41","101","40.6","138","27","55.8","41.4","30","80.0","54.8","52","6","11.5","0","0.00","10.0",
"Marwin Hitz","chSUI","GK","Dortmund","deBundesliga","31","1987","3.2","1","0","0","0","0","3.4","0.49","+2.4","+0.75","8","22","36.4","75","14","17.3","28.2","25","36.0","38.3","35","1","2.9","4","1.24","15.4",
"Timo Horn","deGER","GK","Köln","deBundesliga","26","1993","34.0","69","4","1","11","2","54.8","0.32","-12.2","-0.36","270","552","48.9","901","103","46.5","37.9","297","44.8","38.4","479","20","4.2","23","0.68","11.8",
"Lukáš Hrádecký","fiFIN","GK","Leverkusen","deBundesliga","29","1989","34.0","44","2","1","4","0","48.1","0.33","+4.1","+0.12","180","498","36.1","1365","204","30.4","32.3","232","35.8","35.9","365","14","3.8","55","1.62","16.7",
"Jannik Huth","deGER","GK","Paderborn 07","deBundesliga","25","1994","6.0","17","1","0","1","0","12.1","0.34","-4.9","-0.81","28","72","38.9","203","37","30.0","31.5","48","22.9","29.7","70","1","1.4","5","0.83","15.2",
"Rune Jarstein","noNOR","GK","Hertha BSC","deBundesliga","34","1984","28.3","46","7","3","5","2","42.2","0.25","-1.8","-0.06","262","563","46.5","786","117","50.8","39.2","224","73.2","50.6","458","33","7.2","20","0.71","12.0",
"Jesse Joronen","fiFIN","GK","Brescia","itSerie A","26","1993","29.0","59","9","0","8","3","53.6","0.25","-2.4","-0.08","138","380","36.3","579","164","44.9","36.9","275","43.6","38.3","530","17","3.2","12","0.41","9.0",
"Lovre Kalinić","hrCRO","GK","Toulouse","frLigue 1","29","1990","3.4","4","0","0","0","0","2.9","0.24","-1.1","-0.32","25","82","30.5","79","12","60.8","43.3","38","89.5","57.7","65","8","12.3","3","0.88","14.1",
"Stefanos Kapino","grGRE","GK","Werder Bremen","deBundesliga","25","1994","1.0","2","0","0","0","0","0.9","0.19","-1.1","-1.06","7","16","43.8","26","8","38.5","33.8","9","66.7","43.0","21","0","0.0","1","1.00","12.0",
"Florian Kastenmeier","deGER","GK","Düsseldorf","deBundesliga","22","1997","17.0","31","2","0","3","3","25.2","0.30","-2.8","-0.17","115","287","40.1","509","57","44.4","38.0","112","54.5","45.1","207","6","2.9","20","1.18","15.8",
"Tomáš Koubek","czCZE","GK","Augsburg","deBundesliga","26","1992","24.0","51","0","0","3","2","42.7","0.35","-6.3","-0.26","145","457","31.7","623","102","49.3","40.3","212","70.8","53.4","366","13","3.6","34","1.42","15.7",
"Thomas Kraft","deGER","GK","Hertha BSC","deBundesliga","31","1988","4.0","9","0","0","2","0","6.0","0.31","-3.0","-0.76","34","82","41.5","95","14","58.9","39.5","33","78.8","54.9","75","2","2.7","6","1.50","22.8",
"Tim Krul","nlNED","GK","Norwich City","engPremier League","31","1988","36.0","68","3","1","11","3","60.5","0.29","-4.5","-0.12","169","598","28.3","1248","198","35.8","34.6","332","45.5","39.0","653","29","4.4","23","0.64","12.7",
"Alban Lafont","ciCIV","GK","Nantes","frLigue 1","20","1999","27.0","29","3","0","2","1","26.6","0.23","-1.4","-0.05","147","452","32.5","695","131","44.6","36.5","187","75.9","51.5","379","9","2.4","31","1.15","15.5",
"Gautier Larsonneur","frFRA","GK","Brest","frLigue 1","22","1997","26.6","34","3","0","4","0","41.4","0.28","+7.4","+0.28","128","373","34.3","783","152","35.9","35.2","235","39.1","35.2","454","19","4.2","28","1.05","13.5",
"Benjamin Lecomte","frFRA","GK","Monaco","frLigue 1","28","1991","28.0","44","6","0","7","1","42.8","0.28","-0.2","-0.01","146","337","43.3","637","136","34.5","33.0","212","55.2","42.3","394","20","5.1","39","1.39","15.8",
"Nicolas Lemaître","frFRA","GK","Reims","frLigue 1","22","1997","1.0","3","1","0","1","0","2.3","0.32","-0.7","-0.75","2","7","28.6","19","4","21.1","26.1","8","37.5","41.0","14","0","0.0","0","0.00","9.0",
"Bernd Leno","deGER","GK","Arsenal","engPremier League","27","1992","29.4","39","6","0","6","0","40.0","0.22","+1.0","+0.04","64","266","24.1","732","185","23.4","27.9","253","37.5","34.4","468","17","3.6","38","1.29","15.6",
"Donovan Léon","gfGUF","GK","Brest","frLigue 1","26","1992","1.4","3","1","0","0","0","4.3","0.30","+1.3","+0.97","8","20","40.0","34","8","44.1","38.3","8","62.5","46.3","30","2","6.7","0","0.00","5.3",
"Karlo Letica","hrCRO","GK","SPAL","itSerie A","22","1997","10.0","29","0","2","1","1","18.9","0.28","-9.1","-0.91","55","155","35.5","219","54","44.7","37.2","95","60.0","45.4","168","5","3.0","3","0.30","10.3",
"Hugo Lloris","frFRA","GK","Tottenham","engPremier League","32","1986","20.1","21","2","0","2","1","30.4","0.28","+10.4","+0.52","105","252","41.7","421","97","42.0","35.3","150","50.0","35.2","312","16","5.1","8","0.40","10.2",
"Anthony Lopes","ptPOR","GK","Lyon","frLigue 1","28","1990","26.0","25","2","1","2","3","22.9","0.24","+0.9","+0.03","97","222","43.7","634","147","24.1","28.6","187","36.9","34.1","313","11","3.5","20","0.77","14.6",
"Diego López","esESP","GK","Espanyol","esLa Liga","37","1981","35.9","58","6","0","4","2","53.9","0.31","-2.1","-0.06","218","661","33.0","834","118","54.1","41.1","302","69.5","49.8","474","26","5.5","50","1.39","15.9",
"Pau López","esESP","GK","Roma","itSerie A","24","1994","32.0","45","8","1","4","0","44.3","0.27","-0.7","-0.02","143","317","45.1","838","175","29.1","31.4","208","35.1","34.9","373","9","2.4","44","1.38","18.2",
"Andreas Luthe","deGER","GK","Augsburg","deBundesliga","32","1987","10.0","12","0","0","0","1","14.1","0.43","+3.1","+0.31","52","165","31.5","324","51","37.0","35.1","91","49.5","40.8","184","10","5.4","11","1.10","13.9",
"Mike Maignan","frFRA","GK","Lille","frLigue 1","24","1995","28.0","27","4","1","1","3","25.0","0.25","+1.0","+0.04","130","390","33.3","563","137","44.0","37.2","200","71.0","52.4","323","11","3.4","24","0.86","17.0",
"Steve Mandanda","frFRA","GK","Marseille","frLigue 1","34","1985","26.3","27","4","0","2","2","30.1","0.30","+5.1","+0.19","117","365","32.1","697","133","39.9","35.6","144","60.4","43.8","319","21","6.6","21","0.80","14.6",
"Daniel Martín","esESP","GK","Betis","esLa Liga","21","1998","5.9","12","0","0","1","0","7.9","0.33","-4.1","-0.69","23","58","39.7","147","34","29.3","30.8","36","41.7","40.6","69","2","2.9","8","1.36","18.3",
"David Martin","engENG","GK","West Ham","engPremier League","33","1986","4.8","6","0","0","1","0","6.0","0.31","0.0","-0.01","39","101","38.6","79","12","74.7","46.9","44","95.5","60.8","83","1","1.2","1","0.21","12.4",
"Emiliano Martínez","arARG","GK","Arsenal","engPremier League","26","1992","8.6","9","1","0","3","0","11.8","0.26","+2.8","+0.32","28","98","28.6","232","48","29.3","31.4","61","49.2","40.2","138","8","5.8","4","0.47","13.2",
"Jordi Masip","esESP","GK","Valladolid","esLa Liga","30","1989","35.0","39","6","2","3","0","43.6","0.30","+4.6","+0.13","238","711","33.5","714","122","61.9","43.6","336","80.1","55.4","540","12","2.2","15","0.43","10.9",
"Alex McCarthy","engENG","GK","Southampton","engPremier League","29","1989","28.0","35","1","0","4","1","37.2","0.32","+3.2","+0.11","191","528","36.2","643","76","59.1","41.6","178","83.1","56.6","439","25","5.7","27","0.96","12.8",
"Michael McGovern","nirNIR","GK","Norwich City","engPremier League","35","1984","1.8","6","0","0","0","0","4.8","0.30","-1.2","-0.66","4","22","18.2","37","11","43.2","34.4","14","42.9","33.2","24","0","0.0","3","1.70","14.5",
"Edouard Mendy","snSEN","GK","Rennes","frLigue 1","27","1992","24.0","19","3","1","4","1","20.7","0.22","+2.7","+0.11","155","338","45.9","624","99","38.0","34.5","163","62.0","43.6","334","33","9.9","22","0.92","12.9",
"Alex Meret","itITA","GK","Napoli","itSerie A","22","1997","21.7","33","5","0","2","1","27.7","0.27","-4.3","-0.20","31","103","30.1","466","86","17.2","25.5","139","16.5","22.9","241","4","1.7","15","0.69","14.3",
"Antonio Mirante","itITA","GK","Roma","itSerie A","36","1983","5.0","5","1","0","0","0","8.7","0.34","+3.7","+0.73","24","49","49.0","142","30","31.0","30.7","29","17.2","28.3","83","1","1.2","8","1.60","14.9",
"Simon Moore","engENG","GK","Sheffield Utd","engPremier League","29","1990","2.0","6","0","0","0","0","4.5","0.41","-1.5","-0.74","10","39","25.6","37","4","75.7","51.2","11","100.0","69.5","20","0","0.0","0","0.00","7.0",
"Jessy Moulin","frFRA","GK","Saint-Étienne","frLigue 1","33","1986","5.0","4","2","0","0","0","6.8","0.22","+2.8","+0.57","22","86","25.6","131","28","48.1","39.5","42","54.8","43.7","77","4","5.2","0","0.00","9.7",
"Florian Müller","deGER","GK","Mainz 05","deBundesliga","21","1997","12.5","25","2","3","1","0","22.2","0.31","-2.8","-0.22","65","188","34.6","360","79","31.4","32.1","118","63.6","46.6","208","13","6.3","18","1.44","15.8",
"Juan Musso","arARG","GK","Udinese","itSerie A","25","1994","38.0","51","8","2","4","0","52.1","0.22","+1.1","+0.03","184","421","43.7","812","171","34.5","32.7","358","39.4","34.1","581","25","4.3","20","0.53","11.6",
