Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Diant Ramaj","deGER","GK","Heidenheim","deBundesliga","24-069","2001","11.0","26","2","0","0","0","26.0","0.39","0.0","0.00","99","261","37.9","511","53","40.3","39.1","83","66.3","52.2","170","18","10.6","13","1.18","11.8",
"Aaron Ramsdale","engENG","GK","Newcastle Utd","engPremier League","27-197","1998","0.2","2","1","0","0","0","1.4","0.25","-0.6","-3.54","0","2","0.0","3","0","33.3","37.0","3","33.3","39.3","6","0","0.0","0","0.00","",
"Federico Ravaglia","itITA","GK","Bologna","itSerie A","26-016","1999","2.0","0","0","0","0","0","0.8","0.13","+0.8","+0.38","10","34","29.4","96","11","29.2","32.9","11","54.5","45.6","32","0","0.0","7","3.50","19.1",
"David Raya","esESP","GK","Arsenal","engPremier League","30-073","1995","12.0","6","0","1","1","0","4.7","0.20","-1.3","-0.11","60","178","33.7","366","48","40.4","35.7","39","76.9","56.8","101","10","9.9","20","1.67","19.4",
"Álex Remiro","esESP","GK","Real Sociedad","esLa Liga","30-248","1995","13.0","18","1","0","2","1","14.8","0.31","-2.2","-0.17","79","177","44.6","397","47","33.0","32.1","83","55.4","47.8","145","6","4.1","23","1.77","17.5",
"Guillaume Restes","frFRA","GK","Toulouse","frLigue 1","20-261","2005","13.0","17","4","0","3","0","17.0","0.33","0.0","0.00","58","147","39.5","311","37","38.9","34.0","47","55.3","42.6","157","11","7.0","14","1.08","14.1",
"Lasse Rieß","deGER","GK","Mainz 05","deBundesliga","24-123","2001","2.2","8","1","0","0","0","5.8","0.30","-2.2","-0.98","8","26","30.8","58","6","39.7","36.1","13","23.1","30.2","11","0","0.0","4","1.78","18.7",
"Robin Risser","frFRA","GK","Lens","frLigue 1","20-360","2004","13.0","11","2","0","2","0","14.2","0.27","+3.2","+0.25","45","123","36.6","342","43","26.6","32.5","65","49.2","41.2","177","8","4.5","8","0.62","14.6",
"Robin Roefs","nlNED","GK","Sunderland","engPremier League","22-314","2003","12.0","11","0","0","1","0","12.9","0.24","+1.9","+0.16","63","231","27.3","424","39","38.9","36.0","71","93.0","66.6","202","20","9.9","13","1.08","11.8",
"Leo Román","esESP","GK","Mallorca","esLa Liga","25-144","2000","10.0","15","2","0","2","0","16.7","0.31","+1.7","+0.17","58","161","36.0","277","31","45.5","38.4","58","60.3","47.0","145","8","5.5","5","0.50","10.8",
"Gerónimo Rulli","arARG","GK","Marseille","frLigue 1","33-191","1992","10.0","9","1","0","1","1","10.8","0.26","+2.8","+0.28","42","95","44.2","300","37","25.3","29.3","42","45.2","38.9","110","22","20.0","34","3.40","17.9",
"Mathew Ryan","auAUS","GK","Levante","esLa Liga","33-233","1992","11.0","19","1","0","3","1","19.0","0.33","+1.0","+0.09","60","160","37.5","269","49","37.5","36.0","99","59.6","48.1","192","10","5.2","10","0.91","11.6",
"Frederik Rønnow","dkDEN","GK","Union Berlin","deBundesliga","33-115","1992","11.0","17","3","0","1","0","18.4","0.29","+1.4","+0.13","72","240","30.0","296","39","57.8","40.9","77","89.6","59.7","185","16","8.6","6","0.55","10.7",
