Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Brenden Aaronson","usUSA","MF,FW","Leeds United","engPremier League","21","2000","26.4","2","0","0","16","55","6","72","5","18","0","0","0","128","8","39","17.0",
"Paxten Aaronson","usUSA","MF,DF","Eint Frankfurt","deBundesliga","18","2003","1.9","1","0","0","5","3","1","7","0","5","0","0","0","8","1","1","50.0",
"James Abankwah","ieIRL","DF","Udinese","itSerie A","18","2004","0.7","0","0","0","2","1","0","0","0","1","0","0","0","2","2","0","100.0",
"George Abbott","engENG","MF","Tottenham","engPremier League","16","2005","0.0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","34","1987","37.0","6","0","0","49","28","2","5","64","50","0","0","0","263","93","51","64.6",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","22","1999","23.7","3","0","0","43","31","1","35","28","38","0","0","0","180","18","23","43.9",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","22","2000","32.2","6","1","0","71","38","0","10","36","26","0","0","1","213","14","17","45.2",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","29","1993","26.0","7","1","1","28","29","0","6","34","52","0","0","0","193","8","15","34.8",
"Oliver Abildgaard","dkDEN","MF","Hellas Verona","itSerie A","26","1996","6.6","2","0","0","13","7","0","5","5","6","0","0","0","37","50","21","70.4",
"Matthis Abline","frFRA","FW,MF","Auxerre","frLigue 1","19","2003","9.0","1","0","0","14","10","5","6","1","2","1","0","0","13","12","30","28.6",
"Matthis Abline","frFRA","FW,MF","Rennes","frLigue 1","19","2003","1.2","0","0","0","3","5","1","2","2","1","1","0","0","2","1","4","20.0",
"Abner","brBRA","DF","Betis","esLa Liga","22","2000","6.7","2","0","0","8","2","0","13","8","9","0","1","0","43","9","16","36.0",
"Zakaria Aboukhlal","maMAR","FW,MF","Toulouse","frLigue 1","22","2000","27.5","4","0","0","41","46","20","29","22","23","0","0","0","130","12","31","27.9",
"Tammy Abraham","engENG","FW","Roma","itSerie A","24","1997","24.3","2","0","0","33","48","11","11","3","10","1","0","0","46","80","74","51.9",
"Christian Acella","itITA","MF","Cremonese","itSerie A","20","2002","0.2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","34","1988","26.9","4","0","0","17","13","2","22","41","19","0","0","0","151","78","42","65.0",
"Álvaro Aceves","esESP","GK","Valladolid","esLa Liga","19","2003","0.1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50.0",
