Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","21","1999","0.1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","29","1990","19.7","2","0","0","11","3","3","40","30","22","0","0","0","136","11","13","45.8",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","32","1987","32.1","4","1","0","37","22","0","0","61","37","0","1","0","200","92","53","63.4",
"Sabit Abdulai","ghGHA","MF","Getafe","esLa Liga","21","1999","0.7","1","0","0","2","1","0","1","0","0","0","0","0","1","1","3","25.0",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","27","1992","14.7","5","0","0","31","22","1","40","20","19","0","0","0","108","13","18","41.9",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","27","1993","32.9","5","0","0","44","37","0","26","46","84","1","0","0","231","9","17","34.6",
"Charles Abi","frFRA","FW,MF","Saint-Étienne","frLigue 1","20","2000","10.1","1","0","0","18","7","7","3","4","2","0","0","0","26","37","59","38.5",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","17","2003","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Pape Abou Cissé","snSEN","DF","Saint-Étienne","frLigue 1","24","1995","14.0","1","0","0","10","9","1","1","27","13","0","0","0","97","55","15","78.6",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","34","1986","13.6","5","1","1","9","6","1","13","17","12","0","0","0","76","31","18","63.3",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","22","1997","11.6","0","0","0","22","12","4","6","5","5","1","0","0","28","38","28","57.6",
"Amir Abrashi","alALB","MF,DF","Freiburg","deBundesliga","30","1990","0.7","0","0","0","4","0","0","0","2","1","0","0","0","6","1","2","33.3",
"Gennaro Acampora","itITA","MF,FW","Spezia","itSerie A","26","1994","4.9","2","0","0","10","12","1","7","4","4","0","0","0","31","3","5","37.5",
