Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","32.0","8","0","0","27","52","1","50","28","44","0","2","1","154","13","50","20.6",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","33.1","5","1","0","39","25","0","4","68","27","0","1","0","195","62","38","62.0",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","27.4","12","3","2","43","37","0","14","42","23","0","0","0","186","17","20","45.9",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","32.8","9","0","0","41","69","1","37","55","60","0","0","0","264","11","7","61.1",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","0.5","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","8.1","3","0","0","17","11","15","3","4","7","0","0","0","28","19","30","38.8",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","1.1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","7","0.0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","34.3","9","0","0","38","49","17","16","5","13","1","1","0","68","78","80","49.4",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","6.2","2","0","0","5","4","0","0","5","3","0","0","1","14","7","14","33.3",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","28.2","2","1","0","18","16","4","3","34","12","1","0","0","162","69","43","61.6",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","2.9","0","0","0","5","8","6","6","0","0","0","0","0","7","18","10","64.3",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","0.1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","25.1","10","0","0","38","48","0","178","14","29","0","1","0","173","22","32","40.7",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","22.7","0","0","0","29","40","7","8","8","6","0","0","0","70","61","91","40.1",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","15.0","5","0","0","19","15","0","2","16","7","0","0","0","85","20","10","66.7",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","3.7","0","0","0","5","8","4","5","1","6","0","0","0","24","3","14","17.6",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","3.9","1","0","0","16","2","0","11","11","11","0","0","0","35","3","5","37.5",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","14.0","3","0","0","27","28","8","21","11","14","0","0","0","62","12","29","29.3",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","25.1","5","0","0","21","27","4","114","37","27","0","0","0","150","12","19","38.7",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","4.9","1","0","0","13","4","0","7","6","5","0","0","0","27","5","4","55.6",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","7.4","5","1","1","15","24","4","8","3","3","0","0","0","31","11","15","42.3",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","18.0","4","0","0","24","22","1","45","25","22","0","1","0","79","31","27","53.4",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4.0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","",
"Lucien Agoume","frFRA","MF","Brest","frLigue 1","19","2002","20.8","6","0","0","31","14","0","5","52","31","0","1","0","148","26","29","47.3",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","22","1998","13.7","2","1","0","36","24","0","22","8","26","0","0","0","67","15","14","51.7",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","25","1996","30.4","3","1","0","20","16","1","1","24","18","1","2","0","154","95","51","65.1",
