Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","24.3","7","0","0","18","10","3","56","47","32","0","0","0","162","6","5","54.5",
"Rolando Aarons","engENG","MF,FW","Newcastle Utd","engPremier League","21","1995","1.5","0","0","0","1","3","1","2","1","4","0","0","0","9","1","3","25.0",
"Rolando Aarons","engENG","MF,FW","Hellas Verona","itSerie A","21","1995","5.7","0","0","0","9","11","0","10","2","8","0","0","0","19","9","15","37.5",
"Ignazio Abate","itITA","DF","Milan","itSerie A","30","1986","11.7","3","0","0","12","8","3","31","8","17","0","0","0","56","5","4","55.6",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","27","1989","5.5","3","0","0","9","6","0","0","4","3","0","0","0","32","7","7","50.0",
"Aly Abeid","mrMTN","DF","Levante","esLa Liga","19","1997","0.9","0","0","0","1","0","0","2","3","1","0","0","0","5","1","2","33.3",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","24","1992","13.1","2","0","0","29","16","2","6","18","15","0","0","0","93","13","16","44.8",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","31","1986","25.6","3","0","0","11","20","0","7","40","32","0","0","1","113","78","42","65.0",
"Tammy Abraham","engENG","FW","Swansea City","engPremier League","19","1997","19.2","0","0","0","15","27","9","13","1","8","0","0","0","41","39","58","40.2",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","27","1990","9.4","2","0","0","20","27","0","5","19","32","0","0","0","55","17","17","50.0",
"Francesco Acerbi","itITA","DF","Sassuolo","itSerie A","29","1988","38.0","4","0","0","31","32","1","12","88","32","0","1","1","260","103","40","72.0",
"Afriyie Acquah","ghGHA","MF","Torino","itSerie A","25","1992","10.6","5","1","1","17","14","0","12","16","6","0","0","0","68","12","17","41.4",
"Charlie Adam","sctSCO","MF","Stoke City","engPremier League","31","1985","4.6","2","1","0","8","8","0","30","9","5","0","0","0","40","7","4","63.6",
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30.0","4","0","0","1","3","0","0","0","0","0","0","0","41","4","1","80.0",
"Aday","esESP","DF","Girona","esLa Liga","29","1987","20.4","10","0","0","39","15","6","134","25","15","0","0","1","97","37","16","69.8",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","32","1985","32.5","9","0","0","50","39","1","0","65","24","0","1","0","195","64","46","58.2",
"Claud Adjapong","itITA","DF,FW","Sassuolo","itSerie A","19","1998","13.6","5","1","0","24","19","2","27","23","26","0","0","0","80","15","15","50.0",
"René Adler","deGER","GK","Mainz 05","deBundesliga","32","1985","14.0","0","0","0","1","4","0","0","0","1","0","1","0","33","5","0","100.0",
"Yacine Adli","frFRA","FW","Paris S-G","frLigue 1","17","2000","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Ali Adnan Kadhim","iqIRQ","DF,FW","Udinese","itSerie A","23","1993","18.6","4","0","0","21","22","1","88","41","35","0","0","1","94","51","34","60.0",
"Adrián","esESP","GK","West Ham","engPremier League","30","1987","19.0","2","0","0","1","3","0","0","0","1","0","0","0","20","2","1","66.7",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","36","1981","23.9","5","0","0","42","39","35","20","3","8","0","0","0","45","99","77","56.3",
"Ibrahim Afellay","nlNED","MF","Stoke City","engPremier League","31","1986","1.8","1","0","0","1","0","0","0","1","3","0","0","0","15","0","0","",
"Benik Afobe","cdCOD","FW","Bournemouth","engPremier League","24","1993","6.8","0","0","0","9","13","4","2","0","3","1","0","0","17","22","38","36.7",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","21","1996","20.3","4","0","0","19","18","0","50","41","33","0","0","0","120","17","13","56.7",
"Imanol Agirretxe","esESP","FW","Real Sociedad","esLa Liga","30","1987","2.6","0","0","0","1","4","1","1","0","0","1","0","0","6","8","10","44.4",
