Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","28","1990","27.9","0","0","0","9","8","2","92","45","23","0","0","1","176","16","16","50.0",
"Max Aarons","engENG","DF","Norwich City","engPremier League","19","2000","36.0","7","0","0","29","49","3","73","37","30","1","0","0","178","22","49","31.0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","31","1987","28.0","0","0","0","21","17","0","1","47","33","0","1","0","140","85","51","62.5",
"Suleiman Abdullahi","ngNGA","FW,MF","Union Berlin","deBundesliga","22","1996","1.7","1","0","0","0","0","3","8","1","0","0","0","0","7","6","11","35.3",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","26","1992","20.2","5","0","0","55","43","1","63","23","29","0","1","0","153","13","17","43.3",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","19","2000","6.9","2","0","0","16","11","7","5","4","9","1","0","0","22","28","34","45.2",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","33","1986","18.8","2","1","0","14","12","0","9","25","14","0","0","0","125","48","30","61.5",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","21","1997","24.6","2","0","0","17","24","23","11","6","4","1","0","1","49","89","113","44.1",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","29","1990","7.4","3","0","0","17","12","0","7","7","8","0","0","0","51","9","9","50.0",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","31","1988","35.1","4","0","0","26","41","5","26","42","29","1","0","0","179","56","32","63.6",
"Che Adams","sctSCO","FW","Southampton","engPremier League","23","1996","12.3","0","0","0","17","16","10","13","2","4","1","0","0","51","41","75","35.3",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","20","1999","10.6","0","0","0","9","16","0","10","14","15","0","0","0","58","14","14","50.0",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","26","1993","8.3","1","0","0","12","7","7","11","2","7","1","0","0","32","12","34","26.1",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","32","1987","0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bobby Adekanye","nlNED","FW","Lazio","itSerie A","20","1999","2.1","1","0","0","2","3","1","1","2","2","0","0","0","6","1","4","20.0",
"Claud Adjapong","itITA","DF","Hellas Verona","itSerie A","21","1998","2.6","0","0","0","3","2","1","3","3","3","0","0","0","11","3","4","42.9",
"Amine Adli","maMAR","MF,FW","Toulouse","frLigue 1","19","2000","0.5","1","0","0","2","0","0","4","1","0","0","0","0","3","1","1","50.0",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","19","2000","11.3","3","0","0","13","18","0","39","8","14","0","0","0","57","10","13","43.5",
"Adrián","esESP","GK","Liverpool","engPremier League","32","1987","9.7","1","0","0","0","1","0","0","0","1","0","0","0","5","4","0","100.0",
"Aritz Aduriz","esESP","FW,MF","Athletic Club","esLa Liga","38","1981","2.3","3","0","0","7","1","0","0","0","2","0","0","0","2","21","10","67.7",
"Lumor Agbenyenu","ghGHA","DF","Mallorca","esLa Liga","22","1996","20.1","5","1","1","13","9","0","81","21","21","0","0","0","118","17","16","51.5",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","23","1996","23.3","5","1","0","33","19","1","33","18","30","0","1","0","125","26","27","49.1",
