Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Max Aarons","engENG","DF,MF","Valencia","esLa Liga","24","2000","1.3","2","0","0","0","2","0","5","0","4","0","0","0","7","2","1","66.7",
"Max Aarons","engENG","DF","Bournemouth","engPremier League","24","2000","1.0","0","0","0","0","2","0","2","1","2","0","0","0","7","0","0","",
"Rodrigo Abajas","esESP","DF","Valencia","esLa Liga","21","2003","0.7","1","0","0","2","0","1","1","1","2","0","0","0","2","0","1","0.0",
"James Abankwah","ieIRL","DF,MF","Udinese","itSerie A","20","2004","1.0","1","0","0","4","3","0","0","1","2","0","0","0","7","2","2","50.0",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","18","2006","0.0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","",
"Yunis Abdelhamid","maMAR","DF","Saint-Étienne","frLigue 1","36","1987","11.5","2","0","0","16","6","0","0","14","11","0","0","0","42","19","10","65.5",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","24","1999","31.6","4","0","0","48","32","3","44","26","32","0","0","0","193","13","20","39.4",
"Mohamed Abdelmoneim","egEGY","DF","Nice","frLigue 1","25","1999","9.5","2","0","0","9","10","0","2","15","14","0","0","0","50","31","19","62.0",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","30","1993","15.5","2","0","0","27","14","5","51","20","25","0","0","0","72","22","14","61.1",
"Saud Abdulhamid","saKSA","DF","Roma","itSerie A","25","1999","2.3","0","0","0","2","5","0","7","2","2","0","1","0","3","0","1","0.0",
"Nabil Aberdin","frFRA","MF","Getafe","esLa Liga","21","2002","2.9","1","0","0","7","6","0","0","0","4","0","0","0","8","10","3","76.9",
"Oliver Abildgaard","dkDEN","MF","Como","itSerie A","28","1996","0.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","21","2003","30.8","3","0","0","34","53","5","30","4","5","0","0","0","83","64","76","45.7",
"Abner","brBRA","DF","Lyon","frLigue 1","24","2000","12.1","1","0","0","16","4","0","31","5","20","0","0","0","45","7","9","43.8",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","24","2000","21.1","4","0","0","35","25","13","33","6","13","2","0","0","61","22","38","36.7",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","25","1999","27.4","13","0","0","47","31","2","5","39","23","1","2","0","87","40","35","53.3",
"Tammy Abraham","engENG","FW","Milan","itSerie A","26","1997","13.1","1","0","0","23","12","7","3","2","11","1","0","0","12","36","33","52.2",
"Tammy Abraham","engENG","FW","Roma","itSerie A","26","1997","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.0",
"Federico Accornero","itITA","MF","Genoa","itSerie A","20","2004","0.1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0.0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","36","1988","19.0","0","0","0","11","18","2","10","26","19","0","0","0","62","61","30","67.0",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","18","2006","1.9","1","0","0","0","1","0","0","1","1","0","0","0","7","1","6","14.3",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","24","2000","11.9","2","0","0","17","8","16","5","1","3","2","0","0","24","28","27","50.9",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","24","2000","1.5","0","0","0","1","0","1","0","0","0","0","0","0","4","6","10","37.5",
"Che Adams","sctSCO","FW","Torino","itSerie A","28","1996","29.5","2","0","0","29","40","23","10","2","6","0","0","0","50","36","62","36.7",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","25","1999","21.8","7","0","0","45","21","0","3","32","50","0","1","0","114","31","18","63.3",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","23","2001","17.2","5","1","0","38","22","17","5","12","3","0","0","0","52","53","108","32.9",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","26","1997","15.7","4","0","0","8","9","1","0","11","13","0","0","0","41","42","28","60.0",
"Martin Adeline","frFRA","MF","Reims","frLigue 1","20","2003","0.3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0.0",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","22","2002","15.9","4","0","0","27","18","4","26","7","14","0","0","0","48","9","13","40.9",
"Simon Adingra","ciCIV","FW,MF","Brighton","engPremier League","22","2002","12.2","0","0","0","13","4","4","41","8","14","0","0","0","47","7","4","63.6",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","24","2000","8.5","3","0","0","15","9","7","33","0","9","2","0","0","30","21","26","44.7",
"Yacine Adli","frFRA","MF","Fiorentina","itSerie A","24","2000","13.7","3","1","1","9","20","0","63","6","19","0","0","0","77","5","16","23.8",
"Adrián","esESP","GK","Betis","esLa Liga","37","1987","19.0","3","0","0","0","4","0","0","0","0","0","0","0","20","2","1","66.7",
"Adryelson","brBRA","DF","Lyon","frLigue 1","26","1998","0.0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","100.0",
"Vasilije Adžić","meMNE","MF,FW","Juventus","itSerie A","18","2006","0.5","0","0","0","1","1","0","0","0","2","0","0","0","3","2","3","40.0",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","27","1997","8.0","2","0","0","16","16","0","14","7","13","0","0","0","35","5","9","35.7",
"Oladapo Afolayan","engENG","FW,MF","St. Pauli","deBundesliga","26","1998","18.2","3","0","0","21","42","9","53","8","8","1","0","0","72","19","45","29.7",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","27","1997","14.0","3","0","0","13","6","0","1","19","17","0","0","0","85","18","11","62.1",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","27","1997","15.7","3","0","0","7","4","1","2","12","19","0","0","0","83","26","20","56.5",
"Asher Agbinone","engENG","MF","Crystal Palace","engPremier League","18","2005","0.1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0.0",
"Jeremy Agbonifo","seSWE","FW,MF","Lens","frLigue 1","18","2005","3.3","1","0","0","14","5","2","7","1","6","0","0","0","9","1","9","10.0",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","23","2000","13.4","1","1","0","3","1","0","0","0","0","0","2","0","21","5","0","100.0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","22","2002","23.5","5","1","0","49","6","2","18","41","32","0","1","0","136","42","40","51.2",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","24","1999","19.5","1","0","0","11","43","4","49","21","14","0","0","1","67","21","30","41.2",
"Álvaro Aguado","esESP","MF","Espanyol","esLa Liga","28","1996","4.9","3","0","0","5","8","0","12","4","2","0","0","0","37","3","2","60.0",
"Lorenzo Aguado","esESP","DF","Real Madrid","esLa Liga","21","2002","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Nayef Aguerd","maMAR","DF","Real Sociedad","esLa Liga","28","1996","19.6","5","0","0","11","19","0","2","13","24","0","1","0","73","61","32","65.6",
"Ruben Aguilar","frFRA","DF,MF","Lens","frLigue 1","31","1993","12.5","4","0","0","14","15","5","47","13","18","0","0","0","79","10","16","38.5",
"Naouirou Ahamada","frFRA","MF,FW","Rennes","frLigue 1","22","2002","0.6","0","0","0","1","0","0","1","2","0","0","0","0","7","0","1","0.0",
"Honest Ahanor","itITA","DF,MF","Genoa","itSerie A","16","2008","3.0","0","0","0","2","8","0","4","1","5","0","0","0","14","5","3","62.5",
"Erik Ahlstrand","seSWE","FW,MF","St. Pauli","deBundesliga","22","2001","0.5","0","0","0","0","0","1","0","1","0","0","0","0","0","0","3","0.0",
"Jean-Eudes Aholou","ciCIV","MF","Angers","frLigue 1","30","1994","21.8","7","0","0","50","25","1","2","33","36","0","0","0","100","38","23","62.3",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","28","1995","0.0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","",
"Joseph Aidoo","ghGHA","DF","Valladolid","esLa Liga","28","1995","6.5","0","0","0","4","2","0","0","5","5","0","0","0","25","9","8","52.9",
"Ayman Aiki","frFRA","FW,MF","Saint-Étienne","frLigue 1","19","2005","1.4","0","0","0","4","1","0","1","1","3","0","0","0","7","1","4","20.0",
"Ola Aina","ngNGA","DF","Nott'ham Forest","engPremier League","27","1996","33.3","5","0","0","23","35","2","59","33","42","0","1","0","190","13","19","40.6",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","23","2001","34.5","7","1","1","30","46","6","94","26","57","0","0","0","145","22","30","42.3",
"Junior Ajayi","ciCIV","FW","Hellas Verona","itSerie A","19","2004","0.1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","26","1998","16.0","5","0","0","13","6","2","14","12","18","0","0","0","42","27","23","54.0",
"Ludovic Ajorque","frFRA","FW","Brest","frLigue 1","30","1994","27.7","5","0","0","61","26","11","7","6","19","2","0","0","62","133","121","52.4",
"Manuel Akanji","chSUI","DF","Manchester City","engPremier League","29","1995","22.4","3","0","0","17","9","0","11","9","12","0","0","0","103","30","33","47.6",
"Ümit Akdag","roROU","DF","Toulouse","frLigue 1","20","2003","5.6","2","0","0","8","1","0","3","11","4","0","0","0","24","18","7","72.0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","29","1995","7.5","0","0","0","2","0","0","1","3","7","0","0","0","24","13","10","56.5",
"Ilias Akhomach","maMAR","MF,FW","Villarreal","esLa Liga","20","2004","6.5","1","0","0","9","21","1","18","3","7","0","0","0","30","6","6","50.0",
"Sergio Akieme","esESP","DF","Reims","frLigue 1","26","1997","28.0","5","0","0","25","21","1","94","17","23","0","0","0","109","19","26","42.2",
"Maghnes Akliouche","frFRA","FW,MF","Monaco","frLigue 1","22","2002","26.7","2","0","0","31","38","8","53","15","31","0","0","0","131","5","23","17.9",
"Paul Akouokou","ciCIV","MF","Lyon","frLigue 1","26","1997","0.2","1","0","0","3","0","0","0","1","0","0","0","0","0","0","0","",
"Clément Akpa","ciCIV","DF","Auxerre","frLigue 1","22","2001","27.6","7","0","0","15","35","0","25","42","34","0","1","0","116","38","31","55.1",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Monza","itSerie A","31","1992","10.7","4","0","0","24","18","0","6","13","18","0","0","0","54","11","15","42.3",
"David Akpan Ankeye","ngNGA","FW,MF","Genoa","itSerie A","22","2002","0.5","0","0","0","3","1","0","0","0","0","0","0","0","0","0","1","0.0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","29","1995","24.7","3","0","0","25","23","1","12","29","27","0","4","0","107","48","47","50.5",
"Chuba Akpom","engENG","FW","Lille","frLigue 1","28","1995","7.1","0","0","0","11","15","2","1","0","5","1","0","0","11","17","11","60.7",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","32","1992","3.5","1","0","0","2","0","0","3","6","0","0","0","0","8","4","1","80.0",
"Ibrahim Alani","ngNGA","MF","Valladolid","esLa Liga","18","2006","1.8","0","0","0","2","5","0","0","1","7","0","0","0","13","3","1","75.0",
"Andreas Albers","dkDEN","FW","St. Pauli","deBundesliga","34","1990","0.7","0","0","0","3","2","0","0","0","1","0","0","0","3","10","12","45.5",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","38","1985","13.2","5","0","0","11","6","0","0","6","9","0","2","1","44","29","14","67.4",
"Carlos Alcaraz","arARG","FW,MF","Everton","engPremier League","21","2002","8.5","4","0","0","13","12","1","11","5","5","0","0","0","37","14","8","63.6",
"Carlos Alcaraz","arARG","MF","Southampton","engPremier League","21","2002","0.1","0","0","0","1","0","0","1","1","0","0","0","0","2","1","0","100.0",
"Omar Alderete","pyPAR","DF","Getafe","esLa Liga","27","1996","33.0","8","0","0","33","12","8","6","40","29","1","4","0","115","101","51","66.4",
"Carles Aleñá","esESP","MF,FW","Alavés","esLa Liga","26","1998","12.1","1","0","0","11","24","0","31","2","12","0","0","0","47","9","6","60.0",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","26","1998","5.0","1","0","0","8","11","2","6","0","3","0","0","0","12","10","9","52.6",
"Ben Alexander Voll","deGER","GK","St. Pauli","deBundesliga","23","2000","1.0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","25","1998","26.3","5","0","0","11","9","1","153","31","50","0","0","0","132","3","13","18.8",
"Alfon","esESP","FW,MF","Celta Vigo","esLa Liga","25","1999","15.2","1","1","0","15","31","6","40","5","3","1","0","0","37","3","14","17.6",
"Mohamed Ali Cho","frFRA","FW,MF","Nice","frLigue 1","20","2004","18.0","2","0","0","12","41","9","51","5","9","0","0","0","69","13","27","32.5",
"Faride Alidou","deGER","FW,MF","Hellas Verona","itSerie A","23","2001","0.8","0","0","0","1","0","0","3","1","0","0","0","0","0","1","0","100.0",
"Alisson","brBRA","GK","Liverpool","engPremier League","31","1992","27.9","0","0","0","0","2","0","0","0","0","0","0","0","47","7","0","100.0",
"Tadeo Allende","arARG","FW","Celta Vigo","esLa Liga","25","1999","0.0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","",
"Jim Allevinah","gaGAB","FW","Angers","frLigue 1","29","1995","19.4","3","0","0","18","25","10","34","12","11","1","0","0","88","10","24","29.4",
"Dele Alli","engENG","MF","Como","itSerie A","28","1996","0.1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","",
"Thiago Almada","arARG","MF,FW","Lyon","frLigue 1","23","2001","10.6","3","0","0","10","8","1","47","7","8","1","0","0","56","1","2","33.3",
"Domingos André Ribeiro Almeida","ptPOR","MF,FW","Valencia","esLa Liga","24","2000","22.0","2","0","0","28","38","2","67","8","32","0","0","0","89","5","15","25.0",
"Iker Almena","esESP","FW,DF","Girona","esLa Liga","20","2004","0.5","0","0","0","0","1","0","4","0","0","0","0","0","2","0","0","",
"Miguel Almirón","pyPAR","FW","Newcastle Utd","engPremier League","30","1994","1.7","0","0","0","1","3","2","0","0","2","0","0","0","4","0","2","0.0",
"Pontus Almqvist","seSWE","FW,MF","Parma","itSerie A","25","1999","12.4","5","0","0","15","15","2","11","19","13","1","0","0","40","9","15","37.5",
"Marcos Alonso","esESP","DF","Celta Vigo","esLa Liga","33","1990","29.4","10","2","1","31","28","2","42","34","21","0","1","0","176","70","42","62.5",
"Giorgio Altare","itITA","DF","Venezia","itSerie A","25","1998","8.4","2","0","0","10","2","0","7","17","12","0","0","1","27","19","17","52.8",
"Adrià Altimira","esESP","DF,FW","Leganés","esLa Liga","23","2001","18.1","6","0","0","27","28","3","28","15","24","0","1","0","71","12","19","38.7",
"Sergi Altimira","esESP","MF","Betis","esLa Liga","22","2001","21.9","4","0","0","35","33","0","5","24","37","1","0","0","117","11","22","33.3",
"Olabade Aluko","","DF","Leicester City","engPremier League","","","0.0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","",
"Edson Álvarez","mxMEX","MF","West Ham","engPremier League","26","1997","19.7","9","1","1","42","18","4","6","18","27","0","0","0","88","30","23","56.6",
"Hugo Álvarez","esESP","MF,DF","Celta Vigo","esLa Liga","21","2003","17.5","6","0","0","25","16","3","31","8","9","0","1","0","78","6","12","33.3",
"Julián Álvarez","arARG","FW","Atlético Madrid","esLa Liga","24","2000","27.9","5","0","0","26","9","9","69","2","17","0","0","0","75","13","31","29.5",
