Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Max Aarons","engENG","DF","Bournemouth","engPremier League","23","2000","13.7","1","0","0","12","26","2","13","8","19","0","1","0","75","5","11","31.3",
"Brenden Aaronson","usUSA","MF,FW","Union Berlin","deBundesliga","22","2000","14.1","3","1","1","15","25","5","22","2","18","0","0","0","88","13","16","44.8",
"Paxten Aaronson","usUSA","MF","Eint Frankfurt","deBundesliga","19","2003","1.1","0","0","0","6","4","0","0","0","2","0","0","0","5","3","0","100.0",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","17","2006","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","35","1987","30.9","5","0","0","26","12","0","3","39","35","0","0","1","149","61","37","62.2",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","23","2000","16.9","2","0","0","34","16","0","3","12","14","0","3","0","89","2","7","22.2",
"Nabil Aberdin","frFRA","DF","Getafe","esLa Liga","20","2002","2.0","0","0","0","1","1","0","0","0","0","0","0","0","10","4","6","40.0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","30","1993","31.8","4","0","0","36","36","1","34","61","52","0","0","0","226","15","14","51.7",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","20","2003","11.6","1","0","0","10","13","6","7","3","4","1","0","0","39","15","27","35.7",
"Abner","brBRA","DF","Betis","esLa Liga","23","2000","15.6","3","0","0","16","2","2","26","15","19","0","1","0","79","14","10","58.3",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","23","2000","8.4","2","0","0","17","15","8","5","1","8","1","0","0","21","6","7","46.2",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","24","1999","25.7","10","0","0","33","23","1","2","23","19","0","2","1","109","39","36","52.0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","25","1997","2.7","1","0","0","6","5","2","2","0","1","1","0","0","1","6","5","54.5",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","35","1988","26.5","1","0","0","19","24","3","9","32","13","0","0","0","102","70","37","65.4",
