Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","19","1999","2.3","3","0","0","6","0","0","11","8","6","0","0","0","18","1","5","16.7",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","27","1990","35.5","3","0","0","12","14","10","42","40","24","0","0","0","216","10","12","45.5",
"Ignazio Abate","itITA","DF","Milan","itSerie A","31","1986","14.5","4","0","0","13","6","0","26","18","19","0","1","0","71","13","8","61.9",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","30","1987","38.0","2","0","0","34","20","1","0","65","33","0","1","1","205","113","71","61.4",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","25","1992","22.5","6","0","0","57","28","1","24","29","33","0","0","0","145","17","26","39.5",
"Charles Abi","frFRA","DF,FW","Saint-Étienne","frLigue 1","18","2000","0.4","0","0","0","2","1","0","0","0","4","0","0","0","5","2","1","66.7",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","32","1986","15.8","2","0","0","11","9","0","8","24","14","0","0","0","104","40","22","64.5",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","28","1990","8.8","5","0","0","19","16","0","2","14","11","0","0","0","61","5","4","55.6",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","30","1988","36.8","4","1","1","24","42","3","6","61","30","0","0","0","226","96","43","69.1",
"Afriyie Acquah","ghGHA","MF","Empoli","itSerie A","26","1992","16.8","4","0","0","27","32","1","34","12","9","0","0","0","88","22","28","44.0",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","19","1999","8.0","0","0","0","13","11","0","2","16","17","0","0","0","60","17","14","54.8",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","31","1987","1.0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Aday","esESP","DF,MF","Girona","esLa Liga","30","1987","7.2","2","0","0","6","8","0","50","7","8","0","1","0","24","2","5","28.6",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","33","1985","22.2","7","1","1","32","20","2","0","31","22","0","0","1","107","51","58","46.8",
"Claud Adjapong","itITA","MF,FW","Sassuolo","itSerie A","20","1998","3.0","1","0","0","3","6","2","5","1","2","0","0","0","12","2","4","33.3",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","18","2000","2.4","1","0","0","4","1","0","9","2","2","0","0","0","16","2","1","66.7",
"Ali Adnan Kadhim","iqIRQ","DF","Atalanta","itSerie A","24","1993","1.8","0","0","0","2","2","0","14","3","1","0","0","0","8","6","3","66.7",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","37","1981","10.5","5","0","0","28","8","12","6","0","2","0","1","0","17","52","57","47.7",
"Luis Advíncula","pePER","DF","Rayo Vallecano","esLa Liga","28","1990","26.5","6","2","2","48","46","0","54","19","38","2","0","0","131","24","33","42.1",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","22","1996","22.6","4","0","0","24","28","0","42","27","29","0","0","0","116","19","27","41.3",
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","22","1996","11.7","4","1","0","19","8","0","3","14","12","0","1","0","58","41","23","64.1",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","30","1988","27.3","4","0","0","21","25","26","13","9","9","0","0","0","70","17","22","43.6",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","25","1993","28.1","8","0","0","37","40","1","115","37","51","0","1","0","185","28","32","46.7",
"Juan Aguilera","esESP","MF","Huesca","esLa Liga","32","1985","3.8","1","0","0","3","6","0","2","4","2","0","0","0","27","4","4","50.0",
"Emmanuel Agyemang-Badu","ghGHA","MF","Udinese","itSerie A","27","1990","1.8","0","0","0","2","4","0","2","1","0","0","0","0","6","4","4","50.0",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","24","1994","11.9","2","0","0","26","17","0","5","17","11","0","0","0","79","22","25","46.8",
"Antonis Aidonis","deGER","DF","Stuttgart","deBundesliga","17","2001","0.9","1","0","0","1","0","0","6","2","1","0","0","0","4","2","4","33.3",
"Ola Aina","ngNGA","DF","Torino","itSerie A","21","1996","24.0","5","1","0","31","38","4","63","39","36","0","0","0","167","41","29","58.6",
"Youssef Aït Bennasser","maMAR","MF","Saint-Étienne","frLigue 1","22","1996","10.4","0","0","0","10","10","0","4","19","13","0","0","0","74","7","10","41.2",
"Youssef Aït Bennasser","maMAR","MF","Monaco","frLigue 1","22","1996","11.9","2","0","0","11","11","0","2","15","16","0","0","0","119","7","10","41.2",
"Rayan Aït-Nouri","dzALG","DF,MF","Angers","frLigue 1","17","2001","0.6","1","0","0","1","1","0","0","0","2","0","1","0","2","0","2","0.0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","24","1994","17.0","5","0","0","45","16","2","5","5","13","1","0","0","32","104","60","63.4",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","23","1995","24.5","1","0","0","13","17","0","2","27","19","0","0","0","121","44","37","54.3",
"Carlos Akapo","gqEQG","DF","Huesca","esLa Liga","25","1993","11.4","2","0","0","16","13","0","7","23","15","0","0","0","54","20","14","58.8",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","23","1995","37.9","3","0","0","28","21","2","6","32","35","1","1","0","182","86","66","56.6",
"Sergio Akieme","esESP","DF","Rayo Vallecano","esLa Liga","20","1997","2.0","0","0","0","2","2","0","8","1","3","0","0","1","8","1","5","16.7",
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","23","1995","5.8","0","0","0","8","15","1","8","4","6","0","0","0","31","6","17","26.1",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","23","1995","5.5","2","0","0","6","10","0","0","12","15","0","0","0","31","5","7","41.7",
"Kevin Akpoguma","ngNGA","DF","Hannover 96","deBundesliga","23","1995","3.5","2","0","0","4","2","0","0","10","6","0","1","0","14","6","5","54.5",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","26","1992","28.1","4","0","0","13","11","5","115","31","21","0","0","0","148","24","22","52.2",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","20","1998","21.1","4","0","0","29","32","0","40","46","44","0","0","0","93","18","26","40.9",
"Lucas Alario","arARG","FW,MF","Leverkusen","deBundesliga","25","1992","14.1","1","0","0","23","24","14","5","1","8","0","0","0","37","40","72","35.7",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","29","1989","33.2","6","0","0","25","19","9","52","60","22","1","0","0","208","16","37","30.2",
"Luis Alberto","esESP","MF,FW","Lazio","itSerie A","25","1992","22.1","5","1","0","23","24","3","171","10","22","0","0","0","117","14","21","40.0",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","32","1985","19.0","4","0","0","10","7","0","3","20","8","0","1","0","102","46","33","58.2",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","27","1990","18.4","3","1","0","34","37","1","57","16","26","0","1","0","94","8","24","25.0",
"Marc Albrighton","engENG","FW,MF","Leicester City","engPremier League","28","1989","18.1","3","0","0","10","20","2","125","23","22","0","0","0","141","15","18","45.5",
"Paco Alcácer","esESP","FW","Dortmund","deBundesliga","24","1993","13.5","0","0","0","5","7","9","3","6","1","0","0","0","26","12","33","26.7",
